# source, target, time, date
0,1,1,2009
0,1,2,2009
0,1,3,2009
0,2,4,2009
0,6,7,2009
0,5,19,2009
0,8,23,2009
0,5,25,2009
0,5,29,2009
0,8,30,2009
0,5,32,2009
0,10,33,2009
0,8,51,2009
0,13,66,2010
0,16,69,2010
0,8,71,2010
0,8,72,2010
0,17,102,2010
0,15,103,2010
0,15,104,2010
0,16,114,2010
0,18,130,2010
0,4,131,2010
0,8,143,2010
0,15,144,2010
0,15,145,2010
0,15,202,2010
0,15,203,2010
0,14,311,2011
0,12,312,2011
0,19,315,2011
0,19,320,2011
0,12,337,2011
0,6,338,2011
0,12,339,2011
0,12,340,2011
0,8,346,2011
0,11,371,2011
0,19,374,2011
0,10,381,2011
0,5,395,2011
0,5,396,2011
0,5,397,2011
0,5,398,2011
0,17,467,2011
0,12,505,2011
0,12,508,2011
0,12,510,2011
0,12,512,2011
0,4,520,2011
0,16,585,2012
0,16,589,2012
0,16,590,2012
0,16,591,2012
0,2,854,2012
0,14,858,2013
0,14,859,2013
0,6,879,2013
0,1,883,2013
0,14,898,2013
0,14,899,2013
0,10,914,2013
0,10,915,2013
0,1,943,2013
0,1,946,2013
0,14,948,2013
0,14,950,2013
0,12,976,2013
0,1,978,2013
0,13,992,2013
0,14,993,2013
0,22,1046,2013
0,10,1075,2013
0,10,1079,2013
0,10,1081,2013
0,19,1089,2013
0,19,1090,2013
0,21,1101,2013
0,13,1104,2013
0,14,1109,2013
0,15,1146,2014
0,2,1172,2014
0,2,1181,2014
0,24,1185,2014
0,24,1186,2014
0,24,1187,2014
0,24,1188,2014
0,24,1189,2014
0,24,1191,2014
0,24,1192,2014
0,24,1193,2014
0,24,1194,2014
0,24,1195,2014
0,10,1200,2014
0,12,1201,2014
0,14,1205,2014
0,24,1206,2014
0,19,1209,2014
0,22,1319,2015
0,22,1321,2015
0,22,1325,2015
0,12,1336,2015
0,12,1339,2015
0,12,1341,2015
0,12,1342,2015
0,12,1343,2015
0,12,1344,2015
0,24,1365,2015
0,24,1384,2015
0,24,1440,2015
0,24,1441,2015
0,24,1442,2015
0,22,1455,2015
0,20,1461,2015
0,20,1462,2015
0,20,1485,2015
0,20,1486,2015
0,24,1489,2015
0,24,1503,2015
0,22,1504,2015
0,22,1507,2015
0,22,1508,2015
1,13,107,2010
1,13,108,2010
1,10,110,2010
1,13,111,2010
1,17,116,2010
1,4,128,2010
1,15,133,2010
1,15,194,2010
1,8,196,2010
1,15,198,2010
1,8,201,2010
1,13,259,2010
1,13,266,2010
1,19,319,2011
1,0,322,2011
1,19,325,2011
1,8,345,2011
1,8,347,2011
1,8,353,2011
1,17,361,2011
1,17,362,2011
1,5,364,2011
1,14,368,2011
1,11,370,2011
1,10,380,2011
1,17,401,2011
1,9,410,2011
1,2,412,2011
1,10,414,2011
1,5,415,2011
1,17,482,2011
1,10,492,2011
1,15,496,2011
1,19,503,2011
1,4,521,2011
1,9,594,2012
1,19,616,2012
1,19,617,2012
1,19,618,2012
1,17,856,2012
1,6,878,2013
1,14,892,2013
1,14,949,2013
1,12,972,2013
1,16,979,2013
1,15,986,2013
1,10,989,2013
1,6,1069,2013
1,6,1070,2013
1,6,1071,2013
1,6,1072,2013
1,6,1085,2013
1,6,1087,2013
1,20,1176,2014
1,16,1211,2014
1,16,1212,2014
1,21,1218,2014
1,14,1220,2014
1,6,1221,2014
1,19,1227,2014
1,19,1237,2014
1,19,1238,2014
1,0,1280,2015
1,10,1299,2015
1,10,1300,2015
1,10,1301,2015
2,5,54,2010
2,6,808,2012
2,11,832,2012
2,11,957,2013
2,11,1279,2015
3,2,5,2009
3,5,24,2009
4,5,6,2009
4,2,43,2009
4,2,44,2009
4,2,45,2009
4,2,46,2009
4,2,47,2009
4,2,48,2009
4,2,49,2009
4,2,50,2009
4,2,58,2010
4,2,59,2010
4,2,60,2010
4,6,62,2010
5,11,27,2009
5,11,28,2009
5,15,55,2010
