# prop_name, value
name,dom (Strauss_2019b)
description,"Animal dominance interaction data published over a century of research. The archive contains 434 agonistic interaction datasets, totaling over 241,000 interactions. A directed edge (i,j) corresponds to an antagonist interaction between i (winner) and j (loser). If a 'weight' edge property map exists, it counts the number of such interactions."
citation,"['Strauss Eli D., DeCasien Alex R., Galindo Gabriela, Hobson Elizabeth A., Shizuka Daizaburo and Curley James P., \"DomArchive: a century of published dominance data\", Phil. Trans. R. Soc. B377: 20200436 (2022), https://doi.org/10.1098/rstb.2020.0436']"
url,https://github.com/DomArchive/DomArchive
tags,"['Social', 'Animal', 'Weighted']"
order,Carnivora
species,Crocuta_crocuta
common_name,Spotted hyena
study_site,Kenya
captivity,Natural
sex,F
age,Adult
measure,Agonistic interactions
data_location,Supplemental Data
countbinary,Count
repeat_group,No
groupid,Crocuta_crocuta9
matrix_edgelist,Edgelist
edgelist_time_meaning,Year
note,
full_citation,"Strauss, E. D., & Holekamp, K. E. (2019). Social alliances improve rank and fitness in convention-based societies. Proceedings of the National Academy of Sciences, 116(18), 8919-8924."
