# index, name, _pos
0,shrm,"array([-21.40769827,  16.69898774])"
1,digs,"array([-21.49049455,  16.7720693 ])"
2,lcs,"array([-21.52926424,  16.53597139])"
3,epy,"array([-21.96884762,  16.69516531])"
4,awp,"array([-21.67711119,  16.61511227])"
5,peep,"array([-21.59403111,  16.67053112])"
6,arro,"array([-21.36368568,  16.66545439])"
7,zoey,"array([-21.60882992,  16.55189507])"
8,joni,"array([-21.57165113,  16.73582369])"
9,rbc,"array([-21.58196975,  16.60751579])"
10,sau,"array([-21.39264974,  16.60366966])"
11,ema,"array([-21.49811698,  16.46812023])"
12,ink,"array([-21.47476601,  16.5414532 ])"
13,wafl,"array([-21.42874464,  16.5677993 ])"
14,angi,"array([-21.36679765,  16.55167517])"
15,tnsl,"array([-21.49000718,  16.70210116])"
16,ele,"array([-21.4088973 ,  16.78103331])"
17,mstl,"array([-21.53495086,  16.65630596])"
18,hndy,"array([-21.59105551,  16.46918006])"
19,hkr,"array([-21.4955947 ,  16.61327838])"
20,trex,"array([-21.40114369,  16.48328301])"
21,logc,"array([-21.43877799,  16.65045108])"
22,tero,"array([-21.30480683,  16.58780039])"
23,ravi,"array([-21.1958422 ,  16.95850936])"
24,fuzz,"array([-21.27779229,  16.6470543 ])"
25,ana,"array([-21.29825495,  16.46441655])"
26,bilj,"array([-21.39974755,  16.38997713])"
27,crim,"array([-21.22202624,  16.47501864])"
28,rama,"array([-21.09173736,  16.72285814])"
29,rmon,"array([-21.09657464,  16.53055896])"
30,jude,"array([-21.17139313,  16.57049784])"
31,remi,"array([-21.12592719,  16.41670359])"
32,gumy,"array([-21.26587999,  16.53991074])"
33,clev,"array([-21.31191388,  16.38703541])"
34,tedy,"array([-21.22601642,  16.34717732])"
