"dataset","fit_model","K_hat","K_mean","K_lo","K_hi","elpd_loo","p_loo","looic","pk_max","pk_bad","b_kappa","time_sec","note"
"moreno_sheep","WST",6,5.53,4,7,-913.1,170.5,1826.2,4.946,0.087,1,316.1,NA
"moreno_sheep","SST",6,5.29,4,7,-884.8,126.8,1769.6,3.627,0.037,5,442.6,NA
"moreno_sheep","DCSBM",6,6.02,5,8,-927.9,207.3,1855.8,2.856,0.262,NA,145.2,NA
"strauss_2019b","WST",14,13.61,13,15,-1942.9,535,3885.9,3.561,0.128,1,1111.4,NA
"strauss_2019b","SST",7,6.48,6,8,-2171.8,313.8,4343.6,7.064,0.066,5,719.6,NA
"strauss_2019b","DCSBM",6,6.57,6,8,-2340.7,615.5,4681.4,3.103,0.16,NA,184.3,NA
"mountain_goats","WST",4,4.47,3,6,-1349.5,143.6,2699,1.67,0.025,1,353.1,NA
"mountain_goats","SST",6,6.68,6,8,-1253.6,141.3,2507.1,1.963,0.036,5,906.6,NA
"mountain_goats","DCSBM",4,4.75,4,6,-1295.4,144.9,2590.8,2.175,0.134,NA,181.3,NA
"citations_data","WST",14,13.06,12,14,-6248.2,917.7,12496.3,2.453,0.062,1,5099.8,NA
"citations_data","SST",5,5.04,5,6,-8676.9,1364.1,17353.9,19.573,0.07,5,999.5,NA
"citations_data","DCSBM",11,11,11,11,-6092.1,577.9,12184.2,2.02,0.041,NA,266.3,NA
"macaques_data","WST",10,9.65,8,11,-3336.3,242.9,6672.5,4.245,0.021,1,910.9,NA
"macaques_data","SST",11,10.32,9,11,-3127.9,190.3,6255.9,1.726,0.007,5,19924.5,NA
"macaques_data","DCSBM",11,11.06,11,12,-3093.6,215.8,6187.1,2.214,0.025,NA,39573.1,NA
"high_school","WST",9,9.24,7,11,-1228.2,263.7,2456.5,1.38,0.191,1,6859.4,NA
"high_school","SST",12,10.75,9,13,-1167.6,223.8,2335.1,2.006,0.037,5,8733.6,NA
"high_school","DCSBM",8,8.44,8,10,-1370.1,374.4,2740.3,4.451,0.235,NA,481.9,NA
