dataset,fit_model,n,K_hat,violation_rate_zhat,violation_count_zhat,cross_count_zhat,thetaW_block_model_mean,thetaW_block_model_lo,thetaW_block_model_hi,thetaW_block_model_ess,thetaW_block_model_mcse,thetaS_block_model_mean,thetaS_block_model_lo,thetaS_block_model_hi,thetaS_block_model_ess,thetaS_block_model_mcse,thetaW_block_emp_mean,thetaW_block_emp_lo,thetaW_block_emp_hi,thetaW_block_emp_ess,thetaW_block_emp_mcse,thetaS_block_emp_mean,thetaS_block_emp_lo,thetaS_block_emp_hi,thetaS_block_emp_ess,thetaS_block_emp_mcse,thetaW_item_emp_mean,thetaW_item_emp_lo,thetaW_item_emp_hi,thetaW_item_emp_ess,thetaW_item_emp_mcse,thetaS_item_emp_mean,thetaS_item_emp_lo,thetaS_item_emp_hi,thetaS_item_emp_ess,thetaS_item_emp_mcse,bar_rho_model_mean,bar_rho_model_lo,bar_rho_model_hi,bar_rho_model_ess,bar_rho_model_mcse,thetaW_block_model_all_mean,thetaW_block_model_all_lo,thetaW_block_model_all_hi,thetaW_block_model_all_ess,thetaW_block_model_all_mcse,thetaS_block_model_all_mean,thetaS_block_model_all_lo,thetaS_block_model_all_hi,thetaS_block_model_all_ess,thetaS_block_model_all_mcse,thetaW_block_emp_all_mean,thetaW_block_emp_all_lo,thetaW_block_emp_all_hi,thetaW_block_emp_all_ess,thetaW_block_emp_all_mcse,thetaS_block_emp_all_mean,thetaS_block_emp_all_lo,thetaS_block_emp_all_hi,thetaS_block_emp_all_ess,thetaS_block_emp_all_mcse,thetaW_item_emp_all_mean,thetaW_item_emp_all_lo,thetaW_item_emp_all_hi,thetaW_item_emp_all_ess,thetaW_item_emp_all_mcse,thetaS_item_emp_all_mean,thetaS_item_emp_all_lo,thetaS_item_emp_all_hi,thetaS_item_emp_all_ess,thetaS_item_emp_all_mcse,prem_block_model_avg,prem_block_emp_avg,prem_item_emp_avg,coverage_block_model_avg,coverage_block_emp_avg,coverage_item_emp_avg,transitive_triads_mean,transitive_triads_lo.2.5.,transitive_triads_hi.97.5.,cycle_mass_weighted_mean,min_backward_weight_mean,min_backward_weight_norm_mean,hierarchy_energy_mean,hierarchy_energy_lo.2.5.,hierarchy_energy_hi.97.5.,curl_energy_mean,p_post_wst,p_prior_wst,bf_wst_0,log_bf_wst_0,p_post_sst,p_prior_sst,bf_sst_0,log_bf_sst_0,bf_sst_wst,log_bf_sst_wst,bf_prior_mc,violation_rate_mean,violation_rate_lo.2.5.,violation_rate_hi.97.5.,violation_count_mean,cross_mass_mean,n_draws_K_match
moreno_sheep,WST,28,4,0.04834605597964377,19,393,1,1,1,0,NA,0.27123893805309723,0,0.75,191.6213936626097,0.0192672455129016,0.9536873156342183,0.6666666666666666,1,243.56640190584633,0.0075161090722336765,0.371976401179941,0.25,0.75,190.17517968196566,0.013886779452701937,0.9966076696165191,1,1,451.59007142702626,0.0014401103810817713,0.19749262536873155,0,0.75,220.53902744665731,0.01818887687874882,0.7707863065518663,0.7281241766688146,0.8235384096763149,447.22009265725325,0.0011600457535679072,1,1,1,0,NA,0.27123893805309723,0,0.75,191.6213936626097,0.0192672455129016,0.8442477876106194,0.5,1,229.8934866875169,0.015566534841026705,0.3053097345132743,0.25,0.75,174.98950670090278,0.010232698092632365,0.9323008849557523,0.75,1,178.26722196499603,0.009180017934605026,0.18672566371681418,0,0.75,207.10835270714554,0.01795935857379932,4,3.513274336283186,3.7415929203539826,1,0.8783185840707965,0.9353982300884957,1,1,1,0,0,0,0.8589692372901245,0.7582292852737108,0.9427955701836264,4.926683711808201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059247543688772254,0.036585365853658534,0.08830022075055188,26.952571428571417,450.19828571428565,565
moreno_sheep,SST,28,5,0.0225,9,400,1,1,1,0,NA,1,1,1,0,NA,0.9999487074271646,1,1,2437,5.1292572835453195e-5,0.42929685210153,0.2857142857142857,0.5,138.935814160132,0.006030304991091044,0.9959359998957865,0.875,1,1910.2117541164637,5.105357552509964e-4,0.43295604796425474,0.3,0.6666666666666666,356.07571938418414,0.004493553644925934,0.9549245114741767,0.9313785078208715,0.9723834928938491,718.8240581337393,3.8162986977448776e-4,1,1,1,0,NA,1,1,1,0,NA,0.9933524825605252,1,1,2437,8.947176086532006e-4,0.4274517849815347,0.2,0.5,155.47482784583858,0.006043617494453461,0.9059499384489126,0.7,1,464.4227585193868,0.004655837755409749,0.3899876897825195,0.3,0.6,306.65485887700754,0.003748367205237066,10,9.933935166187936,9.0927369716865,1,0.9933935166187936,0.9092736971686499,1,1,1,0,0,0,0.815818730003835,0.8054672291421111,0.8292657381783178,8.87266207434868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026342131758566794,0.0225,0.038461538461538464,10.663142857142862,404.19257142857145,2437
moreno_sheep,DCSBM,28,5,0.07510729613733906,35,466,0.9245607121473173,0.7777777777777778,1,221.21736234696027,0.005915330774888497,0.5017544020430856,0.2,0.8,1155.4418242480858,0.004381051255972266,0.9163779830638953,0.7777777777777778,1,86.75375779757118,0.009441836690354045,0.43840469469799725,0.2857142857142857,0.625,88.48485356439613,0.012319439990853085,0.9538359788359787,0.7777777777777778,1,208.20508595840747,0.004613076513718265,0.5270937962046506,0.2857142857142857,0.7142857142857143,174.7974297046525,0.010573906236148067,0.8254338463968174,0.7304920062930971,0.8989326103335745,728.4891333388379,0.0016957965199228587,0.7212471131639723,0.4,1,998.8725309577952,0.006244297343417842,0.3906081601231717,0.1,0.7,776.112385040028,0.00521196393993838,0.7354118552732871,0.7,1,330.88671673863735,0.0055377489480676985,0.36127790608160126,0.2,0.6,83.85973372806896,0.01356936305679031,0.794688221709007,0.6,1,92.22016244166079,0.010835267159864572,0.4327174749807544,0.2,0.6,385.64502022536254,0.005032919443281476,7.800615858352579,8.065434949961507,8.344880677444186,0.7800615858352579,0.806543494996151,0.8344880677444187,0.9094688221709007,0.8,1,0.480252600855268,0.51113746274021,0.018084080667513342,0.8613803939393568,0.7263040917677578,0.9650537388576231,14.425951990638566,0.27636643571978436,0.0585,4.72421257640657,1.5527008965620053,0,0,NA,NA,NA,NA,2000,0.07251852756297483,0.05579854192213367,0.11460258780036968,34.84057142857127,477.5691428571424,1299
strauss_2019b,WST,35,14,0.11391661773341162,194,1703,1,1,1,0,NA,0.3330216048806881,0.26490384615384616,0.40267857142857155,175.42032207453803,0.002698807060768299,0.9771101349951336,0.950210396039604,0.9912790697674418,72.79027756707538,0.0013469153629471482,0.38438744488945303,0.31838084711376513,0.4637263013908286,54.02974106753955,0.005314568895659008,0.9174197472751001,0.8754766318019329,0.9526486902927581,226.21964787887572,0.0013243156096212404,0.4837967435907258,0.3827791185314132,0.56063779357897,33.02665445204022,0.007692239769045271,0.6859183516299032,0.6715224484518015,0.700433078986834,780.9711998356354,2.656489491066871e-4,1,1,1,0,NA,0.3330216048806881,0.26490384615384616,0.40267857142857155,175.42032207453803,0.002698807060768299,0.8747667866937816,0.7857142857142857,0.967032967032967,93.73137073238304,0.004806606642765094,0.34397796600682845,0.27472527472527475,0.42032967032967034,90.52878099867915,0.003958541263070806,0.6867712084180675,0.5879120879120879,0.7664835164835165,83.97641549587898,0.005168284548106917,0.3627003302300416,0.2692307692307692,0.4423076923076923,35.845259351576395,0.007449255750493093,364,325.795415959253,272.3429541595926,1,0.8950423515364092,0.7481949290098696,1,1,1,0,0,0,0.6486257293621684,0.580166077014325,0.7235091341477436,1.9678764795269381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11597533392236367,0.10683730244059779,0.1256531899878225,197.91514285714277,1706.559142857143,1178
strauss_2019b,SST,35,7,0.10139318885448917,131,1292,1,1,1,0,NA,1,1,1,0,NA,0.9660040698575828,0.8571428571428571,1,3.294400593308239,0.02812188181475245,0.3501011992466464,0.14705882352941177,0.5714285714285714,77.00296510014392,0.012265626220829,0.9175721730695486,0.7916666666666666,1,268.8346920955367,0.003861600727310491,0.4922668896555115,0.3333333333333333,0.7037037037037037,581.9479954283895,0.004103405755012722,0.896333474772077,0.8794476151279661,0.9124554947430004,751.4590920076356,3.036954465190242e-4,1,1,1,0,NA,1,1,1,0,NA,0.9349792391426329,0.7142857142857143,1,16.739590550846582,0.021026764132190963,0.33863763887330267,0.14285714285714285,0.5714285714285714,47.13812344861778,0.015477903697204256,0.6974525866906071,0.5428571428571428,0.8857142857142857,117.68777183828956,0.008466846722050987,0.3746156435865784,0.22857142857142856,0.5714285714285714,242.43381945140547,0.005653537353786338,35,33.831893165750195,26.577376276512176,1,0.9666255190214341,0.7593536079003479,1,1,1,0,0,0,0.7884280588083591,0.7727266749709223,0.8078124671425874,4.223865697511327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10123264221243908,0.096875,0.10297482837528604,131.438,1298.4197142857145,1273
strauss_2019b,DCSBM,35,6,0.10392609699769054,135,1299,0.9159334608429579,0.7857142857142857,1,1723,0.0017150987872325155,0.5097911502951042,0.3003846153846154,0.7992857142857149,1123.6881890442933,0.0036100673050817236,0.9035633390445988,0.8666666666666667,0.9166666666666666,19.494512522958246,0.005871523771688698,0.5597246707889864,0.4166666666666667,0.6666666666666666,43.288963323571146,0.013713843771438139,0.9199967616741948,0.8235294117647058,1,16.825090905611308,0.012258158326729156,0.6172580504440119,0.4117647058823529,0.8235294117647058,148.84669074654974,0.0076150483785686444,0.7664627875921454,0.682914761444442,0.8430842963880933,595.9751537183942,0.0016560133849444255,0.641990713871155,0.35,1,1222.3472113884454,0.004764135232969765,0.35095763203714453,0.2,0.6,1723.0000000000002,0.002422432288591518,0.5664248403946603,0.5,0.65,31.732632298364745,0.014000021453645803,0.3503192106790483,0.25,0.4,36.01133621520478,0.011853069422505538,0.854062681369704,0.7,0.95,20.76101608237541,0.014442035833900217,0.5720835751596054,0.35,0.7,215.65411122799367,0.005489877754498325,14.00464306442252,12.564712710388859,18.576320371445156,0.700232153221126,0.6282356355194428,0.9288160185722578,0.881369704004643,0.75,1,0.4944333816006485,1.2622717473819955,0.04363695211332671,0.8409259354115727,0.6815841186076778,0.9301861111229293,6.929638416195984,0.08241439349970973,0.0075,10.988585799961298,2.3968570795132025,0,0,NA,NA,NA,NA,2000,0.1297789624193262,0.09879336349924585,0.26601356443104746,178.1631428571433,1369.7485714285708,1723
mountain_goats,WST,45,4,0.003656307129798903,2,547,1,1,1,0,NA,0.36497610196494956,0,1,618.7810292500913,0.010569955319337201,1,1,1,0,NA,0.5354487519915031,0,1,230.60463420902533,0.01814857907725986,0.9996016994158258,1,1,1882.9999999999995,2.298367284093727e-4,0.4923437776597629,0,1,1883,0.0059898693555832236,0.8980690133824475,0.8546442240414397,0.9236968067423009,407.5778357814783,8.669262131524371e-4,1,1,1,0,NA,0.36497610196494956,0,1,618.7810292500913,0.010569955319337201,0.9978757302177377,1,1,526.1817402048432,0.001418119333370471,0.5335900159320234,0,1,229.95200362521436,0.01810212288569983,0.9895114179500797,0.75,1,1383.78587653647,0.0014506408776091303,0.48672331386086026,0,1,1883,0.00591035027066866,4,3.9915029208709507,3.959638874137015,1,0.9978757302177377,0.9899097185342538,1,1,1,0,0,0,0.8396541467970482,0.7333930777685471,0.9411078234547992,5.510231594950928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012570784686568606,0.0018181818181818182,0.03475995548843494,6.942571428571425,545.0617142857142,1883
mountain_goats,SST,45,6,0.0033500837520938024,2,597,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.4510423246999368,0.3,0.6,626.7411118890283,0.0029555014454924317,1,1,1,0,NA,0.46927767749051946,0.28676470588235303,0.65,1300.1357319800766,0.002771678830444065,0.9760230828998466,0.9626850867218235,0.9869402143756543,392.1050992505167,3.125639597159876e-4,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.4510423246999368,0.3,0.6,626.7411118890283,0.0029555014454924317,0.9948199620972836,0.95,1,951.3928872982518,5.513452063960818e-4,0.46689829437776376,0.25,0.65,1284.2799441962027,0.002791346968523719,20,20,19.896399241945673,1,1,0.9948199620972836,1,1,1,0,0,0,0.7861054245803943,0.7805533632861283,0.7938382388525103,13.595622124932012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004164618631997018,0.0016219953061525185,0.008439180643544052,2.5114285714285733,601.5291428571429,1583
mountain_goats,DCSBM,45,4,0,0,535,1,1,1,0,NA,0.35970543806646527,0,1,1183.803715443621,0.007431821564835474,1,1,1,0,NA,0.3145770392749244,0,0.75,358.30907456829954,0.012513448015058711,0.9996223564954683,1,1,1324,2.669333438619408e-4,0.3933157099697886,0,1,1412.6175784544525,0.007190143691638097,0.9872527308103043,0.9752504545032941,0.995521090221805,788.8245137116967,1.84497538117935e-4,1,1,1,0,NA,0.35970543806646527,0,1,1183.803715443621,0.007431821564835474,1,1,1,0,NA,0.3145770392749244,0,0.75,358.30907456829954,0.012513448015058711,0.9996223564954683,1,1,1324,2.669333438619408e-4,0.3933157099697886,0,1,1412.6175784544525,0.007190143691638097,4,4,4,1,1,1,1,1,1,0,0,0,0.8366008249040817,0.703996749832189,0.954381927364191,28.520881176759143,1,0.249,4.016064257028113,1.3903023825174294,0.03247734138972807,0.01,3.247734138972807,1.1779575651846994,0.8086858006042289,-0.21234481733273003,2000,0.003079110520753566,0,0.010300878852717018,1.7468571428571367,556.5874285714283,1324
citations_data,WST,47,13,0.296028880866426,3608,12188,1,1,1,0,NA,0.4535183280272761,0.36713286713286714,0.5314685314685315,410.10231148099416,0.002091142927097891,0.9002750223503634,0.855994455994456,0.9339622641509434,4.859648019937127,0.0105185158578925,0.41925888817546586,0.37104072398190047,0.4846657826126045,432.7617666329102,0.0015379339040796495,0.8711205230314419,0.8210387539857738,0.9170364891518737,777.5890612904287,8.78255502864424e-4,0.43725692872786853,0.367967332123412,0.5056179775280899,752.7547062308329,0.0013328520189344944,0.6469471251699747,0.6348835313855454,0.6598512729734065,91.33487437559366,6.875163609893618e-4,1,1,1,0,NA,0.4535183280272761,0.36713286713286714,0.5314685314685315,410.10231148099416,0.002091142927097891,0.6591908745989933,0.5699300699300699,0.7447552447552448,53.076947005001315,0.00627429998327021,0.3067567526319163,0.25874125874125875,0.36713286713286714,391.1556166595785,0.0014431881296651668,0.5167240005738478,0.45454545454545453,0.5734265734265734,100.31012435676328,0.0032231176934108276,0.25938531132769455,0.2097902097902098,0.3076923076923077,432.94440548428133,0.0012545871016019215,286,209.36708860759492,169.6346573548669,1,0.732052757369213,0.5931281725694646,1,1,1,0,0,0,0.8484994532029335,0.7823242887659614,0.901331666611096,0.5570845047888345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29696114459725315,0.2940440716743773,0.30075676373391624,3618.294285714286,12184.397428571428,2291
