dataset,fit_model,n,K_hat,K_trace_mean,K_trace_sd,elpd,Delta_ELPD,psis_tail_share,time
citations_data,DCSBM,47,11,11,NA,-6092.1,0,0.041,321.6
citations_data,WST,47,14,14,NA,-6248.2,-156.09999999999945,0.062,1152
citations_data,SST,47,5,5,NA,-8730.3,-2638.199999999999,0.081,501.4
high_school,SST,70,11,11,NA,-1219.7,0,0.118,886.8
high_school,WST,70,9,9,NA,-1228.2,-8.5,0.191,911.5
high_school,DCSBM,70,8,8,NA,-1370.1,-150.39999999999986,0.235,335.2
macaques_data,DCSBM,62,11,11,NA,-3093.6,0,0.025,496.2
macaques_data,SST,62,10,10,NA,-3177,-83.40000000000009,0.005,1031.4
macaques_data,WST,62,10,10,NA,-3336.3,-242.70000000000027,0.021,1184.4
moreno_sheep,SST,28,6,6,NA,-884.9,0,0.053,219
moreno_sheep,WST,28,6,6,NA,-913.1,-28.200000000000045,0.087,229.7
moreno_sheep,DCSBM,28,6,6,NA,-927.9,-43,0.262,124.4
mountain_goats,SST,45,8,8,NA,-1257.6,0,0.046,325.1
mountain_goats,DCSBM,45,4,4,NA,-1295.4,-37.80000000000018,0.134,135.5
mountain_goats,WST,45,4,4,NA,-1349.5,-91.90000000000009,0.025,259.4
strauss_2019b,WST,35,14,14,NA,-1942.9,0,0.128,833.2
strauss_2019b,SST,35,8,8,NA,-2199.9,-257,0.037,371.5
strauss_2019b,DCSBM,35,6,6,NA,-2340.7,-397.7999999999997,0.16,141.4
