"dataset","fit_model","n","K_hat","violation_rate_zhat","violation_count_zhat","cross_count_zhat","thetaW_block_emp_mean","thetaW_block_emp_lo","thetaW_block_emp_hi","thetaS_block_emp_mean","thetaS_block_emp_lo","thetaS_block_emp_hi","prem_block_emp_avg","coverage_block_emp_avg","n_draws_K_match_emp","thetaW_block_model_mean","thetaW_block_model_lo","thetaW_block_model_hi","thetaS_block_model_mean","thetaS_block_model_lo","thetaS_block_model_hi","bar_rho_model_mean","bar_rho_model_lo","bar_rho_model_hi","prem_block_model_avg","coverage_block_model_avg","n_draws_K_match_model","p_post_wst","p_prior_wst","bf_wst_0","bf_wst_lower_bound","p_post_sst","p_prior_sst","bf_sst_0","bf_sst_lower_bound","prior_wst_hits","prior_sst_hits","prior_mcse_wst","prior_mcse_sst","bf_prior_mc"
"moreno_sheep","WST",28,4,0.0483460559796438,19,393,0.953687315634218,0.666666666666667,1,0.371976401179941,0.25,0.75,3.51327433628319,0.878318584070797,565,,,,,,,,,,,,,,,,,,,,,,,,,
"moreno_sheep","SST",28,5,0.0225,9,400,0.999830776173285,1,1,0.430901882413615,0.3,0.5,9.95171480144404,0.995171480144404,2216,,,,,,,,,,,,,,,,,,,,,,,,,
"moreno_sheep","DCSBM",28,5,0.0751072961373391,35,466,0.916377983063895,0.777777777777778,1,0.438404694697997,0.285714285714286,0.625,8.06543494996151,0.806543494996151,1299,0.924560712147317,0.777777777777778,1,0.501754402043086,0.2,0.8,0.825433846396817,0.730492006293097,0.898932610333575,7.80061585835258,0.780061585835258,1299,0.276366435719784,0.05885,4.6961161549666,,0,0,,,1177,0,0.00166413156781548,0,20000
"strauss_2019b","WST",35,14,0.113916617733412,194,1703,0.977110134995134,0.950210396039604,0.991279069767442,0.384387444889453,0.318380847113765,0.463726301390829,325.795415959253,0.895042351536409,1178,,,,,,,,,,,,,,,,,,,,,,,,,
"strauss_2019b","SST",35,7,0.113620807665982,166,1461,0.998810992260452,0.967741935483871,1,0.461831106314114,0.314285714285714,0.6,34.7196122296793,0.991988920847981,2682,,,,,,,,,,,,,,,,,,,,,,,,,
"strauss_2019b","DCSBM",35,6,0.103926096997691,135,1299,0.903563339044599,0.866666666666667,0.916666666666667,0.559724670788986,0.416666666666667,0.666666666666667,12.5647127103889,0.628235635519443,1723,0.915933460842958,0.785714285714286,1,0.509791150295104,0.300384615384615,0.799285714285715,0.766462787592145,0.682914761444442,0.843084296388093,14.0046430644225,0.700232153221126,1723,0.0824143934997097,0.009,9.15715483330108,,0,0,,,180,0,0.000667794878686562,0,20000
"mountain_goats","WST",45,4,0.0036563071297989,2,547,1,1,1,0.535448751991503,0,1,3.99150292087095,0.997875730217738,1883,,,,,,,,,,,,,,,,,,,,,,,,,
"mountain_goats","SST",45,6,0.0033500837520938,2,597,1,1,1,0.450260869565217,0.3,0.6,20,1,1725,,,,,,,,,,,,,,,,,,,,,,,,,
"mountain_goats","DCSBM",45,4,0,0,535,1,1,1,0.314577039274924,0,0.75,4,1,1324,1,1,1,0.359705438066465,0,1,0.987252730810304,0.975250454503294,0.995521090221805,4,1,1324,1,0.2487,4.02090872537193,,0.0324773413897281,0.009,3.60859348774756,,4974,180,0.00305653652031184,0.000667794878686562,20000
"citations_data","WST",47,13,0.296028880866426,3608,12188,0.900275022350363,0.855994455994456,0.933962264150943,0.419258888175466,0.3710407239819,0.484665782612605,209.367088607595,0.732052757369213,2291,,,,,,,,,,,,,,,,,,,,,,,,,
"citations_data","SST",47,5,0.341970069242796,3062,8954,1,1,1,0.531572005605473,0.4,0.8,8.39728793998846,0.839728793998846,3466,,,,,,,,,,,,,,,,,,,,,,,,,
"citations_data","DCSBM",47,11,0.315238402061856,3914,12416,0.968253968253968,0.968253968253968,0.968253968253968,0.595238095238095,0.595238095238095,0.595238095238095,126,0.763636363636364,3500,0.954810442447286,0.902654867256637,1,0.569053211869608,0.474576271186441,0.673176884996192,0.657417107030397,0.635403867443289,0.678957905761434,112.168285714286,0.679807792207792,3500,0,0,,,0,0,,,0,0,0,0,20000
"macaques_data","WST",62,9,0.00880829015544041,17,1930,0.999963053277174,1,1,0.353031934444038,0.333333333333333,0.488095238095238,83.8414985590778,0.99811307808426,1388,,,,,,,,,,,,,,,,,,,,,,,,,
"macaques_data","SST",62,9,0.00566426364572606,11,1942,1,1,1,0.356150131833921,0.202380952380952,0.392857142857143,84,1,1499,,,,,,,,,,,,,,,,,,,,,,,,,
"macaques_data","DCSBM",62,11,0.0202369200394867,41,2026,1,1,1,0.327035734959232,0.296969696969697,0.339393939393939,164.950819672131,0.999701937406855,3294,0.996406035457843,0.967320261437909,1,0.342722647219102,0.248484848484848,0.439490445859873,0.936452434099604,0.898912830881067,0.957989755220013,159.33606557377,0.965673124689518,3294,0.561020036429872,0,Inf,11220.4007285974,0,0,,,0,0,0,0,20000
"high_school","WST",70,9,0.294117647058824,40,136,0.884021748452526,0.716666666666667,0.983107344632768,0.306004065244198,0.1875,0.459213114754098,61.2246661429694,0.728865073130588,1273,,,,,,,,,,,,,,,,,,,,,,,,,
"high_school","SST",70,11,0.188311688311688,29,154,0.965611039920849,0.923076923076923,1,0.405012094560435,0.30921052631579,0.496644295302013,154.702842377261,0.937592984104612,1161,,,,,,,,,,,,,,,,,,,,,,,,,
"high_school","DCSBM",70,8,0.4609375,59,128,0.839492234852575,0.833333333333333,0.878787878787879,0.35650796587284,0.3125,0.365853658536585,36.8934154429181,0.658810990052108,2111,0.699758093002783,0.439375,0.928986710963455,0.268580103223172,0.0689655172413793,0.5,0.622717058916383,0.53836541007889,0.706869033851186,24.3387020369493,0.434619679231238,2111,0,0,,,0,0,,,0,0,0,0,20000
