"K","family","n_triples","n_param_settings","n_nonempty_settings","mean_coverage","q95_coverage","support_share"
3,"WST",1,36,36,0.107204268446865,0.5625,0.274408284023669
3,"SST",1,36,36,0.0592111085824066,0.416666666666667,0.154756486117433
3,"Toeplitz_SST",1,36,36,0.00836683861831955,0,0.0159308147473828
3,"BT",1,36,36,0.0156415945986971,0,0.0314064633591261
4,"WST",4,36,36,0.148692345622816,0.694444444444444,0.349055530268548
4,"SST",4,36,36,0.168615346684874,0.777777777777778,0.314121529358216
4,"Toeplitz_SST",4,36,36,0.120374058058976,0.694444444444444,0.265418752844788
4,"BT",4,36,36,0.0257311106053693,0,0.0384046426945835
5,"WST",10,36,36,0.23068230668083,0.805555555555556,0.492375967228038
5,"SST",10,36,36,0.19466096444646,0.805555555555556,0.328857532999545
5,"Toeplitz_SST",10,36,36,0.143597013604404,0.722222222222222,0.297280382339554
5,"BT",10,36,36,0.0310208364942109,0,0.0384615384615385
6,"WST",20,36,36,0.241355004298788,0.805555555555556,0.578174783796086
6,"SST",20,36,36,0.223940158296685,0.888888888888889,0.330735093309058
6,"Toeplitz_SST",20,36,36,0.193813849694022,0.805555555555556,0.330564406008193
6,"BT",20,36,36,0.0349972184291731,0,0.0384615384615385
