"K","pK","family","epsilon_rel","neighborhood_share","median_dist","q90_dist","mean_dist"
3,3,"SST",0.02,0.355891441085589,0.165424855309539,0.663602022547275,0.248599002890927
3,3,"SST",0.05,0.385851141488585,0.165424855309539,0.663602022547275,0.248599002890927
3,3,"SST",0.1,0.436410635893641,0.165424855309539,0.663602022547275,0.248599002890927
3,3,"Toeplitz_SST",0.02,0.0506844931550684,0.167989383116322,0.321837207004814,0.174826599328872
3,3,"Toeplitz_SST",0.05,0.134883651163488,0.167989383116322,0.321837207004814,0.174826599328872
3,3,"Toeplitz_SST",0.1,0.285342146578534,0.167989383116322,0.321837207004814,0.174826599328872
3,3,"LST",0.02,0.0595844041559584,0.173835946790253,0.385393039905466,0.193791521218399
3,3,"LST",0.05,0.150673493265067,0.173835946790253,0.385393039905466,0.193791521218399
3,3,"LST",0.1,0.298942010579894,0.173835946790253,0.385393039905466,0.193791521218399
4,6,"SST",0.02,0.0276347236527635,0.53668306954205,0.827030795160681,0.517169209810002
4,6,"SST",0.05,0.0376446235537645,0.53668306954205,0.827030795160681,0.517169209810002
4,6,"SST",0.1,0.0592844071559284,0.53668306954205,0.827030795160681,0.517169209810002
4,6,"Toeplitz_SST",0.02,0.0002149978500215,0.234537296394152,0.31589328395653,0.230013705658515
4,6,"Toeplitz_SST",0.05,0.0042249577504225,0.234537296394152,0.31589328395653,0.230013705658515
4,6,"Toeplitz_SST",0.1,0.0378046219537805,0.234537296394152,0.31589328395653,0.230013705658515
4,6,"LST",0.02,0.0002149978500215,0.269404599463841,0.403210118658664,0.27095891606387
4,6,"LST",0.05,0.00507494925050749,0.269404599463841,0.403210118658664,0.27095891606387
4,6,"LST",0.1,0.0386646133538665,0.269404599463841,0.403210118658664,0.27095891606387
5,10,"SST",0.02,0.0003649963500365,0.696564183337614,0.889546565106138,0.673953723987527
5,10,"SST",0.05,0.000784992150078499,0.696564183337614,0.889546565106138,0.673953723987527
5,10,"SST",0.1,0.0022549774502255,0.696564183337614,0.889546565106138,0.673953723987527
5,10,"Toeplitz_SST",0.02,4.9999500005e-06,0.253874977675483,0.312824497760781,0.251229618751296
5,10,"Toeplitz_SST",0.05,4.49995500045e-05,0.253874977675483,0.312824497760781,0.251229618751296
5,10,"Toeplitz_SST",0.1,0.0022749772502275,0.253874977675483,0.312824497760781,0.251229618751296
5,10,"LST",0.02,4.9999500005e-06,0.307718028936922,0.404514418660519,0.306560784793792
5,10,"LST",0.05,4.49995500045e-05,0.307718028936922,0.404514418660519,0.306560784793792
5,10,"LST",0.1,0.0021949780502195,0.307718028936922,0.404514418660519,0.306560784793792
6,15,"SST",0.02,4.9999500005e-06,0.783668990945444,0.922599866031669,0.764132384806934
6,15,"SST",0.05,4.9999500005e-06,0.783668990945444,0.922599866031669,0.764132384806934
6,15,"SST",0.1,2.49997500025e-05,0.783668990945444,0.922599866031669,0.764132384806934
6,15,"Toeplitz_SST",0.02,4.9999500005e-06,0.263869477882382,0.310978224001002,0.262385029604979
6,15,"Toeplitz_SST",0.05,4.9999500005e-06,0.263869477882382,0.310978224001002,0.262385029604979
6,15,"Toeplitz_SST",0.1,8.49991500084999e-05,0.263869477882382,0.310978224001002,0.262385029604979
6,15,"LST",0.02,4.9999500005e-06,0.328979045310157,0.40602938382331,0.327885885264198
6,15,"LST",0.05,4.9999500005e-06,0.328979045310157,0.40602938382331,0.327885885264198
6,15,"LST",0.1,8.49991500084999e-05,0.328979045310157,0.40602938382331,0.327885885264198
