"K","epsilon_rel","pK","family","neighborhood_share","median_dist","q90_dist","mean_dist","toep_share","rel_to_toep"
3,0.02,3,"SST",0.355891441085589,0.165424855309539,0.663602022547275,0.248599002890927,0.0506844931550684,7.02170267337477
3,0.02,3,"LST",0.0595844041559584,0.173835946790253,0.385393039905466,0.193791521218399,0.0506844931550684,1.17559435730492
3,0.02,3,"Toeplitz_SST",0.0506844931550684,0.167989383116322,0.321837207004814,0.174826599328872,0.0506844931550684,1
3,0.05,3,"SST",0.385851141488585,0.165424855309539,0.663602022547275,0.248599002890927,0.134883651163488,2.860622011343
3,0.05,3,"Toeplitz_SST",0.134883651163488,0.167989383116322,0.321837207004814,0.174826599328872,0.134883651163488,1
3,0.05,3,"LST",0.150673493265067,0.173835946790253,0.385393039905466,0.193791521218399,0.134883651163488,1.11706268302628
3,0.1,3,"Toeplitz_SST",0.285342146578534,0.167989383116322,0.321837207004814,0.174826599328872,0.285342146578534,1
3,0.1,3,"SST",0.436410635893641,0.165424855309539,0.663602022547275,0.248599002890927,0.285342146578534,1.5294292873539
3,0.1,3,"LST",0.298942010579894,0.173835946790253,0.385393039905466,0.193791521218399,0.285342146578534,1.04766160262139
4,0.02,6,"SST",0.0276347236527635,0.53668306954205,0.827030795160681,0.517169209810002,0.0002149978500215,128.53488372093
4,0.02,6,"LST",0.0002149978500215,0.269404599463841,0.403210118658664,0.27095891606387,0.0002149978500215,1
4,0.02,6,"Toeplitz_SST",0.0002149978500215,0.234537296394152,0.31589328395653,0.230013705658515,0.0002149978500215,1
4,0.05,6,"SST",0.0376446235537645,0.53668306954205,0.827030795160681,0.517169209810002,0.0042249577504225,8.91005917159763
4,0.05,6,"Toeplitz_SST",0.0042249577504225,0.234537296394152,0.31589328395653,0.230013705658515,0.0042249577504225,1
4,0.05,6,"LST",0.00507494925050749,0.269404599463841,0.403210118658664,0.27095891606387,0.0042249577504225,1.20118343195266
4,0.1,6,"Toeplitz_SST",0.0378046219537805,0.234537296394152,0.31589328395653,0.230013705658515,0.0378046219537805,1
4,0.1,6,"SST",0.0592844071559284,0.53668306954205,0.827030795160681,0.517169209810002,0.0378046219537805,1.56817881232641
4,0.1,6,"LST",0.0386646133538665,0.269404599463841,0.403210118658664,0.27095891606387,0.0378046219537805,1.02274831371512
5,0.02,10,"SST",0.0003649963500365,0.696564183337614,0.889546565106138,0.673953723987527,4.9999500005e-06,73
5,0.02,10,"LST",4.9999500005e-06,0.307718028936922,0.404514418660519,0.306560784793792,4.9999500005e-06,1
5,0.02,10,"Toeplitz_SST",4.9999500005e-06,0.253874977675483,0.312824497760781,0.251229618751296,4.9999500005e-06,1
5,0.05,10,"SST",0.000784992150078499,0.696564183337614,0.889546565106138,0.673953723987527,4.49995500045e-05,17.4444444444444
5,0.05,10,"Toeplitz_SST",4.49995500045e-05,0.253874977675483,0.312824497760781,0.251229618751296,4.49995500045e-05,1
5,0.05,10,"LST",4.49995500045e-05,0.307718028936922,0.404514418660519,0.306560784793792,4.49995500045e-05,1
5,0.1,10,"Toeplitz_SST",0.0022749772502275,0.253874977675483,0.312824497760781,0.251229618751296,0.0022749772502275,1
5,0.1,10,"SST",0.0022549774502255,0.696564183337614,0.889546565106138,0.673953723987527,0.0022749772502275,0.991208791208791
5,0.1,10,"LST",0.0021949780502195,0.307718028936922,0.404514418660519,0.306560784793792,0.0022749772502275,0.964835164835165
6,0.02,15,"SST",4.9999500005e-06,0.783668990945444,0.922599866031669,0.764132384806934,4.9999500005e-06,1
6,0.02,15,"LST",4.9999500005e-06,0.328979045310157,0.40602938382331,0.327885885264198,4.9999500005e-06,1
6,0.02,15,"Toeplitz_SST",4.9999500005e-06,0.263869477882382,0.310978224001002,0.262385029604979,4.9999500005e-06,1
6,0.05,15,"SST",4.9999500005e-06,0.783668990945444,0.922599866031669,0.764132384806934,4.9999500005e-06,1
6,0.05,15,"Toeplitz_SST",4.9999500005e-06,0.263869477882382,0.310978224001002,0.262385029604979,4.9999500005e-06,1
6,0.05,15,"LST",4.9999500005e-06,0.328979045310157,0.40602938382331,0.327885885264198,4.9999500005e-06,1
6,0.1,15,"Toeplitz_SST",8.49991500084999e-05,0.263869477882382,0.310978224001002,0.262385029604979,8.49991500084999e-05,1
6,0.1,15,"SST",2.49997500025e-05,0.783668990945444,0.922599866031669,0.764132384806934,8.49991500084999e-05,0.294117647058824
6,0.1,15,"LST",8.49991500084999e-05,0.328979045310157,0.40602938382331,0.327885885264198,8.49991500084999e-05,1
