dataset,model,K_hat,elpd_loo,p_loo,looic,pareto_k_max,pareto_k_gt_0_7
moreno_sheep,WST,6,-913.1,170.5,1826.2,4.946,0.087
moreno_sheep,SST,6,-884.8,126.8,1769.6,3.627,0.037
moreno_sheep,DCSBM,6,-927.9,207.3,1855.8,2.856,0.262
strauss_2019b,WST,14,-1942.9,535,3885.9,3.561,0.128
strauss_2019b,SST,7,-2171.8,313.8,4343.6,7.064,0.066
strauss_2019b,DCSBM,6,-2340.7,615.5,4681.4,3.103,0.16
mountain_goats,WST,4,-1349.5,143.6,2699,1.67,0.025
mountain_goats,SST,6,-1253.6,141.3,2507.1,1.963,0.036
mountain_goats,DCSBM,4,-1295.4,144.9,2590.8,2.175,0.134
citations_data,WST,14,-6248.2,917.7,12496.3,2.453,0.062
citations_data,SST,5,-8676.9,1364.1,17353.9,19.573,0.07
citations_data,DCSBM,11,-6092.1,577.9,12184.2,2.02,0.041
macaques_data,WST,10,-3336.3,242.9,6672.5,4.245,0.021
macaques_data,SST,11,-3127.9,190.3,6255.9,1.726,0.007
macaques_data,DCSBM,11,-3093.6,215.8,6187.1,2.214,0.025
high_school,WST,9,-1228.2,263.7,2456.5,1.38,0.191
high_school,SST,12,-1167.6,223.8,2335.1,2.006,0.037
high_school,DCSBM,8,-1370.1,374.4,2740.3,4.451,0.235
