dataset,model,n,K,viol_zhat,back_count,cross_count
moreno_sheep,WST,28,4,0.04834605597964377,19,393
moreno_sheep,SST,28,5,0.0225,9,400
moreno_sheep,DCSBM,28,5,0.07510729613733906,35,466
strauss_2019b,WST,35,14,0.11391661773341162,194,1703
strauss_2019b,SST,35,7,0.10139318885448917,131,1292
strauss_2019b,DCSBM,35,6,0.10392609699769054,135,1299
mountain_goats,WST,45,4,0.003656307129798903,2,547
mountain_goats,SST,45,6,0.0033500837520938024,2,597
mountain_goats,DCSBM,45,4,0,0,535
citations_data,WST,47,13,0.296028880866426,3608,12188
citations_data,SST,47,5,0.33431790832512853,3056,9141
citations_data,DCSBM,47,11,0.31523840206185566,3914,12416
macaques_data,WST,62,9,0.008808290155440414,17,1930
macaques_data,SST,62,10,0.005527638190954774,11,1990
macaques_data,DCSBM,62,11,0.020236920039486673,41,2026
high_school,WST,70,9,0.29411764705882354,40,136
high_school,SST,70,12,0.1746987951807229,29,166
high_school,DCSBM,70,8,0.4609375,59,128
