dataset,model,rank,K_hat,K_lo,K_hi,elpd_loo,looic,delta_elpd,se_delta_elpd,z_ratio,t_ratio,n_obs,loo_df,t_crit_95,clear_95
moreno_sheep,Toeplitz SST--OSBM,1,6,4,7,-884.8,1769.6,NA,NA,NA,NA,NA,NA,NA,FALSE
moreno_sheep,WST--OSBM,2,6,4,7,-913.1,1826.2,-28.34,14.74,1.9226594301221167,1.9226594301221167,378,377,1.966276387660302,FALSE
moreno_sheep,DC--SBM,3,6,5,8,-927.9,1855.8,-43.15,17.87,2.414661443760492,2.414661443760492,378,377,1.966276387660302,TRUE
strauss_2019b,WST--OSBM,1,14,13,15,-1942.9,3885.9,NA,NA,NA,NA,NA,NA,NA,FALSE
strauss_2019b,Toeplitz SST--OSBM,2,7,6,8,-2171.8,4343.6,-228.85,82.72,2.7665618955512574,2.7665618955512574,595,594,1.963965718820849,TRUE
strauss_2019b,DC--SBM,3,6,6,8,-2340.7,4681.4,-397.77,84.88,4.686262959472196,4.686262959472196,595,594,1.963965718820849,TRUE
mountain_goats,Toeplitz SST--OSBM,1,6,6,8,-1253.6,2507.1,NA,NA,NA,NA,NA,NA,NA,FALSE
mountain_goats,DC--SBM,2,4,4,6,-1295.4,2590.8,-41.82,8.56,4.885514018691588,4.885514018691588,990,989,1.9623655292684496,TRUE
mountain_goats,WST--OSBM,3,4,3,6,-1349.5,2699,-95.94,11.45,8.379039301310044,8.379039301310044,990,989,1.9623655292684496,TRUE
citations_data,DC--SBM,1,11,11,11,-6092.1,12184.2,NA,NA,NA,NA,NA,NA,NA,FALSE
citations_data,WST--OSBM,2,14,12,14,-6248.2,12496.3,-156.06,106.24,1.4689382530120483,1.4689382530120483,1081,1080,1.9621629538432332,FALSE
citations_data,Toeplitz SST--OSBM,3,5,5,6,-8676.9,17353.9,-2584.84,305.15,8.470719318368017,8.470719318368017,1081,1080,1.9621629538432332,TRUE
macaques_data,DC--SBM,1,11,11,12,-3093.6,6187.1,NA,NA,NA,NA,NA,NA,NA,FALSE
macaques_data,Toeplitz SST--OSBM,2,11,9,11,-3127.9,6255.9,-34.37,28.66,1.199232379623168,1.199232379623168,1891,1890,1.9612199450329362,FALSE
macaques_data,WST--OSBM,3,10,8,11,-3336.3,6672.5,-242.7,17.2,14.11046511627907,14.11046511627907,1891,1890,1.9612199450329362,TRUE
high_school,Toeplitz SST--OSBM,1,12,9,13,-1167.6,2335.1,NA,NA,NA,NA,NA,NA,NA,FALSE
high_school,WST--OSBM,2,9,7,11,-1228.2,2456.5,-60.67,8.76,6.9257990867579915,6.9257990867579915,2415,2414,1.9609471829201859,TRUE
high_school,DC--SBM,3,8,8,10,-1370.1,2740.3,-202.58,27.95,7.2479427549194995,7.2479427549194995,2415,2414,1.9609471829201859,TRUE
