dataset,model,K,viol_rate,viol_count,cross_count
moreno_sheep,WST,4,0.04834605597964377,19,393
moreno_sheep,SST,5,0.0225,9,400
moreno_sheep,DCSBM,5,0.07510729613733906,35,466
strauss_2019b,WST,14,0.11391661773341162,194,1703
strauss_2019b,SST,7,0.10139318885448917,131,1292
strauss_2019b,DCSBM,6,0.10392609699769054,135,1299
mountain_goats,WST,4,0.003656307129798903,2,547
mountain_goats,SST,6,0.0033500837520938024,2,597
mountain_goats,DCSBM,4,0,0,535
citations_data,WST,13,0.296028880866426,3608,12188
citations_data,SST,5,0.33431790832512853,3056,9141
citations_data,DCSBM,11,0.31523840206185566,3914,12416
macaques_data,WST,9,0.008808290155440414,17,1930
macaques_data,SST,10,0.005527638190954774,11,1990
macaques_data,DCSBM,11,0.020236920039486673,41,2026
high_school,WST,9,0.29411764705882354,40,136
high_school,SST,12,0.1746987951807229,29,166
high_school,DCSBM,8,0.4609375,59,128
