Dataset,Model,K,Viol,zWb,zSb,zWi,zSi
Bighorn sheep,WST,4,"4.8\%\,(19/393)","0.954\,[0.667,\,1.000]","0.372\,[0.250,\,0.750]","0.997\,[1.000,\,1.000]","0.197\,[0.000,\,0.750]"
Bighorn sheep,SST,5,"2.2\%\,(9/400)","1.000\,[1.000,\,1.000]","0.429\,[0.286,\,0.500]","0.996\,[0.875,\,1.000]","0.433\,[0.300,\,0.667]"
Bighorn sheep,DC--SBM,5,"7.5\%\,(35/466)","0.916\,[0.778,\,1.000]","0.438\,[0.286,\,0.625]","0.954\,[0.778,\,1.000]","0.527\,[0.286,\,0.714]"
Spotted hyenas,WST,14,"11.4\%\,(194/1{,}703)","0.977\,[0.950,\,0.991]","0.384\,[0.318,\,0.464]","0.917\,[0.875,\,0.953]","0.484\,[0.383,\,0.561]"
Spotted hyenas,SST,7,"10.1\%\,(131/1{,}292)","0.966\,[0.857,\,1.000]","0.350\,[0.147,\,0.571]","0.918\,[0.792,\,1.000]","0.492\,[0.333,\,0.704]"
Spotted hyenas,DC--SBM,6,"10.4\%\,(135/1{,}299)","0.904\,[0.867,\,0.917]","0.560\,[0.417,\,0.667]","0.920\,[0.824,\,1.000]","0.617\,[0.412,\,0.824]"
Mountain goats,WST,4,"0.4\%\,(2/547)","1.000\,[1.000,\,1.000]","0.535\,[0.000,\,1.000]","1.000\,[1.000,\,1.000]","0.492\,[0.000,\,1.000]"
Mountain goats,SST,6,"0.3\%\,(2/597)","1.000\,[1.000,\,1.000]","0.451\,[0.300,\,0.600]","1.000\,[1.000,\,1.000]","0.469\,[0.287,\,0.650]"
Mountain goats,DC--SBM,4,"0.0\%\,(0/535)","1.000\,[1.000,\,1.000]","0.315\,[0.000,\,0.750]","1.000\,[1.000,\,1.000]","0.393\,[0.000,\,1.000]"
Stat.\ journals,WST,13,"29.6\%\,(3{,}608/12{,}188)","0.900\,[0.856,\,0.934]","0.419\,[0.371,\,0.485]","0.871\,[0.821,\,0.917]","0.437\,[0.368,\,0.506]"
Stat.\ journals,SST,5,"33.4\%\,(3{,}056/9{,}141)","1.000\,[1.000,\,1.000]","0.714\,[0.700,\,0.800]","0.858\,[0.667,\,1.000]","0.496\,[0.200,\,0.667]"
Stat.\ journals,DC--SBM,11,"31.5\%\,(3{,}914/12{,}416)","0.968\,[0.968,\,0.968]","0.595\,[0.595,\,0.595]","0.915\,[0.915,\,0.915]","0.519\,[0.519,\,0.519]"
Macaques,WST,9,"0.9\%\,(17/1{,}930)","1.000\,[1.000,\,1.000]","0.353\,[0.333,\,0.488]","0.999\,[0.988,\,1.000]","0.400\,[0.336,\,0.482]"
Macaques,SST,10,"0.6\%\,(11/1{,}990)","1.000\,[1.000,\,1.000]","0.326\,[0.275,\,0.358]","1.000\,[1.000,\,1.000]","0.340\,[0.311,\,0.417]"
Macaques,DC--SBM,11,"2.0\%\,(41/2{,}026)","1.000\,[1.000,\,1.000]","0.327\,[0.297,\,0.339]","1.000\,[1.000,\,1.000]","0.432\,[0.362,\,0.481]"
High school,WST,9,"29.4\%\,(40/136)","0.884\,[0.717,\,0.983]","0.306\,[0.188,\,0.459]","0.986\,[0.950,\,1.000]","0.898\,[0.817,\,0.963]"
High school,SST,12,"17.5\%\,(29/166)","0.970\,[0.946,\,0.986]","0.409\,[0.340,\,0.481]","0.983\,[0.958,\,1.000]","0.884\,[0.834,\,0.933]"
High school,DC--SBM,8,"46.1\%\,(59/128)","0.839\,[0.833,\,0.879]","0.357\,[0.312,\,0.366]","0.996\,[0.981,\,1.000]","0.909\,[0.873,\,0.946]"
