dataset,model,K_hat,K_mode,K_mean,K_lo_95,K_hi_95
citations_data,DCSBM,11,11,11,11,11
citations_data,SST,5,5,5.038285714285714,5,6
citations_data,WST,13,13,13.062857142857142,12,14
high_school,DCSBM,8,8,8.444285714285714,8,10
high_school,SST,12,11,10.749714285714285,9,13
high_school,WST,9,9,9.241142857142858,7,11
macaques_data,DCSBM,11,11,11.058857142857143,11,12
macaques_data,SST,10,10,10.315142857142858,9,11
macaques_data,WST,9,10,9.649142857142857,8,11
moreno_sheep,DCSBM,5,5,6.016857142857143,5,8
moreno_sheep,SST,5,5,5.287714285714285,4,7
moreno_sheep,WST,4,6,5.532285714285714,4,7
mountain_goats,DCSBM,4,5,4.753714285714286,4,6
mountain_goats,SST,6,6,6.675428571428571,6,8
mountain_goats,WST,4,4,4.472571428571428,3,6
strauss_2019b,DCSBM,6,6,6.569714285714285,6,8
strauss_2019b,SST,7,6,6.4791428571428575,6,8
strauss_2019b,WST,14,13,13.611142857142857,13,15
