dataset,model,K_hat,n,n_edges_directed,violation_count_zhat,cross_count_zhat,violation_rate_zhat,n_forward,n_backward,n_within,K_mode,K_mean,K_lo_95,K_hi_95,p_post_wst,p_prior_wst,bf_wst_0,log_bf_wst_0,p_post_sst,p_prior_sst,bf_sst_0,log_bf_sst_0,bf_sst_wst,log_bf_sst_wst,thetaW_block_emp_mean,thetaW_block_emp_lo,thetaW_block_emp_hi,thetaS_block_emp_mean,thetaS_block_emp_lo,thetaS_block_emp_hi,thetaW_item_emp_mean,thetaW_item_emp_lo,thetaW_item_emp_hi,thetaS_item_emp_mean,thetaS_item_emp_lo,thetaS_item_emp_hi,bar_rho_model_mean,bar_rho_model_lo,bar_rho_model_hi,n_draws_K_match,transitive_triads_mean,transitive_triads_lo.2.5.,transitive_triads_hi.97.5.,hierarchy_energy_mean,violation_rate_mean
citations_data,DCSBM,11,47,1419,3914,12416,0.31523840206185566,697,585,137,11,11,11,11,2.857142857142736e-4,0,Inf,NA,0,0,NA,NA,NA,NA,0.9682539682539684,0.9682539682539684,0.9682539682539684,0.5952380952380952,0.5952380952380952,0.5952380952380952,0.9150943396226416,0.9150943396226416,0.9150943396226416,0.5188679245283019,0.5188679245283019,0.5188679245283019,0.6574171070303971,0.6354038674432886,0.6789579057614341,3500,0.9360225108225108,0.8909090909090909,0.9696969696969696,0.7056806154951043,0.30597615979381443
citations_data,SST,5,47,1419,3056,9141,0.33431790832512853,622,443,354,5,5.038285714285714,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.5315720056054735,0.4,0.8,0.7092600225318054,0.6666666666666666,0.8333333333333334,0.3814304948753882,0,0.6666666666666666,0.6556461619187409,0.6450303647664436,0.6663731600966865,3466,1,1,1,0.9292031000788388,0.34230927637065567
citations_data,WST,13,47,1419,3608,12188,0.296028880866426,721,563,135,13,13.062857142857142,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9002750223503634,0.855994455994456,0.9339622641509434,0.41925888817546586,0.37104072398190047,0.4846657826126045,0.8711205230314419,0.8210387539857738,0.9170364891518736,0.43725692872786853,0.367967332123412,0.5056179775280899,0.6469471251699747,0.6348835313855454,0.6598512729734065,2291,1,1,1,0.8484994532029335,0.29696114459725315
high_school,DCSBM,8,70,366,59,128,0.4609375,63,53,250,8,8.444285714285714,8,10,0,0,NA,NA,0,0,NA,NA,NA,NA,0.8394922348525751,0.8333333333333334,0.8787878787878788,0.3565079658728398,0.3125,0.36585365853658536,0.9960888433824449,0.9807692307692308,1,0.9085219227540564,0.8727272727272727,0.9464285714285714,0.6227170589163825,0.5383654100788895,0.7068690338511863,2111,0.7443493266562902,0.6607142857142857,0.875,0.5364052115570954,0.30999540986580476
high_school,SST,12,70,366,29,166,0.1746987951807229,118,27,221,11,10.749714285714285,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9656110399208488,0.9230769230769232,1,0.4050120945604346,0.3092105263157895,0.49664429530201343,0.9828660595497888,0.95625,1,0.8720678083332745,0.8136645962732919,0.9245283018867924,0.7876300899448176,0.6966977771176276,0.856996480622771,1161,1,1,1,0.7605793279114464,0.19178699343148617
high_school,WST,9,70,366,40,136,0.29411764705882354,86,37,243,9,9.241142857142858,7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8840217484525262,0.7166666666666667,0.9831073446327684,0.30600406524419776,0.1875,0.4592131147540984,0.9858819455735864,0.95,1,0.8976727424404077,0.8170731707317073,0.9629629629629628,0.6184280175634402,0.5926818063857611,0.6442102643570692,1273,1,1,1,0.7028606734996006,0.2741151063789765
macaques_data,DCSBM,11,62,1187,41,2026,0.020236920039486673,979,34,174,11,11.058857142857143,11,12,0.7795992714025504,0,Inf,NA,0,0,NA,NA,NA,NA,1,1,1,0.32703573495923227,0.296969696969697,0.3393939393939394,0.9999421466890308,1,1,0.4323805285483815,0.3619631901840491,0.48148148148148145,0.9364524340996042,0.8989128308810672,0.9579897552200128,3294,0.9955548195985354,0.9636363636363636,1,0.7003590616147788,0.00701044312022064
macaques_data,SST,10,62,1187,11,1990,0.005527638190954774,997,10,180,10,10.315142857142858,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.3561501318339212,0.2023809523809524,0.3928571428571429,0.9998093010563172,1,1,0.4005502103156392,0.3614457831325301,0.5,0.9875283113090004,0.9826914084428132,0.9918609833123356,1499,1,1,1,0.7493819591704894,0.00572178008386281
macaques_data,WST,9,62,1187,17,1930,0.008808290155440414,966,15,206,10,9.649142857142857,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999630532771744,1,1,0.35303193444403835,0.3333333333333333,0.4880952380952381,0.999170735309272,0.9876543209876544,1,0.399976000663718,0.3360441767068273,0.4819277108433735,0.8299307924371877,0.8119953906961752,0.8470359462056508,1388,1,1,1,0.6833456390049866,0.010349357972123
moreno_sheep,DCSBM,5,28,250,35,466,0.07510729613733906,170,19,61,5,6.016857142857143,5,8,0.5026943802925329,0.2235,2.249191858132138,0.8105709775343453,0,0.0025,0,NA,0,NA,0.9163779830638952,0.7777777777777778,1,0.43840469469799725,0.2857142857142857,0.625,0.9538359788359788,0.7777777777777778,1,0.5270937962046506,0.2857142857142857,0.7142857142857143,0.8254338463968174,0.7304920062930971,0.8989326103335745,1299,0.9094688221709007,0.8,1,0.8613803939393568,0.07251852756297483
