"gen_model","fit_model_clean","K_true","hierch_label","kappa_mean","n","ari_mean","ari_sd","ari_median","ari_q25","ari_q75"
"SST","WST",3,"weak",0.75,4,0.870729949752658,0.258540100494683,1,0.870729949752658,1
"SST","WST",3,"weak",1.5,4,0.983679462081879,0.0326410758362415,1,0.983679462081879,1
"SST","WST",3,"weak",3,4,0.98739067534688,0.0252186493062405,1,0.98739067534688,1
"SST","WST",3,"weak",6,4,1,0,1,1,1
"SST","WST",3,"medium",0.75,4,0.72463494514024,0.263953586625634,0.707809990775162,0.507130935783883,0.925314000131519
"SST","WST",3,"medium",1.5,4,0.98739067534688,0.0252186493062405,1,0.98739067534688,1
"SST","WST",3,"medium",3,4,0.975461868487873,0.0490762630242535,1,0.975461868487873,1
"SST","WST",3,"medium",6,4,0.97478135069376,0.0291199879311135,0.97478135069376,0.949562701387519,1
"SST","WST",3,"strong",0.75,4,1,0,1,1,1
"SST","WST",3,"strong",1.5,4,0.975416666666667,0.0491666666666665,1,0.975416666666667,1
"SST","WST",3,"strong",3,4,0.975461868487873,0.0490762630242535,1,0.975461868487873,1
"SST","WST",3,"strong",6,4,1,0,1,1,1
"SST","WST",5,"weak",0.75,4,0.844443540098359,0.110787716580457,0.819726819995652,0.793099972116706,0.871070387977305
"SST","WST",5,"weak",1.5,4,0.942978299463755,0.0835172430641756,0.974441556484725,0.91741985594848,1
"SST","WST",5,"weak",3,4,0.989303843364757,0.021392313270486,1,0.989303843364757,1
"SST","WST",5,"weak",6,4,1,0,1,1,1
"SST","WST",5,"medium",0.75,4,0.909644786735586,0.125298171693804,0.957215373459028,0.898948630100343,0.967911530094271
"SST","WST",5,"medium",1.5,4,1,0,1,1,1
"SST","WST",5,"medium",3,4,0.989303843364757,0.021392313270486,1,0.989303843364757,1
"SST","WST",5,"medium",6,4,1,0,1,1,1
"SST","WST",5,"strong",0.75,4,0.825344041786773,0.148200190374416,0.832069368345665,0.706447232040594,0.950966178091844
"SST","WST",5,"strong",1.5,4,0.862327778649022,0.167782019244729,0.895187054011286,0.757514832660308,1
"SST","WST",5,"strong",3,4,0.989303843364757,0.021392313270486,1,0.989303843364757,1
"SST","WST",5,"strong",6,4,1,0,1,1,1
"SST","WST",8,"weak",0.75,4,0.695825470849046,0.247442026052944,0.695811857690076,0.515289918974849,0.876347409564273
"SST","WST",8,"weak",1.5,4,0.990004259685945,0.01999148062811,1,0.990004259685945,1
"SST","WST",8,"weak",3,4,1,0,1,1,1
"SST","WST",8,"weak",6,4,1,0,1,1,1
"SST","WST",8,"medium",0.75,4,0.684417157579038,0.113352100409066,0.667927984992746,0.602545413066628,0.749799729505156
"SST","WST",8,"medium",1.5,4,0.831389255121917,0.195164122933334,0.839671551660653,0.67106080678257,1
"SST","WST",8,"medium",3,4,0.904210412382292,0.110608288393293,0.904210412382292,0.808420824764585,1
"SST","WST",8,"medium",6,4,1,0,1,1,1
"SST","WST",8,"strong",0.75,4,0.676036205853733,0.231078103921012,0.615255647282306,0.535850825268783,0.755441027867256
"SST","WST",8,"strong",1.5,4,0.746448902625442,0.071559011858466,0.746448902625442,0.684476980486298,0.808420824764585
"SST","WST",8,"strong",3,4,0.786477263491261,0.0794419740069566,0.816955163048569,0.773613067409996,0.829819359129834
"SST","WST",8,"strong",6,4,1,0,1,1,1
"SST","SST",3,"weak",0.75,4,0.871591887496412,0.256816225007175,1,0.871591887496412,1
"SST","SST",3,"weak",1.5,4,0.983679462081879,0.0326410758362415,1,0.983679462081879,1
