"gen_model","fit_model_clean","K_true","hierch_label","kappa_mean","n","vi_mean","vi_sd","vi_median","vi_q25","vi_q75"
"SST","WST",3,"weak",0.75,4,0.732689448676093,0.851652470043683,0.672897646991605,4.44089209850063e-16,1.4055870956677
"SST","WST",3,"weak",1.5,4,0.210456437522409,0.420912875044818,4.44089209850063e-16,4.44089209850063e-16,0.210456437522409
"SST","WST",3,"weak",3,4,0.0480335130121913,0.0960670260243818,4.44089209850063e-16,4.44089209850063e-16,0.0480335130121913
"SST","WST",3,"weak",6,4,0.166666666666667,0.333333333333333,4.44089209850063e-16,4.44089209850063e-16,0.166666666666667
"SST","WST",3,"medium",0.75,4,1.05474776685621,0.622712820620275,1.12548160495547,0.595766339198184,1.58446303261349
"SST","WST",3,"medium",1.5,4,0.0480335130121913,0.0960670260243818,4.44089209850063e-16,4.44089209850063e-16,0.0480335130121913
"SST","WST",3,"medium",3,4,0.0793701899335793,0.158740379867158,4.44089209850063e-16,4.44089209850063e-16,0.0793701899335793
"SST","WST",3,"medium",6,4,0.0960670260243822,0.110928646670847,0.0960670260243822,4.44089209850063e-16,0.192134052048764
"SST","WST",3,"strong",0.75,4,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16
"SST","WST",3,"strong",1.5,4,0.0954656523719856,0.19093130474397,4.44089209850063e-16,4.44089209850063e-16,0.0954656523719856
"SST","WST",3,"strong",3,4,0.0793701899335793,0.158740379867158,4.44089209850063e-16,4.44089209850063e-16,0.0793701899335793
"SST","WST",3,"strong",6,4,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16
"SST","WST",5,"weak",0.75,4,0.376898291626777,0.276560927775161,0.421800857483158,0.3,0.498699149109935
"SST","WST",5,"weak",1.5,4,0.353227873306845,0.427325768693639,0.275171630887259,0,0.628399504194104
"SST","WST",5,"weak",3,4,0.041883202211766,0.083766404423532,0,0,0.041883202211766
"SST","WST",5,"weak",6,4,0,0,0,0,0
"SST","WST",5,"medium",0.75,4,0.423684999900163,0.373752809044711,0.283766404423532,0.167532808847064,0.539918595476631
"SST","WST",5,"medium",1.5,4,0.1,0.2,0,0,0.1
"SST","WST",5,"medium",3,4,0.041883202211766,0.083766404423532,0,0,0.041883202211766
"SST","WST",5,"medium",6,4,0,0,0,0,0
"SST","WST",5,"strong",0.75,4,0.491722830747135,0.218910640392003,0.575625628846066,0.467532808847065,0.599815650746136
"SST","WST",5,"strong",1.5,4,0.361795464144579,0.457020469633035,0.24831677810154,0,0.610112242246119
"SST","WST",5,"strong",3,4,0.041883202211766,0.083766404423532,0,0,0.041883202211766
"SST","WST",5,"strong",6,4,0,0,0,0,0
"SST","WST",8,"weak",0.75,4,0.826052800939032,0.707874297576044,0.715751825442746,0.32992452573712,1.21188010064466
"SST","WST",8,"weak",1.5,4,0.036129310262738,0.072258620525476,0,0,0.036129310262738
"SST","WST",8,"weak",3,4,0,0,0,0,0
"SST","WST",8,"weak",6,4,0.0583333333333333,0.116666666666667,0,0,0.0583333333333333
"SST","WST",8,"medium",0.75,4,0.713543234548134,0.516273876995589,0.564490491895505,0.478345820744748,0.799687905698891
"SST","WST",8,"medium",1.5,4,0.366446471425026,0.423961026188706,0.350257009182825,0,0.716703480607851
"SST","WST",8,"medium",3,4,0.308333333333333,0.240947204913349,0.366666666666666,0.175,0.5
"SST","WST",8,"medium",6,4,0,0,0,0,0
"SST","WST",8,"strong",0.75,4,0.89924446023677,0.634978046241639,1.05110196912102,0.781330228873867,1.16901620048393
"SST","WST",8,"strong",1.5,4,0.507932287331038,0.00915941645172851,0.507932287331038,0.5,0.515864574662076
