"gen_model","fit_model","K_true","K_hat","K_p.mean","hierch","kappa_mean","kappa_var","psi_mean","psi_var","rate_kap","ari","vi","elpd","looic","pk_bad","time","seed","thetaW_block_model_mean","thetaW_block_model_lo","thetaW_block_model_hi","thetaW_block_model_ess","thetaW_block_model_mcse","thetaS_block_model_mean","thetaS_block_model_lo","thetaS_block_model_hi","thetaS_block_model_ess","thetaS_block_model_mcse","thetaW_block_emp_mean","thetaW_block_emp_lo","thetaW_block_emp_hi","thetaW_block_emp_ess","thetaW_block_emp_mcse","thetaS_block_emp_mean","thetaS_block_emp_lo","thetaS_block_emp_hi","thetaS_block_emp_ess","thetaS_block_emp_mcse","thetaW_item_emp_mean","thetaW_item_emp_lo","thetaW_item_emp_hi","thetaW_item_emp_ess","thetaW_item_emp_mcse","thetaS_item_emp_mean","thetaS_item_emp_lo","thetaS_item_emp_hi","thetaS_item_emp_ess","thetaS_item_emp_mcse","thetaW_block_model_all_mean","thetaW_block_model_all_lo","thetaW_block_model_all_hi","thetaW_block_model_all_ess","thetaW_block_model_all_mcse","thetaS_block_model_all_mean","thetaS_block_model_all_lo","thetaS_block_model_all_hi","thetaS_block_model_all_ess","thetaS_block_model_all_mcse","thetaW_block_emp_all_mean","thetaW_block_emp_all_lo","thetaW_block_emp_all_hi","thetaW_block_emp_all_ess","thetaW_block_emp_all_mcse","thetaS_block_emp_all_mean","thetaS_block_emp_all_lo","thetaS_block_emp_all_hi","thetaS_block_emp_all_ess","thetaS_block_emp_all_mcse","thetaW_item_emp_all_mean","thetaW_item_emp_all_lo","thetaW_item_emp_all_hi","thetaW_item_emp_all_ess","thetaW_item_emp_all_mcse","thetaS_item_emp_all_mean","thetaS_item_emp_all_lo","thetaS_item_emp_all_hi","thetaS_item_emp_all_ess","thetaS_item_emp_all_mcse","prem_block_model_avg","prem_block_emp_avg","prem_item_emp_avg","coverage_block_model_avg","coverage_block_emp_avg","coverage_item_emp_avg","violation_rate_mean","violation_rate_lo.2.5.","violation_rate_hi.97.5.","violation_count_mean","cross_mass_mean","violation_rate_zhat","violation_count_zhat","rep_id"
"SST","WST",3,1,1,"weak",0.75,0.2025,0.2,0.09,0.75,1,1.58496250072116,-2764.32851077836,5528.65702155673,0,323.443,1002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,1
"SST","SST",3,1,1.00088888888889,"weak",0.75,0.2025,0.2,0.09,0.75,1,1.58496250072116,-2764.17911776327,5528.35823552654,0,277.841,1003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0.414042845013389,0.354220821631507,0.498666666666667,61.25,156,0,0,1
"SST","DC-SBM",3,60,59.864,"weak",0.75,0.2025,0.2,0.09,0.75,0,4.32192809488736,-2958.89152399896,5917.78304799792,0.0768361581920904,4718.435,1004,0.591750763118646,0.531416051304127,0.652729963570127,3966.99999999999,0.000487217876748317,0.206659185342714,0.161914822266935,0.255102040816327,3967.00000000001,0.000380954391152024,0.830663798738288,0.826725403817915,0.863182885280358,4500,0.000134585000338421,0.524642585653003,0.516886930983847,0.556302343449866,4305.99545950593,0.000159021942148082,0.83861913338057,0.794402492232074,0.850649350649351,4500.00000000029,0.000218264551466873,0.569767935518393,0.518394648829431,0.581168831168831,4500.00000000034,0.000241018162695588,0.180669775649105,0.15215,0.21185,3966.9999999999,0.000237927675094171,0.0631018401814974,0.048,0.081,3967.00000000004,0.000134051435434534,0.566274,0.563,0.591,4499.99999999972,0.000106345360984947,0.357657333333333,0.352,0.379525,4135.52214317115,0.000117277131668238,0.520215111111111,0.478,0.524,4500.00000000017,0.000182805320785721,0.353454222222222,0.312,0.358,4499.99999999985,0.000175368953428953,305.267204436602,681.726222222222,310.16,0.305267204436602,0.681726222222222,0.62032,0.435628724305523,0.433760683760684,0.438034188034188,611.529555555556,1403.78622222222,0.493589743589744,693,1
"SST","WST",3,2,2.30288888888889,"medium",0.75,0.2025,0.7,0.09,0.75,0.515201314708299,0.666666666666667,-2925.18854703906,5850.37709407812,0.000564971751412429,2027.68,1003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995935707966507,1,1,250.217909461512,0.00247129448329372,0.468398094793667,0,1,28.1197739652432,0.0863001734163201,0.82663635361552,0,1,360.535091502896,0.0180179646144576,0.56685653659612,0,1,336.936173696252,0.0244364340802815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.906205035971223,0,1,339.453091762158,0.0145388167978249,0.426708633093525,0,1,26.5719064758032,0.0882139767048791,0.481879496402878,0,1,461.306055506356,0.0214674928258178,0.333543165467626,0,1,420.064909397653,0.0212431008719681,NA,0.387555555555556,0.271777777777778,NA,0.224533333333333,0.143733333333333,0.352167211675064,0.350442477876106,0.360282574568289,402.086666666667,1141.51266666667,0.351206434316354,393,1
"SST","SST",3,2,2.16222222222222,"medium",0.75,0.2025,0.7,0.09,0.75,0.515201314708299,0.666666666666667,-2924.9879290688,5849.9758581376,0.00338983050847458,1209.145,1004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997842502696872,1,1,294.909886941154,0.0015577990714313,0.819398212359377,0,1,66.33697304305,0.0435295746892323,0.872278388278388,0,1,319.081629553664,0.0167229186332801,0.569186813186813,0,1,177.596247228664,0.0335613746179297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96731078904992,0.5,1,256.693932600915,0.00856546615397825,0.796376811594203,0,1,69.0993643102099,0.0438905816048355,0.408454106280193,0,1,199.86035925418,0.0324539753957327,0.266988727858293,0,1,265.468062168631,0.0249573602289767,NA,0.197777777777778,0.115777777777778,NA,0.133711111111111,0.0648111111111111,0.351768898523126,0.350906091406803,0.358092259577795,398.983111111111,1134.04311111111,0.351206434316354,393,1
"SST","DC-SBM",3,2,15.4833333333333,"medium",0.75,0.2025,0.7,0.09,0.75,0.515201314708299,0.666666666666667,-3017.78278135784,6035.56556271569,0.25819209039548,1580.041,1005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.872533475293087,0.840348330914369,1,33.2811459947678,0.00414530975683622,0.559657956241094,0.411888111888112,0.582025677603424,33.8799647501751,0.0145434797711588,0.818275263243741,0.773656046557507,0.855581989381949,2868.50995958132,0.00105200216594746,0.537939811945164,0.47841726618705,0.574626865671642,1068.11971713677,0.002011993119734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.614362231718785,0.5745,0.63825,266.14279654335,0.00400043487378557,0.39086378516076,0.186607142857143,0.41075,29.2731073561894,0.0117361333967078,0.465982005467798,0.422,0.5075,613.544064525758,0.00308116332057781,0.307320092373255,0.264,0.33,501.22945983737,0.00354207371556192,NA,164.457777777778,66.2611111111111,NA,0.17057323039923,0.138171654641655,0.362069676915716,0.351206434316354,0.397913855840386,448.649555555556,1228.72044444444,0.351206434316354,393,1
"SST","WST",3,3,3.06533333333333,"strong",0.75,0.2025,1.3,0.09,0.75,1,4.44089209850063e-16,-2821.86811981305,5643.73623962609,0.0146892655367232,2780.475,1004,1,1,1,0,NA,0.998573805562158,1,1,2658.5186861328,0.000732000229410639,0.996543209876543,1,1,1744.8031539056,0.000806565929944847,0.984604938271605,0.75,1,757.695671233828,0.00242171971104012,0.993071347356453,1,1,1128.21823094142,0.00133145294349328,0.945992040932348,0,1,1712.83010648985,0.00497756912130655,1,1,1,0,NA,0.998573805562158,1,1,2658.5186861328,0.000732000229410639,0.987377777777778,1,1,1421.16576129349,0.00214791131790925,0.976222222222222,0.5,1,848.500309003992,0.00341255851893003,0.767822222222222,0,1,3582.13045108562,0.00689371417806168,0.733255555555556,0,1,3452.60865643068,0.0073438173184031,1,1.15644444444444,0.941555555555556,1,0.989977777777778,0.772622222222222,0.161293117857882,0.16003616636528,0.170454545454545,178.570888888889,1106.98533333333,0.160180995475113,177,1
"SST","SST",3,3,3.12822222222222,"strong",0.75,0.2025,1.3,0.09,0.75,1,4.44089209850063e-16,-2822.17662396946,5644.35324793893,0.0231638418079096,1349.384,1005,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.986566666666667,0.75,1,316.981934601484,0.00374995053504212,0.989323758504972,0.75,1,562.910670850814,0.00220805576554274,0.929765863119978,0.25,1,435.800207251281,0.00968072004929017,1,1,1,0,NA,1,1,1,0,NA,0.999355555555556,1,1,4500.00000000023,0.000250275204639608,0.986033333333333,0.75,1,323.438736556475,0.00384738601667333,0.78,0,1,2315.8425054462,0.00825836327165401,0.735766666666667,0,1,1885.41120602479,0.00955921592562021,1,1.39755555555556,1.14222222222222,1,0.999355555555556,0.788288888888889,0.161659636132215,0.16003616636528,0.173434856175973,179.758444444444,1111.57155555556,0.160180995475113,177,1
"SST","DC-SBM",3,3,3.28111111111111,"strong",0.75,0.2025,1.3,0.09,0.75,1,4.44089209850063e-16,-2820.75812357375,5641.5162471475,0.0135593220338983,559.116,1006,1,1,1,0,NA,0.99508281573499,1,1,3863.99999999986,0.0011254481736122,1,1,1,0,NA,0.960353968253968,0.714285714285714,1,3.47500479804069,0.0534710780732214,0.999784130508527,1,1,1633.78029135517,0.000121064145330466,0.92939140222654,0.555555555555556,1,12.7712957484501,0.0474423161697074,1,1,1,0,NA,0.99508281573499,1,1,3863.99999999986,0.0011254481736122,0.962422222222222,0.7,1,5.98080620679548,0.0414703935699893,0.933211111111111,0.5,1,3.9765526580612,0.0840012170507535,0.782066666666667,0,1,4278.50073353804,0.00601621137590402,0.731755555555556,0,1,2181.14278050114,0.00865525174464121,1,1.89088888888889,1.88088888888889,1,0.962422222222222,0.782222222222222,0.163927346618874,0.16003616636528,0.185541452677916,183.652888888889,1118.61111111111,0.160180995475113,177,1
"SST","WST",3,3,3.14688888888889,"weak",1.5,0.81,0.2,0.09,1.5,1,4.44089209850063e-16,-4155.83935661665,8311.67871323331,0.00903954802259887,2825.277,1005,1,1,1,0,NA,1,1,1,0,NA,0.990854938271605,0.666666666666667,1,193.539788351571,0.00386266301790027,0.956964285714286,0.333333333333333,1,148.325271318528,0.0118989864563767,0.994701411682228,1,1,743.91278328667,0.00156689157240678,0.943514299168995,0.333333333333333,1,161.242542923101,0.0133860730965981,1,1,1,0,NA,1,1,1,0,NA,0.968488888888889,0.5,1,167.371868982203,0.0100345430222708,0.9388,0.25,1,120.110751091166,0.0168071119702431,0.956677777777778,0.5,1,168.839150398544,0.010875992375321,0.917855555555556,0.25,1,131.169738213478,0.0187781892158127,1,1.34822222222222,1.28733333333333,1,0.975322222222222,0.960966666666667,0.306106340656635,0.305775764439411,0.30998439211391,813.816,2658.53,0.305775764439411,810,1
"SST","SST",3,3,3.15577777777778,"weak",1.5,0.81,0.2,0.09,1.5,1,4.44089209850063e-16,-4157.63975101379,8315.27950202757,0.0192090395480226,1367.881,1006,1,1,1,0,NA,1,1,1,0,NA,0.999449735449735,1,1,1257.70094304992,0.000328153644419495,0.992438492063492,1,1,638.850245344979,0.00212683390501403,0.993580767418623,1,1,788.900060237052,0.00168556764937702,0.942266670286021,0.375,1,109.161520436059,0.0167571859410953,1,1,1,0,NA,1,1,1,0,NA,0.9924,1,1,829.000667933124,0.00214873147527462,0.98611746031746,0.75,1,558.648397875344,0.00348273788140274,0.957888888888889,0.5,1,165.875012518787,0.0110322995001848,0.920263492063492,0.25,1,118.136748307619,0.0196897707843995,1,1.47711111111111,1.33111111111111,1,0.9928,0.96271746031746,0.306312752569664,0.305775764439411,0.310547592796766,814.818222222222,2659.93577777778,0.305775764439411,810,1
"SST","DC-SBM",3,3,3,"weak",1.5,0.81,0.2,0.09,1.5,1,4.44089209850063e-16,-4155.38922139831,8310.77844279661,0.00451977401129944,268.772,1007,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.998222222222222,1,1,4499.99999999993,0.000628050198100258,0.998222222222222,1,1,4499.99999999993,0.000628050198100258,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.998222222222222,1,1,0.998222222222222,1,1,0.305776026623467,0.305775764439411,0.305775764439411,809.996888888889,2648.98755555556,0.305775764439411,810,1
"SST","WST",3,3,3.01222222222222,"medium",1.5,0.81,0.7,0.09,1.5,0.949562701387519,0.192134052048764,-3207.58997731077,6415.17995462155,0.00790960451977401,2803.937,1006,1,1,1,0,NA,0.999550157444894,1,1,4445.99999999984,0.000318050938885325,1,1,1,0,NA,0.998988888888889,1,1,3489.85399003779,0.000284731439207854,0.998925448347414,1,1,4498.00000000045,0.000464054139200245,0.277845709204091,0,1,1794.5022288636,0.0105170091257116,1,1,1,0,NA,0.999550157444894,1,1,4445.99999999984,0.000318050938885325,0.999777777777778,1,1,4499.99999999998,0.000157117375985739,0.998766666666667,1,1,3046.7179108972,0.000359412233754619,0.996288888888889,1,1,3574.70726087579,0.000885236171982766,0.2767,0,1,1781.27815905734,0.0105342547685261,1,1.03644444444444,1.02755555555556,1,0.999777777777778,0.997288888888889,0.16797561381146,0.166980539861896,0.168539325842697,268.566222222222,1598.82155555556,0.167709637046308,268,1
