"gen_model","fit_model","K_true","K_hat","K_p.mean","hierch","kappa_mean","kappa_var","psi_mean","psi_var","theta_ocrp","ocrp_attempts","block_sizes_true","rate_kap","ari","vi","elpd","looic","pk_bad","time","seed","thetaW_block_model_mean","thetaW_block_model_lo","thetaW_block_model_hi","thetaW_block_model_ess","thetaW_block_model_mcse","thetaS_block_model_mean","thetaS_block_model_lo","thetaS_block_model_hi","thetaS_block_model_ess","thetaS_block_model_mcse","thetaW_block_emp_mean","thetaW_block_emp_lo","thetaW_block_emp_hi","thetaW_block_emp_ess","thetaW_block_emp_mcse","thetaS_block_emp_mean","thetaS_block_emp_lo","thetaS_block_emp_hi","thetaS_block_emp_ess","thetaS_block_emp_mcse","thetaW_item_emp_mean","thetaW_item_emp_lo","thetaW_item_emp_hi","thetaW_item_emp_ess","thetaW_item_emp_mcse","thetaS_item_emp_mean","thetaS_item_emp_lo","thetaS_item_emp_hi","thetaS_item_emp_ess","thetaS_item_emp_mcse","bar_rho_model_mean","bar_rho_model_lo","bar_rho_model_hi","bar_rho_model_ess","bar_rho_model_mcse","thetaW_block_model_all_mean","thetaW_block_model_all_lo","thetaW_block_model_all_hi","thetaW_block_model_all_ess","thetaW_block_model_all_mcse","thetaS_block_model_all_mean","thetaS_block_model_all_lo","thetaS_block_model_all_hi","thetaS_block_model_all_ess","thetaS_block_model_all_mcse","thetaW_block_emp_all_mean","thetaW_block_emp_all_lo","thetaW_block_emp_all_hi","thetaW_block_emp_all_ess","thetaW_block_emp_all_mcse","thetaS_block_emp_all_mean","thetaS_block_emp_all_lo","thetaS_block_emp_all_hi","thetaS_block_emp_all_ess","thetaS_block_emp_all_mcse","thetaW_item_emp_all_mean","thetaW_item_emp_all_lo","thetaW_item_emp_all_hi","thetaW_item_emp_all_ess","thetaW_item_emp_all_mcse","thetaS_item_emp_all_mean","thetaS_item_emp_all_lo","thetaS_item_emp_all_hi","thetaS_item_emp_all_ess","thetaS_item_emp_all_mcse","prem_block_model_avg","prem_block_emp_avg","prem_item_emp_avg","coverage_block_model_avg","coverage_block_emp_avg","coverage_item_emp_avg","transitive_triads_mean","transitive_triads_lo.2.5.","transitive_triads_hi.97.5.","cycle_mass_weighted_mean","min_backward_weight_mean","min_backward_weight_norm_mean","hierarchy_energy_mean","hierarchy_energy_lo.2.5.","hierarchy_energy_hi.97.5.","curl_energy_mean","p_post_wst","p_prior_wst","bf_wst_0","log_bf_wst_0","p_post_sst","p_prior_sst","bf_sst_0","log_bf_sst_0","bf_sst_wst","log_bf_sst_wst","bf_prior_mc","violation_rate_mean","violation_rate_lo.2.5.","violation_rate_hi.97.5.","violation_count_mean","cross_mass_mean","n_draws_K_match","violation_rate_zhat","violation_count_zhat","rep_id","density"
"SST","WST",4,1,3.06,"weak",0.75,0.2025,0.2,0.09,1,3,"6;31;2;21",0.75,1,1.51808182053062,-2866.96350136303,5733.92700272607,0.00508474576271186,109.767,1002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.423492466671853,0.342997658079625,0.511297860034702,250.538686131387,586.953284671533,65,NA,NA,1,"sparse"
"SST","SST",4,1,2.788,"weak",0.75,0.2025,0.2,0.09,1,3,"6;31;2;21",0.75,1,1.51808182053062,-2867.82860656773,5735.65721313547,0.00169491525423729,496.685,1003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.420276610874267,0.352730278157775,0.507134742194327,246.535087719298,579.821637426901,66,NA,NA,1,"sparse"
"SST","DC-SBM",4,1,1.00133333333333,"weak",0.75,0.2025,0.2,0.09,1,3,"6;31;2;21",0.75,1,1.51808182053062,-2866.60995026314,5733.21990052628,0,18.9250000000001,1004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.55,0.55,11,20,749,NA,NA,1,"sparse"
"SST","WST",4,5,4.464,"strong",0.75,0.2025,1.3,0.09,1,2,"6;31;2;21",0.75,0.544070652489687,1.20053035467025,-2853.22592265792,5706.45184531585,0.00508474576271186,136.615,1003,1,1,1,0,NA,0.414765906362545,0,0.907499999999999,238,0.0146467495906239,0.933988595438175,0.747321428571429,1,238,0.00615346338198618,0.498677804455115,0,1,238,0.013279128089045,0.828556422569028,0.5,1,194.937092376428,0.0110798610015154,0.509653861544618,0.142857142857143,1,238,0.0130921945472235,0.608964536925809,0.567754827818495,0.649456255977985,168.076005340214,0.00175606210041153,0.767226890756302,0.3925,1,238,0.0133310969571885,0.321008403361345,0,0.7,238,0.0123009326936366,0.692016806722689,0.3,1,238,0.0148953207401523,0.367647058823529,0,0.7,141.038683767606,0.0145134361852022,0.523529411764706,0.2,0.8,238,0.0107745585776543,0.320588235294118,0.1,0.6,238,0.009442418523819,7.67226890756302,7.39495798319328,6.30672268907563,0.767226890756302,0.739495798319328,0.630672268907563,1,1,1,0,0,0,0.865353716540419,0.703647880566513,0.977356938381434,0.451646924159742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.320478963025333,0.291960907268654,0.351908499980509,288.489333333333,896.185333333333,238,0.311274509803922,254,1,"sparse"
"SST","SST",4,3,3.44,"strong",0.75,0.2025,1.3,0.09,1,2,"6;31;2;21",0.75,0.724335117519751,1.1806285689439,-2858.1800200396,5716.3600400792,0.0146892655367232,591.035,1004,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.796208530805687,0,1,92.5343219051905,0.0419746003919151,0.966666666666667,0,1,240,0.0116112451305664,0.75,0,1,240,0.0280092632614977,0.707655505586954,0.63438577074407,0.762686206195615,130.985570639401,0.00278701453003264,1,1,1,0,NA,1,1,1,0,NA,0.727586206896552,0,1,213.183597995656,0.0305442847018524,0.579310344827586,0,1,230.755780244958,0.0325544484374395,0.8,0,1,239.350168102284,0.0258996085698667,0.620689655172414,0,1,290,0.028542083731177,1,0.727586206896552,0.827586206896552,1,0.727586206896552,0.827586206896552,1,1,1,0,0,0,0.961708476649739,0.896771540291504,0.999834163905503,0.278642175322435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.308879686874105,0.284552845528455,0.333981555619374,258.542056074766,833.967957276368,290,0.297900262467192,227,1,"sparse"
"SST","DC-SBM",4,2,2.02133333333333,"strong",0.75,0.2025,1.3,0.09,1,2,"6;31;2;21",0.75,0.691795010357561,1.37057815692688,-2855.69327578264,5711.38655156527,0.0220338983050847,29.172,1005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.295060323771986,0.282967032967033,0.312283960948849,221.732,751.054666666667,734,0.282967032967033,206,1,"sparse"
"SST","WST",8,3,4.26133333333333,"weak",0.75,0.2025,0.2,0.09,1,2,"1;2;8;1;9;2;1;36",0.75,0.876519524914104,1.05005803849537,-2528.75730110381,5057.51460220762,0.0096045197740113,145.481,1006,1,1,1,0,NA,0.522222222222222,0,1,90,0.0529475225507682,0.860759493670886,0,1,79,0.0391991280198552,0.430379746835443,0,1,53.4687506816379,0.0681451340275264,0.911392405063291,0,1,50.6593559430151,0.0401813560363375,0.632911392405063,0,1,54.7098795760749,0.0655828483470994,0.576748686694771,0.525138643340517,0.649688776951108,113,0.00319048870235734,0.79646017699115,0,1,113,0.0380450113421091,0.415929203539823,0,1,113,0.0465729172127037,0.601769911504425,0,1,46.5446730835834,0.0720738112398549,0.300884955752212,0,1,305.07540892981,0.0263755284680701,0.63716814159292,0,1,113,0.0454329274995358,0.442477876106195,0,1,113,0.0469318660079567,0.79646017699115,0.699115044247788,0.699115044247788,0.79646017699115,0.699115044247788,0.699115044247788,1,1,1,0,0,0,0.917442701027996,0.748597080943751,0.999433398278034,0.292526894473473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435730678603119,0.385235951991271,0.509981576523227,186.376021798365,426.737057220708,113,0.549668874172185,83,1,"sparse"
"SST","SST",8,3,4.14933333333333,"weak",0.75,0.2025,0.2,0.09,1,2,"1;2;8;1;9;2;1;36",0.75,0.876519524914104,1.05005803849537,-2530.36659726494,5060.73319452989,0.00338983050847458,416.161,1007,1,1,1,0,NA,1,1,1,0,NA,0.858695652173913,0,1,92,0.0365154534667852,0.543478260869565,0,1,92,0.0522157023277458,0.883333333333333,0,1,155.554586790276,0.0258470769622068,0.716666666666667,0,1,120,0.0413079799354701,0.567022553407042,0.508900080595221,0.663061542259079,185.99008271988,0.00299342723248471,1,1,1,0,NA,1,1,1,0,NA,0.487654320987654,0,1,162,0.039393506433532,0.308641975308642,0,1,107.811196899771,0.0446263774576796,0.654320987654321,0,1,162,0.0374816752551714,0.530864197530864,0,1,162,0.039330373364755,1,0.567901234567901,0.740740740740741,1,0.567901234567901,0.740740740740741,1,1,1,0,0,0,0.974181510754827,0.907999190952762,0.999996068032175,0.0495737452916128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445975047794541,0.388028852590708,0.51382228528028,196.640540540541,439.25,162,0.549668874172185,83,1,"sparse"
"SST","DC-SBM",8,2,2.01466666666667,"weak",0.75,0.2025,0.2,0.09,1,2,"1;2;8;1;9;2;1;36",0.75,0.000565291124929339,1.27942442287843,-2491.40806637792,4982.81613275584,0,29.569,1008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.566870651137535,0.555555555555556,0.581395348837209,55.6306666666667,98.3906666666667,739,0.555555555555556,60,1,"sparse"
"SST","WST",4,3,3.07733333333333,"weak",3,3.24,0.2,0.09,1,1,"6;31;2;21",3,0.7052400188418,1.33664111623474,-5520.77269066683,11041.5453813337,0.0163841807909605,317.515,1004,1,1,1,0,NA,0.392156862745098,0,1,318.638225950318,0.0273756316140237,1,1,1,0,NA,0.254746835443038,0,1,120.001791857682,0.0398067120573923,0.696531791907515,0,1,284.381379220439,0.0273026621973546,0.355491329479769,0,1,220.259138096938,0.0322991001125389,0.560581700632882,0.521647657604852,0.605210076284643,521.07315659851,0.000927094237060987,0.80835734870317,0,1,694,0.0149513760002626,0.31700288184438,0,1,417.388934025294,0.0227920659750822,0.910662824207493,0,1,170.965903945227,0.0218299769895284,0.231988472622478,0,1,123.59407906003,0.0379954294094405,0.347262247838617,0,1,357.419870744825,0.0252012407395878,0.177233429394813,0,1,380.461389708382,0.0195915574644021,0.80835734870317,0.910662824207493,0.498559077809798,0.80835734870317,0.910662824207493,0.498559077809798,1,1,1,0,0,0,0.914370777674766,0.749567793098177,0.999869296937574,0.157883900120184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.448818974734213,0.436888982326528,0.461985178209083,1367.44266666667,3046.11066666667,694,0.448051948051948,1380,1,"dense"
