"gen_model","K_true","density","hierch","rep_id","scenario_id","theta_ocrp","dgp_partition","dyad_id","i","j","Aij","Aji","Nij","zi_true","zj_true","same_true","elpd_WST","pareto_k_WST","elpd_SST","pareto_k_SST","elpd_DC_SBM","pareto_k_DC_SBM","delta_elpd_WST_minus_SST","delta_elpd_WST_minus_DC","delta_elpd_SST_minus_DC"
"WST",4,"kappa_5","verystrong",2,"scn_002",1,"BALANCED",1,1,2,2,4,6,1,1,TRUE,-3.3287341007487,0.103327348292319,-3.33484394366503,0.261414426919136,-3.34341186754941,-0.0453887277257631,0.00610984291632999,0.014677766800709,0.00856792388437899
"WST",4,"kappa_5","verystrong",2,"scn_002",1,"BALANCED",2,1,3,3,0,3,1,4,FALSE,-1.78716276373766,0.296560036668043,-1.66571736714962,0.190889982579989,-1.70625956477555,0.354797844350356,-0.121445396588042,-0.080903198962103,0.040542197625939
"WST",4,"kappa_5","verystrong",2,"scn_002",1,"BALANCED",3,2,3,3,0,3,1,4,FALSE,-1.7776391450922,0.185315142726838,-1.65739257528198,0.20009719663031,-1.69946739586677,0.26106437022748,-0.120246569810222,-0.0781717492254259,0.0420748205847961
"WST",4,"kappa_5","verystrong",2,"scn_002",1,"BALANCED",4,1,4,0,0,0,1,3,FALSE,-3.07408429971586,0.058504421949839,-2.9996958400677,0.0814559391459454,-3.08056028355436,0.149269629649486,-0.0743884596481594,0.00647598383849335,0.0808644434866528
"WST",4,"kappa_5","verystrong",2,"scn_002",1,"BALANCED",5,2,4,1,0,1,1,3,FALSE,-1.9742360615912,0.31661008913683,-1.88509554527743,0.231354603064171,-1.92636282899001,0.310000907603348,-0.0891405163137708,-0.047873232601189,0.0412672837125818
"WST",4,"kappa_5","verystrong",2,"scn_002",1,"BALANCED",6,3,4,0,1,1,4,3,FALSE,-1.24179274793172,0.161076537995144,-1.2164363160537,0.30767158847644,-1.16743518668407,0.137730980992949,-0.0253564318780137,-0.0743575612476475,-0.0490011293696337
"WST",4,"kappa_5","verystrong",2,"scn_002",1,"BALANCED",7,1,5,1,0,1,1,4,FALSE,-1.89511109984047,0.174962280699381,-1.89874726727433,0.0185733182666595,-1.86648085895528,0.135616862019721,0.00363616743386252,-0.0286302408851862,-0.0322664083190487
"WST",4,"kappa_5","verystrong",2,"scn_002",1,"BALANCED",8,2,5,1,0,1,1,4,FALSE,-1.84596385721067,0.0950856518359237,-1.8421730979405,0.151679689581799,-1.79641924492462,0.227171292391182,-0.00379075927016714,-0.0495446122860494,-0.0457538530158823
"WST",4,"kappa_5","verystrong",2,"scn_002",1,"BALANCED",9,3,5,1,0,1,4,4,TRUE,-1.73215918702313,0.43216866588028,-1.73662947499374,0.0108725579057955,-1.73224447673115,0.150670740170065,0.004470287970606,8.52897080179105e-05,-0.00438499826258809
"WST",4,"kappa_5","verystrong",2,"scn_002",1,"BALANCED",10,4,5,3,0,3,3,4,FALSE,-2.84079704412401,0.227956436742794,-2.64771170699366,0.265623654035085,-2.73175433644694,0.25213558397126,-0.193085337130354,-0.109042707677073,0.0840426294532808
