"gen_model","K_true","density","hierch","rep_id","scenario_id","theta_ocrp","dgp_partition","dyad_id","i","j","Aij","Aji","Nij","zi_true","zj_true","same_true","elpd_WST","pareto_k_WST","elpd_SST","pareto_k_SST","elpd_DC_SBM","pareto_k_DC_SBM","delta_elpd_WST_minus_SST","delta_elpd_WST_minus_DC","delta_elpd_SST_minus_DC"
"SST",4,"kappa_5","verystrong",2,"scn_001",1,"OCRP",1,1,2,1,1,2,4,4,TRUE,-2.25211983068766,0.0754481540052394,-2.32799998424942,0.218530235230405,-2.32463300341775,0.0366493916422051,0.0758801535617604,0.072513172730087,-0.00336698083167342
"SST",4,"kappa_5","verystrong",2,"scn_001",1,"OCRP",2,1,3,3,2,5,4,4,TRUE,-3.14304574234057,0.075555515822815,-3.06668792206565,0.255558865284846,-3.05678886560908,0.181989288489703,-0.0763578202749198,-0.0862568767314835,-0.00989905645656375
"SST",4,"kappa_5","verystrong",2,"scn_001",1,"OCRP",3,2,3,1,2,3,4,4,TRUE,-2.5251978742387,0.218014127340483,-2.56378954118805,0.253727221095469,-2.55887425588413,0.132337996162512,0.0385916669493476,0.0336763816454315,-0.00491528530391605
"SST",4,"kappa_5","verystrong",2,"scn_001",1,"OCRP",4,1,4,0,2,2,4,2,FALSE,-1.54585604327813,-0.0147669444356565,-1.62780104201452,0.0890823913753874,-1.54089096293022,0.140312322065577,0.0819449987363887,-0.0049650803479091,-0.0869100790842978
"SST",4,"kappa_5","verystrong",2,"scn_001",1,"OCRP",5,2,4,0,3,3,4,2,FALSE,-2.02610959211321,0.0465176565436923,-2.12686660527249,0.0539256162298371,-2.03437261798461,-0.0333428346827248,0.10075701315928,0.0082630258713996,-0.09249398728788
"SST",4,"kappa_5","verystrong",2,"scn_001",1,"OCRP",6,3,4,0,4,4,4,2,FALSE,-2.47433704518946,-0.0376353469254802,-2.60487286239948,0.00246048893043709,-2.46697393089772,0.0934304817103299,0.130535817210015,-0.0073631142917403,-0.137898931501756
"SST",4,"kappa_5","verystrong",2,"scn_001",1,"OCRP",7,1,5,1,0,1,4,4,TRUE,-3.04091121378732,0.215426524562355,-3.18217172879359,0.182280295293585,-3.21720579642726,0.166864834377352,0.141260515006266,0.17629458263994,0.0350340676336742
"SST",4,"kappa_5","verystrong",2,"scn_001",1,"OCRP",8,2,5,0,1,1,4,4,TRUE,-2.76646375066811,0.234182089432818,-2.91973786047326,0.0334624612596675,-2.91854605062122,0.00265642275435737,0.153274109805145,0.152082299953111,-0.00119180985203382
"SST",4,"kappa_5","verystrong",2,"scn_001",1,"OCRP",9,3,5,3,4,7,4,4,TRUE,-4.35159883268483,0.145468300470032,-4.16861060771738,0.125097147404378,-4.12354022644028,-0.0372540111250935,-0.182988224967449,-0.228058606244555,-0.0450703812771058
"SST",4,"kappa_5","verystrong",2,"scn_001",1,"OCRP",10,4,5,2,0,2,2,4,FALSE,-1.55162155589506,-0.0468019613437048,-1.63835626990231,0.0371596382780898,-1.5504341734295,0.0825835768407702,0.0867347140072479,-0.00118738246556394,-0.0879220964728118
"SST",4,"kappa_5","verystrong",2,"scn_001",1,"OCRP",11,1,6,3,6,9,4,3,FALSE,-3.63077030083619,-0.0308541711668238,-4.63660987306614,0.169106280818755,-4.60399104651432,0.25823214770813,1.00583957222994,0.973220745678127,-0.0326188265518175
"SST",4,"kappa_5","verystrong",2,"scn_001",1,"OCRP",12,2,6,2,6,8,4,3,FALSE,-3.44855892166645,0.298582817976179,-4.83655832011129,0.185017426722099,-4.85911742172223,0.441971209546646,1.38799939844484,1.41055850005578,0.022559101610943
"SST",4,"kappa_5","verystrong",2,"scn_001",1,"OCRP",13,3,6,3,4,7,4,3,FALSE,-3.51971535866624,-0.00267536505851604,-3.27720966326478,0.698343544271867,-3.25694723889114,0.350485203785305,-0.24250569540146,-0.262768119775092,-0.020262424373632
"SST",4,"kappa_5","verystrong",2,"scn_001",1,"OCRP",14,4,6,2,2,4,2,3,FALSE,-3.48397990324741,0.1345421495944,-4.2448477931511,-0.0179589910872772,-4.83445912533837,0.098700931755969,0.76086788990369,1.35047922209097,0.589611332187278
"SST",4,"kappa_5","verystrong",2,"scn_001",1,"OCRP",15,5,6,3,6,9,4,3,FALSE,-3.58078581938791,0.23481408378418,-4.53312318534022,0.217747830048325,-4.52005580803254,0.28126245585587,0.952337365952316,0.939269988644633,-0.0130673773076824
"SST",4,"kappa_5","verystrong",2,"scn_001",1,"OCRP",16,1,7,0,0,0,4,2,FALSE,-2.55097507505557,0.281926124451723,-2.56488597178393,0.163692828614761,-2.59325915621404,0.344761843184123,0.0139108967283601,0.0422840811584617,0.0283731844301016
