"gen_model","fit_model","K_true","K_hat","K_p.mean","hierch","kappa_mean","kappa_var","psi_mean","psi_var","theta_ocrp","ocrp_attempts","block_sizes_true","rate_kap","ari","vi","elpd","elpd_se","p_loo","p_loo_se","looic","looic_se","pk_bad","pk_bad_count","pareto_k_max","pareto_k_mean","n_loo_obs","time","seed","thetaW_block_model_mean","thetaW_block_model_lo","thetaW_block_model_hi","thetaW_block_model_ess","thetaW_block_model_mcse","thetaS_block_model_mean","thetaS_block_model_lo","thetaS_block_model_hi","thetaS_block_model_ess","thetaS_block_model_mcse","thetaW_block_emp_mean","thetaW_block_emp_lo","thetaW_block_emp_hi","thetaW_block_emp_ess","thetaW_block_emp_mcse","thetaS_block_emp_mean","thetaS_block_emp_lo","thetaS_block_emp_hi","thetaS_block_emp_ess","thetaS_block_emp_mcse","thetaW_item_emp_mean","thetaW_item_emp_lo","thetaW_item_emp_hi","thetaW_item_emp_ess","thetaW_item_emp_mcse","thetaS_item_emp_mean","thetaS_item_emp_lo","thetaS_item_emp_hi","thetaS_item_emp_ess","thetaS_item_emp_mcse","bar_rho_model_mean","bar_rho_model_lo","bar_rho_model_hi","bar_rho_model_ess","bar_rho_model_mcse","thetaW_block_model_all_mean","thetaW_block_model_all_lo","thetaW_block_model_all_hi","thetaW_block_model_all_ess","thetaW_block_model_all_mcse","thetaS_block_model_all_mean","thetaS_block_model_all_lo","thetaS_block_model_all_hi","thetaS_block_model_all_ess","thetaS_block_model_all_mcse","thetaW_block_emp_all_mean","thetaW_block_emp_all_lo","thetaW_block_emp_all_hi","thetaW_block_emp_all_ess","thetaW_block_emp_all_mcse","thetaS_block_emp_all_mean","thetaS_block_emp_all_lo","thetaS_block_emp_all_hi","thetaS_block_emp_all_ess","thetaS_block_emp_all_mcse","thetaW_item_emp_all_mean","thetaW_item_emp_all_lo","thetaW_item_emp_all_hi","thetaW_item_emp_all_ess","thetaW_item_emp_all_mcse","thetaS_item_emp_all_mean","thetaS_item_emp_all_lo","thetaS_item_emp_all_hi","thetaS_item_emp_all_ess","thetaS_item_emp_all_mcse","prem_block_model_avg","prem_block_emp_avg","prem_item_emp_avg","coverage_block_model_avg","coverage_block_emp_avg","coverage_item_emp_avg","transitive_triads_mean","transitive_triads_lo.2.5.","transitive_triads_hi.97.5.","cycle_mass_weighted_mean","min_backward_weight_mean","min_backward_weight_norm_mean","hierarchy_energy_mean","hierarchy_energy_lo.2.5.","hierarchy_energy_hi.97.5.","curl_energy_mean","p_post_wst","p_prior_wst","bf_wst_0","log_bf_wst_0","p_post_sst","p_prior_sst","bf_sst_0","log_bf_sst_0","bf_sst_wst","log_bf_sst_wst","bf_prior_mc","violation_rate_mean","violation_rate_lo.2.5.","violation_rate_hi.97.5.","violation_count_mean","cross_mass_mean","n_draws_K_match","violation_rate_zhat","violation_count_zhat","elpd_rank","elpd_best_model","delta_elpd_best","delta_elpd_best_se","delta_elpd_best_z","elpd_wst_minus_sst","elpd_wst_minus_sst_se","elpd_wst_minus_sst_z","elpd_wst_minus_dc","elpd_wst_minus_dc_se","elpd_wst_minus_dc_z","elpd_sst_minus_dc","elpd_sst_minus_dc_se","elpd_sst_minus_dc_z","loo_pointwise_file","rep_id","density"
"SST","WST",4,4,4.02888888888889,"strong",5,9,3,0.01,1,11,"14;17;12;5",5,1,4.44089209850063e-16,-3695.63192952618,36.1354702775111,61.6934104654395,2.55778317650804,7391.26385905235,72.2709405550222,0,0,0.688681674224044,0.123019829588624,1128,97.937,1002,1,1,1,0,NA,0.979977116704805,0.75,1,345.523605824234,0.00387518972118715,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.798604012582601,0.778723333602867,0.814025285665226,371.952855973094,0.000449148126212118,1,1,1,0,NA,0.979977116704805,0.75,1,345.523605824234,0.00387518972118715,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,4,4,4,1,1,1,1,1,1,0,0,0,0.988954226398294,0.972019460613393,0.998185116704471,0.200931855359818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.213645874314726,0.213467829880044,0.215476596900953,784.222222222222,3670.57777777778,437,0.213467829880044,783,3,"DC-SBM",-3.37879654675953,1.93408523268253,1.74697396457198,-3.1923800086256,2.33831460735884,1.36524828548689,-3.37879654675953,1.93408523268253,1.74697396457198,-0.186416538133926,2.06732282552636,0.090172921148134,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_095552/loo_pointwise/loo_pointwise_rep001_SST_clean_SST_K4_kappa_5_strong_seed1001.csv",1,"kappa_5"
"SST","SST",4,4,4,"strong",5,9,3,0.01,1,11,"14;17;12;5",5,1,4.44089209850063e-16,-3692.43954951755,36.2000089739305,58.7260145578933,2.51370525962755,7384.8790990351,72.400017947861,0,0,0.495848893572551,0.10967855201908,1128,305.039,1003,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.810997081053399,0.798160206869867,0.822662200954044,450,0.000290349981296688,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,4,4,4,1,1,1,1,1,1,0,0,0,0.990686508726225,0.975744581332909,0.999185905971062,0.175414860323582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.213467829880044,0.213467829880044,0.213467829880044,783,3668,450,0.213467829880044,783,2,"DC-SBM",-0.186416538133926,2.06732282552636,0.090172921148134,-3.1923800086256,2.33831460735884,1.36524828548689,-3.37879654675953,1.93408523268253,1.74697396457198,-0.186416538133926,2.06732282552636,0.090172921148134,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_095552/loo_pointwise/loo_pointwise_rep001_SST_clean_SST_K4_kappa_5_strong_seed1001.csv",1,"kappa_5"
"SST","DC-SBM",4,4,4,"strong",5,9,3,0.01,1,11,"14;17;12;5",5,1,4.44089209850063e-16,-3692.25313297942,36.2967070252083,60.6097238261304,2.46896946909216,7384.50626595883,72.5934140504166,0,0,0.530937898425504,0.106773427772273,1128,16.183,1004,1,1,1,0,NA,0.975555555555556,0.75,1,450,0.00350423868278259,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.810490028965572,0.795588114851801,0.826114556780942,352.765441624227,0.000448288285154715,1,1,1,0,NA,0.975555555555556,0.75,1,450,0.00350423868278259,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,4,4,4,1,1,1,1,1,1,0,0,0,0.991515067484572,0.974110783747375,0.999376494431714,0.1805597816673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.213467829880044,0.213467829880044,0.213467829880044,783,3668,450,0.213467829880044,783,1,"DC-SBM",0,0,NA,-3.1923800086256,2.33831460735884,1.36524828548689,-3.37879654675953,1.93408523268253,1.74697396457198,-0.186416538133926,2.06732282552636,0.090172921148134,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_095552/loo_pointwise/loo_pointwise_rep001_SST_clean_SST_K4_kappa_5_strong_seed1001.csv",1,"kappa_5"
"WST","WST",4,4,4.04,"strong",5,9,1.5,2.25,1,20,"10;12;12;14",5,1,0,-3387.39320424984,37.5067262409463,59.6861047578238,2.46222846692533,6774.78640849968,75.0134524818927,0,0,0.636310111417287,0.120933271281826,1128,88.79,1003,1,1,1,0,NA,0.369791666666667,0.25,0.5,184.97012172406,0.00919359018767555,1,1,1,0,NA,0.5,0.5,0.5,0,NA,1,1,1,0,NA,0.666666666666667,0.666666666666667,0.666666666666667,0,NA,0.854971317704048,0.841712016467252,0.868401826876885,370.421302713665,0.000366122315331508,1,1,1,0,NA,0.369791666666667,0.25,0.5,184.97012172406,0.00919359018767555,1,1,1,0,NA,0.5,0.5,0.5,0,NA,0.75,0.75,0.75,0,NA,0.5,0.5,0.5,0,NA,4,4,3,1,1,0.75,1,1,1,0,0,0,0.823541540318264,0.795035513122334,0.852124681956951,8.56438911331075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0950473809004894,0.0949301064051742,0.0970624870251194,455.724444444444,4794.64222222222,432,0.454204047569372,2177,2,"DC-SBM",-6.4216271202049,3.12652002093122,2.05392163722407,364.293554097341,28.0594540116279,12.9829167006021,-6.4216271202049,3.12652002093122,2.05392163722407,-370.715181217546,28.6144449517638,12.9555258486569,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_095552/loo_pointwise/loo_pointwise_rep001_WST_hetero_WST_K4_kappa_5_strong_seed1002.csv",1,"kappa_5"
"WST","SST",4,4,4.15111111111111,"strong",5,9,1.5,2.25,1,20,"10;12;12;14",5,1,0,-3751.68675834718,49.7438123453219,239.112657031979,18.8239650888221,7503.37351669437,99.4876246906438,0.00177304964539007,2,0.887414172924794,0.118004855142875,1128,300.897,1004,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.5,0.5,0.5,0,NA,1,1,1,0,NA,0.666666666666667,0.666666666666667,0.666666666666667,0,NA,0.898546512716684,0.890207062191923,0.907493682039585,181.036284080062,0.000334098155863966,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.5,0.5,0.5,0,NA,0.75,0.75,0.75,0,NA,0.5,0.5,0.5,0,NA,4,4,3,1,1,0.75,1,1,1,0,0,0,0.938160569681265,0.85878530640523,0.962675396178503,2.39707678305094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103749147700739,0.0949301064051742,0.106405174212393,497.811111111111,4798.56666666667,382,0.454204047569372,2177,3,"DC-SBM",-370.715181217546,28.6144449517638,12.9555258486569,364.293554097341,28.0594540116279,12.9829167006021,-6.4216271202049,3.12652002093122,2.05392163722407,-370.715181217546,28.6144449517638,12.9555258486569,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_095552/loo_pointwise/loo_pointwise_rep001_WST_hetero_WST_K4_kappa_5_strong_seed1002.csv",1,"kappa_5"
"WST","DC-SBM",4,4,4,"strong",5,9,1.5,2.25,1,20,"10;12;12;14",5,1,0,-3380.97157712964,38.3591155409614,60.0833694653376,2.44306468521274,6761.94315425927,76.7182310819229,0,0,0.551045204635585,0.112575294702867,1128,17.241,1005,1,1,1,0,NA,0.490555555555556,0.25,0.5,450,0.00224943129672349,1,1,1,0,NA,0.5,0.5,0.5,0,NA,1,1,1,0,NA,0.666666666666667,0.666666666666667,0.666666666666667,0,NA,0.86416130273346,0.850361491473822,0.87830156465044,450,0.000324954097968688,1,1,1,0,NA,0.490555555555556,0.25,0.5,450,0.00224943129672349,1,1,1,0,NA,0.5,0.5,0.5,0,NA,0.75,0.75,0.75,0,NA,0.5,0.5,0.5,0,NA,4,4,3,1,1,0.75,1,1,1,0,0,0,0.857361946264911,0.825973172993577,0.884784560793803,10.7393659165871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0949301064051742,0.0949301064051742,0.0949301064051742,455,4793,450,0.454204047569372,2177,1,"DC-SBM",0,0,NA,364.293554097341,28.0594540116279,12.9829167006021,-6.4216271202049,3.12652002093122,2.05392163722407,-370.715181217546,28.6144449517638,12.9555258486569,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_095552/loo_pointwise/loo_pointwise_rep001_WST_hetero_WST_K4_kappa_5_strong_seed1002.csv",1,"kappa_5"
"SST","WST",4,4,4.00222222222222,"strong",5,9,3,0.01,1,71,"17;9;15;7",5,1,0,-3708.51511475191,37.0386221204538,53.770483412242,2.16735562967486,7417.03022950382,74.0772442409075,0,0,0.586014946900395,0.109587455760251,1128,163.68,1004,1,1,1,0,NA,0.99554565701559,1,1,449,0.00156249612476641,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.666666666666667,0.666666666666667,0.666666666666667,0,NA,0.788388195412819,0.771628092848593,0.805043649999209,449,0.000406239103580248,1,1,1,0,NA,0.99554565701559,1,1,449,0.00156249612476641,1,1,1,0,NA,1,1,1,0,NA,0.75,0.75,0.75,0,NA,0.5,0.5,0.5,0,NA,4,4,3,1,1,0.75,1,1,1,0,0,0,0.993477497372327,0.983658844415881,0.999015771746808,0.173593238015087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.190212159070639,0.190210656753408,0.190210656753408,614.013333333333,3228.04444444444,449,0.270446096654275,873,3,"DC-SBM",-2.96893350267374,2.09610910002384,1.41640218185206,-2.76174308601003,2.65372723260836,1.04070344987774,-2.96893350267374,2.09610910002384,1.41640218185206,-0.207190416663707,2.12501156626781,0.0975008418554627,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_095552/loo_pointwise/loo_pointwise_rep002_SST_clean_SST_K4_kappa_5_strong_seed1003.csv",2,"kappa_5"
"SST","SST",4,4,4,"strong",5,9,3,0.01,1,71,"17;9;15;7",5,1,0,-3705.7533716659,37.6156029093699,51.4527506815982,2.20409178168045,7411.5067433318,75.2312058187399,0,0,0.54072798525167,0.112936555865589,1128,434.464,1005,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.666666666666667,0.666666666666667,0.666666666666667,0,NA,0.805952955477554,0.792205983482692,0.818354733595179,389.938154852571,0.000344334864459822,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.75,0.75,0.75,0,NA,0.5,0.5,0.5,0,NA,4,4,3,1,1,0.75,1,1,1,0,0,0,0.998166327424432,0.993624180596147,0.999949465760618,0.0436019291238907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.190210656753408,0.190210656753408,0.190210656753408,614,3228,450,0.270446096654275,873,2,"DC-SBM",-0.207190416663707,2.12501156626781,0.0975008418554627,-2.76174308601003,2.65372723260836,1.04070344987774,-2.96893350267374,2.09610910002384,1.41640218185206,-0.207190416663707,2.12501156626781,0.0975008418554627,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_095552/loo_pointwise/loo_pointwise_rep002_SST_clean_SST_K4_kappa_5_strong_seed1003.csv",2,"kappa_5"
"SST","DC-SBM",4,4,4,"strong",5,9,3,0.01,1,71,"17;9;15;7",5,1,0,-3705.54618124924,37.5788827573114,53.4714583571502,2.14675951104875,7411.09236249848,75.1577655146227,0,0,0.488126361737372,0.101864133193237,1128,14.3130000000001,1006,1,1,1,0,NA,0.997222222222222,1,1,450,0.00123671415629041,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.666666666666667,0.666666666666667,0.666666666666667,0,NA,0.801971510745029,0.785127005694918,0.81813067113635,450,0.000413342163589913,1,1,1,0,NA,0.997222222222222,1,1,450,0.00123671415629041,1,1,1,0,NA,1,1,1,0,NA,0.75,0.75,0.75,0,NA,0.5,0.5,0.5,0,NA,4,4,3,1,1,0.75,1,1,1,0,0,0,0.995611448497516,0.986288295800695,0.999653976574826,0.141515276541571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.190210656753408,0.190210656753408,0.190210656753408,614,3228,450,0.270446096654275,873,1,"DC-SBM",0,0,NA,-2.76174308601003,2.65372723260836,1.04070344987774,-2.96893350267374,2.09610910002384,1.41640218185206,-0.207190416663707,2.12501156626781,0.0975008418554627,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_095552/loo_pointwise/loo_pointwise_rep002_SST_clean_SST_K4_kappa_5_strong_seed1003.csv",2,"kappa_5"
"WST","WST",4,4,4.11555555555556,"strong",5,9,1.5,2.25,1,8,"5;8;8;27",5,1,0,-3106.74745926957,40.8103351143154,61.2761478067474,2.89478744096961,6213.49491853915,81.6206702286307,0,0,0.586444456127981,0.136402228907839,1128,134.348,1005,1,1,1,0,NA,0.293640897755611,0,0.5,401,0.00916946449418965,1,1,1,0,NA,0.25,0.25,0.25,0,NA,0.666666666666667,0.666666666666667,0.666666666666667,0,NA,0,0,0,0,NA,0.830100676264098,0.812451547839684,0.84665443129014,346.044243152607,0.000562063494561068,0.998753117206983,1,1,401,0.00124688279301746,0.293640897755611,0,0.5,401,0.00916946449418965,1,1,1,0,NA,0.25,0.25,0.25,0,NA,0.5,0.5,0.5,0,NA,0,0,0,0,NA,3.99501246882793,4,3,0.998753117206983,1,0.75,1,1,1,0,0,0,0.79865872463537,0.70778438482167,0.87548816235732,4.64058915102671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172084958588047,0.170765987350668,0.1926434912688,492.186666666667,2858.78666666667,401,0.430780042164441,1226,2,"DC-SBM",-5.53865008621915,3.14318045368312,1.76211648291751,86.6610467354699,13.1369983465813,6.59671596579155,-5.53865008621915,3.14318045368312,1.76211648291751,-92.199696821689,14.1167810646138,6.53121249098378,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_095552/loo_pointwise/loo_pointwise_rep002_WST_hetero_WST_K4_kappa_5_strong_seed1004.csv",2,"kappa_5"
