"gen_model","K_true","density","hierch","rep_id","scenario_id","theta_ocrp","dgp_partition","dyad_id","i","j","Aij","Aji","Nij","zi_true","zj_true","same_true","elpd_WST","pareto_k_WST","elpd_SST","pareto_k_SST","elpd_DC_SBM","pareto_k_DC_SBM","delta_elpd_WST_minus_SST","delta_elpd_WST_minus_DC","delta_elpd_SST_minus_DC"
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",1,1,2,1,0,1,1,2,FALSE,-2.08397168060749,0.124322090677214,-2.23436166555451,-0.099872916771507,-2.05069631355186,0.147706552410597,0.150389984947013,-0.0332753670556363,-0.18366535200265
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",2,1,3,8,1,9,1,4,FALSE,-5.06113135022584,0.410096900342132,-5.01565939273782,0.282621924593734,-5.10495074437347,0.198349757046907,-0.0454719574880214,0.0438193941476328,0.0892913516356542
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",3,2,3,0,2,2,2,4,FALSE,-4.01431822442413,-0.0583095774482373,-5.24149172011451,0.0889737173857664,-4.0228554538427,0.159849056983892,1.22717349569038,0.00853722941856638,-1.21863626627181
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",4,1,4,3,1,4,1,4,FALSE,-2.90907635329986,0.191782358678647,-2.95038556892378,-0.0762962502459808,-2.98875020089826,-0.108713677900958,0.0413092156239188,0.0796738475984,0.0383646319744813
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",5,2,4,1,0,1,2,4,FALSE,-2.78375052428308,0.214920950616973,-2.56702536146021,0.117285563552146,-2.74712715377689,0.137711072693119,-0.216725162822871,-0.0366233705061889,0.180101792316682
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",6,3,4,2,1,3,4,4,TRUE,-3.44642184906936,0.0385019618542282,-3.44992366861782,0.0183212430504488,-3.47403577418385,-0.076106003689412,0.00350181954845752,0.0276139251144869,0.0241121055660294
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",7,1,5,4,0,4,1,4,FALSE,-2.10810067950758,0.126761154318178,-2.08536951546041,0.121014297465936,-2.05665197423362,0.0508929097075397,-0.0227311640471699,-0.051448705273951,-0.028717541226781
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",8,2,5,7,3,10,2,4,FALSE,-6.97210844297061,0.292029373065482,-7.26928905652885,0.297730911916888,-6.97650548571924,0.300970086493585,0.297180613558236,0.00439704274863129,-0.292783570809605
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",9,3,5,0,1,1,4,4,TRUE,-1.76000376111084,0.0115726886707375,-1.75834619219569,0.161238403828593,-1.75575416151785,-0.0292135061187786,-0.00165756891515567,-0.00424959959298743,-0.00259203067783176
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",10,4,5,0,0,0,4,4,TRUE,-1.26971630067452,0.163394092351722,-1.25700280648858,0.0558364727538383,-1.2457604360619,0.0917211824340446,-0.0127134941859373,-0.0239558646126197,-0.0112423704266824
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",11,1,6,5,0,5,1,4,FALSE,-2.30045159503043,0.145964017521405,-2.26950838288874,-0.1766072105235,-2.24394945017476,0.395198519370992,-0.0309432121416888,-0.0565021448556715,-0.0255589327139827
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",12,2,6,3,1,4,2,4,FALSE,-2.6323363314254,0.209880003080952,-2.57558997718288,0.190401648924782,-2.62487536823197,0.0978740805087551,-0.0567463542425166,-0.00746096319342726,0.0492853910490894
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",13,3,6,2,1,3,4,4,TRUE,-3.14356026987265,0.176243608785654,-3.13678104217483,0.285447433550064,-3.14951961913696,-0.072843282207689,-0.00677922769781869,0.00595934926431774,0.0127385769621364
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",14,4,6,1,1,2,4,4,TRUE,-2.16453885794983,0.0538752160753551,-2.1694040522015,0.190983592683169,-2.17341289357259,-0.246169132733566,0.00486519425167042,0.00887403562275857,0.00400884137108815
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",15,5,6,0,0,0,4,4,TRUE,-1.51159732824404,-0.0605660745823895,-1.50976698382449,0.130916362685798,-1.51177893812346,-0.0322529693405502,-0.00183034441954888,0.000181609879416733,0.00201195429896561
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",16,1,7,3,1,4,1,2,FALSE,-3.3614319893985,0.0281402385614832,-2.96704220066349,0.0595453629552031,-4.1402964975394,0.276615474630032,-0.394389788735011,0.7788645081409,1.17325429687591
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",17,2,7,5,3,8,2,2,TRUE,-4.10832412490267,0.333680723369588,-4.10130622605263,-0.0675300752449447,-4.09615932251779,0.172990295196332,-0.00701789885003912,-0.0121648023848788,-0.00514690353483971
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",18,3,7,0,1,1,4,2,FALSE,-2.51778150111155,0.292975312442049,-2.29081861649045,0.116340552328822,-2.50433710921515,0.0750288878493415,-0.226962884621098,-0.013444391896396,0.213518492724702
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",19,4,7,0,1,1,4,2,FALSE,-2.3203104114311,0.0221165383774412,-2.08158258540559,0.130394124766472,-2.29019040162595,0.121380370544269,-0.238727826025514,-0.0301200098051559,0.208607816220358
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",20,5,7,0,3,3,4,2,FALSE,-2.83351967021475,0.30500517253335,-2.17054297778743,0.232615857905351,-2.81671621798545,0.101484483641358,-0.66297669242732,-0.0168034522292997,0.64617324019802
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",21,6,7,0,3,3,4,2,FALSE,-2.85899892843468,-0.034221903020536,-2.19802282725482,0.000929029596920192,-2.8437292319031,0.091457534723189,-0.660976101179858,-0.0152696965315835,0.645706404648275
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",22,1,8,9,3,12,1,3,FALSE,-3.8713929050843,0.331952621267055,-3.85739465413194,0.0334157308737602,-3.93630465890354,0.232925478067246,-0.0139982509523628,0.0649117538192368,0.0789100047715996
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",23,2,8,5,0,5,2,3,FALSE,-6.5873046808246,0.336764511976847,-6.68476406579748,0.123682626938525,-6.11131003346797,-0.000367490700924136,0.0974593849728747,-0.475994647356637,-0.573454032329511
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",24,3,8,1,10,11,4,3,FALSE,-7.0482262776138,0.505917552068745,-7.45292376361568,0.373334723496433,-7.16427715540761,0.288965101521868,0.404697486001887,0.116050877793814,-0.288646608208073
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",25,4,8,0,3,3,4,3,FALSE,-1.98785548165934,0.166417232905009,-2.289928399465,0.163873431533802,-1.9518126562392,0.245777993727558,0.302072917805666,-0.0360428254201395,-0.338115743225806
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",26,5,8,0,5,5,4,3,FALSE,-2.37795641112966,0.428085459837477,-2.89322242105751,0.260335484606764,-2.34353553261725,0.263384324103952,0.515266009927856,-0.0344208785124023,-0.549686888440259
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",27,6,8,1,7,8,4,3,FALSE,-3.9666216652253,0.114638151730715,-4.10881334377505,-0.0407478815184783,-4.02437345070019,0.164026219377732,0.142191678549756,0.0577517854748981,-0.0844398930748582
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",28,7,8,0,0,0,2,3,FALSE,-0.924588239256745,-0.0930724118607353,-0.920980589659506,-0.10112813213154,-0.928422733147755,-0.127107983835976,-0.0036076495972388,0.0038344938910102,0.00744214348824901
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",29,1,9,3,0,3,1,4,FALSE,-2.12661255333506,0.112432668352211,-2.08833602911617,-0.208695085853906,-2.06615850926904,0.310571238049489,-0.0382765242188858,-0.0604540440660148,-0.022177519847129
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",30,2,9,2,1,3,2,4,FALSE,-2.47493413622091,0.102842952565866,-2.62853991444838,-0.0646325601910757,-2.46177337932545,0.0143466244655634,0.153605778227462,-0.0131607568954681,-0.16676653512293
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",31,3,9,1,1,2,4,4,TRUE,-2.14713545853486,0.466093202224041,-2.15807277102875,0.144014925930243,-2.15651479415178,-0.198197631349512,0.0109373124938807,0.00937933561691651,-0.00155797687696424
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",32,4,9,2,1,3,4,4,TRUE,-3.40154378472415,0.064980003855148,-3.45266030092821,0.0392255782363076,-3.44461807657766,0.091178792372383,0.0511165162040594,0.0430742918535145,-0.00804222435054491
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",33,5,9,2,1,3,4,4,TRUE,-3.20421895466858,0.2733978850367,-3.24812448615462,0.276723616986682,-3.23255250921702,0.164680037313386,0.0439055314860335,0.0283335545484356,-0.0155719769375979
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",34,6,9,1,0,1,4,4,TRUE,-1.79660086920966,0.175131211981279,-1.79070272454204,0.145421771693517,-1.79175441869914,0.0649516324511632,-0.00589814466762295,-0.00484645051052368,0.00105169415709927
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",35,7,9,1,0,1,2,4,FALSE,-2.55414022864712,-0.0457654810969338,-2.29794569532643,0.244325832883608,-2.5360131396791,-0.0034423745365398,-0.256194533320691,-0.0181270889680194,0.238067444352672
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",36,8,9,2,2,4,3,4,FALSE,-4.61026491069611,0.242547352305898,-3.59664962668664,0.250688929280091,-4.73365037916909,0.0910311626614336,-1.01361528400947,0.123385468472983,1.13700075248245
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",37,1,10,2,2,4,1,4,FALSE,-4.76730228453173,0.269770428512605,-4.86692847647256,0.0823647029357737,-4.96515401408452,-0.0396740435985847,0.0996261919408346,0.197851729552794,0.0982255376119596
"WST",4,"kappa_5","strong",2,"WST_hetero",1,"OCRP_MIN",38,2,10,5,1,6,2,4,FALSE,-3.76395874317616,0.261141834803918,-3.2872663138454,0.218892524919999,-3.78477049151305,0.0974454629788191,-0.476692429330764,0.0208117483368904,0.497504177667654
