"gen_model","K_true","density","hierch","rep_id","scenario_id","theta_ocrp","dgp_partition","dyad_id","i","j","Aij","Aji","Nij","zi_true","zj_true","same_true","elpd_WST","pareto_k_WST","elpd_SST","pareto_k_SST","elpd_DC_SBM","pareto_k_DC_SBM","delta_elpd_WST_minus_SST","delta_elpd_WST_minus_DC","delta_elpd_SST_minus_DC"
"SST",8,"kappa_0.6","app_moderate",1,"SST_appModerate",2.1959442631574,"OCRP_MIN",1,1,2,0,0,0,6,6,TRUE,-0.322974187806929,0.0324343774291531,-0.317083977457394,0.124899145252996,-0.337849273854334,0.357783635624514,-0.00589021034953507,0.0148750860474047,0.0207652963969398
"SST",8,"kappa_0.6","app_moderate",1,"SST_appModerate",2.1959442631574,"OCRP_MIN",2,1,3,0,0,0,6,6,TRUE,-0.232862911627191,0.169593277196639,-0.218752713385033,0.31485218262689,-0.215825874493326,0.526229600541097,-0.0141101982421574,-0.0170370371338642,-0.00292683889170675
"SST",8,"kappa_0.6","app_moderate",1,"SST_appModerate",2.1959442631574,"OCRP_MIN",3,2,3,0,1,1,6,6,TRUE,-2.08710429224909,0.0239727157778067,-2.12213756238049,0.0403783701685256,-2.13877037353298,-0.0824748415827155,0.0350332701314011,0.0516660812838889,0.0166328111524878
"SST",8,"kappa_0.6","app_moderate",1,"SST_appModerate",2.1959442631574,"OCRP_MIN",4,1,4,0,0,0,6,3,FALSE,-0.345326325718609,0.282491300617192,-0.384730870455126,-0.0413291967852694,-0.340324519501499,-0.0641218155132628,0.0394045447365174,-0.00500180621710999,-0.0444063509536274
"SST",8,"kappa_0.6","app_moderate",1,"SST_appModerate",2.1959442631574,"OCRP_MIN",5,2,4,0,0,0,6,3,FALSE,-0.591415609086202,0.352302638679777,-0.668659445944976,0.0473985970300637,-0.565547837855355,0.00384321859396414,0.0772438368587736,-0.025867771230847,-0.103111608089621
"SST",8,"kappa_0.6","app_moderate",1,"SST_appModerate",2.1959442631574,"OCRP_MIN",6,3,4,0,0,0,6,3,FALSE,-0.364838275339197,0.20249647014425,-0.413200543765507,0.0654721152711283,-0.354560115119928,-0.0145071641257762,0.0483622684263096,-0.0102781602192694,-0.0586404286455791
"SST",8,"kappa_0.6","app_moderate",1,"SST_appModerate",2.1959442631574,"OCRP_MIN",7,1,5,0,0,0,6,4,FALSE,-0.773708548422372,0.249677549661047,-0.772904720797222,0.127036407111102,-0.802191759564525,0.373131207915819,-0.000803827625150966,0.0284832111421522,0.0292870387673032
"SST",8,"kappa_0.6","app_moderate",1,"SST_appModerate",2.1959442631574,"OCRP_MIN",8,2,5,0,1,1,6,4,FALSE,-1.34583504875953,-0.0388823257117385,-1.38483160705559,0.294688213786256,-1.28029145767826,0.274159094267717,0.0389965582960627,-0.0655435910812647,-0.104540149377327
"SST",8,"kappa_0.6","app_moderate",1,"SST_appModerate",2.1959442631574,"OCRP_MIN",9,3,5,0,0,0,6,4,FALSE,-0.826366015523996,0.328151051755122,-0.829553254950211,0.182855031765074,-0.835650049660204,0.289154391031973,0.00318723942621446,0.00928403413620771,0.00609679470999325
"SST",8,"kappa_0.6","app_moderate",1,"SST_appModerate",2.1959442631574,"OCRP_MIN",10,4,5,0,0,0,3,4,FALSE,-0.642085129377219,0.663505987315534,-0.598640046621846,-0.056097765848679,-0.636213368718437,0.751256575936204,-0.0434450827553725,-0.00587176065878214,0.0375733220965904
"SST",8,"kappa_0.6","app_moderate",1,"SST_appModerate",2.1959442631574,"OCRP_MIN",11,1,6,0,0,0,6,6,TRUE,-0.317945096645992,0.158606943465675,-0.3113649930916,0.0974808486778508,-0.319503691149262,0.401824044043606,-0.0065801035543922,0.00155859450326989,0.0081386980576621
"SST",8,"kappa_0.6","app_moderate",1,"SST_appModerate",2.1959442631574,"OCRP_MIN",12,2,6,0,0,0,6,6,TRUE,-0.498878711628979,0.00641890762299432,-0.496472206747618,0.214563601114539,-0.531784958006297,0.169553965393575,-0.00240650488136129,0.0329062463773173,0.0353127512586786
"SST",8,"kappa_0.6","app_moderate",1,"SST_appModerate",2.1959442631574,"OCRP_MIN",13,3,6,0,0,0,6,6,TRUE,-0.357692838520307,0.285807217019848,-0.342479779832066,0.0865774550236356,-0.336330726695359,0.276094785445687,-0.0152130586882411,-0.0213621118249474,-0.00614905313670633
"SST",8,"kappa_0.6","app_moderate",1,"SST_appModerate",2.1959442631574,"OCRP_MIN",14,4,6,0,0,0,3,6,FALSE,-0.549754472140178,0.0643947577702326,-0.642471233480915,0.0696375144822003,-0.537979467762679,0.316527967191754,0.0927167613407374,-0.0117750043774985,-0.104491765718236
"SST",8,"kappa_0.6","app_moderate",1,"SST_appModerate",2.1959442631574,"OCRP_MIN",15,5,6,0,0,0,4,6,FALSE,-1.2680931375437,0.264802854660987,-1.24185811692902,0.0651905207791702,-1.2590020587698,0.415493600102932,-0.026235020614676,-0.00909107877390447,0.0171439418407715
"SST",8,"kappa_0.6","app_moderate",1,"SST_appModerate",2.1959442631574,"OCRP_MIN",16,1,7,0,0,0,6,3,FALSE,-0.307183596585545,0.286200966760504,-0.338469134973828,-0.113864201186937,-0.294571770912416,0.187577743988165,0.0312855383882837,-0.0126118256731287,-0.0438973640614124
"SST",8,"kappa_0.6","app_moderate",1,"SST_appModerate",2.1959442631574,"OCRP_MIN",17,2,7,1,1,2,6,3,FALSE,-3.85090705619303,0.290337179483835,-3.73733005507212,0.228548937037006,-3.84541845030037,0.162026091571149,-0.113577001120911,-0.00548860589266553,0.108088395228245
"SST",8,"kappa_0.6","app_moderate",1,"SST_appModerate",2.1959442631574,"OCRP_MIN",18,3,7,0,1,1,6,3,FALSE,-1.78121883989264,0.183280657676269,-1.70249037509887,0.103259440883341,-1.78591198960973,0.200154612540923,-0.0787284647937723,0.00469314971708812,0.0834216145108604
"SST",8,"kappa_0.6","app_moderate",1,"SST_appModerate",2.1959442631574,"OCRP_MIN",19,4,7,3,2,5,3,3,TRUE,-4.29212998736799,0.100805086200127,-4.41433355562817,0.140400302072739,-4.34216632481588,0.117988358809156,0.122203568260177,0.0500363374478852,-0.0721672308122914
"SST",8,"kappa_0.6","app_moderate",1,"SST_appModerate",2.1959442631574,"OCRP_MIN",20,5,7,2,0,2,4,3,FALSE,-4.04611054493769,0.286031318912395,-4.92317931419149,0.510311237636681,-3.72116434972873,0.16605659352513,0.877068769253794,-0.324946195208963,-1.20201496446276
"SST",8,"kappa_0.6","app_moderate",1,"SST_appModerate",2.1959442631574,"OCRP_MIN",21,6,7,0,0,0,6,3,FALSE,-0.489878556396859,0.0356927556189676,-0.56657594923902,0.17775607395214,-0.467715289494688,0.310277254612293,0.0766973928421608,-0.0221632669021714,-0.0988606597443322
"SST",8,"kappa_0.6","app_moderate",1,"SST_appModerate",2.1959442631574,"OCRP_MIN",22,1,8,1,0,1,6,6,TRUE,-2.40688735817957,0.175397946269151,-2.44648110771955,0.185443075571046,-2.40592602453119,0.137849805894394,0.039593749539975,-0.000961333648384688,-0.0405550831883597
