"gen_model","K_true","density","hierch","rep_id","scenario_id","theta_ocrp","dgp_partition","dyad_id","i","j","Aij","Aji","Nij","zi_true","zj_true","same_true","elpd_WST","pareto_k_WST","elpd_SST","pareto_k_SST","elpd_DC_SBM","pareto_k_DC_SBM","delta_elpd_WST_minus_SST","delta_elpd_WST_minus_DC","delta_elpd_SST_minus_DC"
"WST",8,"kappa_0.6","app_moderate_nonToeplitz",1,"WST_nonToeplitz",2.1959442631574,"OCRP_MIN",1,1,2,0,0,0,6,6,TRUE,-0.348851634268866,0.0582211725964031,-0.338440560954711,0.15856831384588,-0.371883782211884,0.177808768267953,-0.0104110733141551,0.0230321479430184,0.0334432212571736
"WST",8,"kappa_0.6","app_moderate_nonToeplitz",1,"WST_nonToeplitz",2.1959442631574,"OCRP_MIN",2,1,3,0,0,0,6,6,TRUE,-0.402774526055582,-0.0922146968568903,-0.395936870770466,-0.0717647134429256,-0.40845915708029,0.2225494335873,-0.00683765528511593,0.00568463102470762,0.0125222863098235
"WST",8,"kappa_0.6","app_moderate_nonToeplitz",1,"WST_nonToeplitz",2.1959442631574,"OCRP_MIN",3,2,3,0,1,1,6,6,TRUE,-1.88559245158209,0.13998583696906,-1.75846051411962,0.0933397530039208,-1.78599583207027,0.118280860570271,-0.12713193746247,-0.0995966195118205,0.0275353179506492
"WST",8,"kappa_0.6","app_moderate_nonToeplitz",1,"WST_nonToeplitz",2.1959442631574,"OCRP_MIN",4,1,4,0,0,0,6,3,FALSE,-0.443115659006659,0.27608085193846,-0.431995491482287,0.0616567004970257,-0.39882581164674,0.118579873496519,-0.0111201675243713,-0.0442898473599191,-0.0331696798355479
"WST",8,"kappa_0.6","app_moderate_nonToeplitz",1,"WST_nonToeplitz",2.1959442631574,"OCRP_MIN",5,2,4,0,0,0,6,3,FALSE,-0.596957922165236,0.11714773272316,-0.699794307791512,0.0469684197328836,-0.673778440086376,0.131306521071761,0.102836385626276,0.0768205179211394,-0.0260158677051363
"WST",8,"kappa_0.6","app_moderate_nonToeplitz",1,"WST_nonToeplitz",2.1959442631574,"OCRP_MIN",6,3,4,0,1,1,6,3,FALSE,-1.33008220214581,0.317229690016545,-1.30251674201034,-0.0308206899133193,-1.33547753475877,-0.00313822896461487,-0.0275654601354738,0.00539533261295766,0.0329607927484314
"WST",8,"kappa_0.6","app_moderate_nonToeplitz",1,"WST_nonToeplitz",2.1959442631574,"OCRP_MIN",7,1,5,0,1,1,6,4,FALSE,-1.09414173783158,0.338376851679584,-1.1441205027604,-0.0313559978969215,-1.10446471258494,0.136911786360029,0.0499787649288139,0.0103229747533531,-0.0396557901754608
"WST",8,"kappa_0.6","app_moderate_nonToeplitz",1,"WST_nonToeplitz",2.1959442631574,"OCRP_MIN",8,2,5,0,0,0,6,4,FALSE,-1.11940565566193,0.390956743868695,-1.07812649170235,-0.0553785895604587,-1.10263715304016,0.0771912634987388,-0.0412791639595778,-0.0167685026217708,0.024510661337807
"WST",8,"kappa_0.6","app_moderate_nonToeplitz",1,"WST_nonToeplitz",2.1959442631574,"OCRP_MIN",9,3,5,0,0,0,6,4,FALSE,-1.2682555554172,0.21699366045194,-1.25062355853945,0.205633190524933,-1.13679079806557,-0.016387155693096,-0.0176319968777481,-0.131464757351627,-0.113832760473879
"WST",8,"kappa_0.6","app_moderate_nonToeplitz",1,"WST_nonToeplitz",2.1959442631574,"OCRP_MIN",10,4,5,1,0,1,3,4,FALSE,-1.39113496174782,0.257687253326992,-1.29402234225981,-0.0718132726991648,-1.37161823124884,0.142272927374947,-0.0971126194880139,-0.0195167304989816,0.0775958889890322
"WST",8,"kappa_0.6","app_moderate_nonToeplitz",1,"WST_nonToeplitz",2.1959442631574,"OCRP_MIN",11,1,6,0,0,0,6,6,TRUE,-0.405878981537698,0.123730196060652,-0.393942177586884,0.601566874752773,-0.420025855353922,0.243556946887262,-0.0119368039508139,0.014146873816224,0.0260836777670379
