"gen_model","K_true","density","hierch","rep_id","scenario_id","theta_ocrp","dgp_partition","dyad_id","i","j","Aij","Aji","Nij","zi_true","zj_true","same_true","elpd_WST","pareto_k_WST","elpd_SST","pareto_k_SST","elpd_DC_SBM","pareto_k_DC_SBM","delta_elpd_WST_minus_SST","delta_elpd_WST_minus_DC","delta_elpd_SST_minus_DC"
"WST",4,"kappa_2","strong",2,"WST_clean",0.784140858356203,"BALANCED",1,1,2,0,1,1,1,1,TRUE,-1.81091285025115,0.527047342321568,-1.79884139939535,0.382385749007519,-1.80328179284215,0.0104460138108875,-0.0120714508558057,-0.00763105740900105,0.00444039344680469
"WST",4,"kappa_2","strong",2,"WST_clean",0.784140858356203,"BALANCED",2,1,3,10,3,13,1,3,FALSE,-5.93965953739635,0.406892325683819,-5.90699867139365,0.291227319086868,-5.94971319036434,0.336901799272175,-0.0326608660027006,0.01005365296799,0.0427145189706906
"WST",4,"kappa_2","strong",2,"WST_clean",0.784140858356203,"BALANCED",3,2,3,5,1,6,1,3,FALSE,-2.99774617288525,0.0938303387369481,-2.92141536573639,0.0124977366482886,-2.97920590464866,0.154803945693979,-0.076330807148854,-0.0185402682365909,0.057790538912263
"WST",4,"kappa_2","strong",2,"WST_clean",0.784140858356203,"BALANCED",4,1,4,4,0,4,1,4,FALSE,-2.69527124101421,0.0893126372801979,-2.64862907164705,0.195036906626495,-2.65964478318417,0.0595815011341677,-0.0466421693671597,-0.0356264578300385,0.0110157115371212
"WST",4,"kappa_2","strong",2,"WST_clean",0.784140858356203,"BALANCED",5,2,4,2,1,3,1,4,FALSE,-2.47972213964457,0.181116118504551,-2.50296214035012,0.274182897210926,-2.49440164198879,0.142036242389558,0.0232400007055409,0.0146795023442126,-0.00856049836132833
"WST",4,"kappa_2","strong",2,"WST_clean",0.784140858356203,"BALANCED",6,3,4,2,0,2,3,4,FALSE,-1.7374204621848,0.182017695571303,-1.82415666851028,0.276693665938024,-1.71447193875085,-0.00287738868933426,0.0867362063254813,-0.0229485234339482,-0.109684729759429
"WST",4,"kappa_2","strong",2,"WST_clean",0.784140858356203,"BALANCED",7,1,5,1,0,1,1,2,FALSE,-1.71966114327629,0.210826168284409,-1.69900808075133,-0.0851180339697154,-1.66494786258783,-0.0128695009270423,-0.0206530625249597,-0.054713280688464,-0.0340602181635044
"WST",4,"kappa_2","strong",2,"WST_clean",0.784140858356203,"BALANCED",8,2,5,0,0,0,1,2,FALSE,-0.346448773873416,0.0346530593803126,-0.343057787788183,0.132424472838124,-0.342049453186856,-0.0452930181797609,-0.00339098608523258,-0.00439932068655935,-0.00100833460132677
"WST",4,"kappa_2","strong",2,"WST_clean",0.784140858356203,"BALANCED",9,3,5,1,2,3,3,2,FALSE,-3.84053233634865,-0.100823135853854,-3.84974166761337,0.106797611441858,-3.88277450842588,0.116581054145394,0.00920933126472523,0.0422421720772341,0.0330328408125089
"WST",4,"kappa_2","strong",2,"WST_clean",0.784140858356203,"BALANCED",10,4,5,2,2,4,4,2,FALSE,-3.81511202588306,0.230791084769331,-3.53990057050325,0.00413292506214841,-3.85881496087241,0.206379930606326,-0.275211455379809,0.0437029349893452,0.318914390369154
