"gen_model","K_true","density","hierch","rep_id","scenario_id","theta_ocrp","dgp_partition","dyad_id","i","j","Aij","Aji","Nij","zi_true","zj_true","same_true","elpd_WST","pareto_k_WST","elpd_SST","pareto_k_SST","elpd_DC_SBM","pareto_k_DC_SBM","delta_elpd_WST_minus_SST","delta_elpd_WST_minus_DC","delta_elpd_SST_minus_DC"
"SST",4,"kappa_2","strong",9,"SST_clean",0.784140858356203,"BALANCED",1,1,2,1,3,4,3,2,FALSE,-3.86967789186366,-0.0870286761008861,-4.08373903389051,-0.00104724158403889,-3.72511526685787,-0.0335423832290117,0.214061142026852,-0.14456262500579,-0.358623767032642
"SST",4,"kappa_2","strong",9,"SST_clean",0.784140858356203,"BALANCED",2,1,3,0,0,0,3,4,FALSE,-1.43357332011965,0.144336104986612,-1.49933651691898,0.256786179306806,-1.37771857104376,0.0837263284974404,0.0657631967993293,-0.0558547490758912,-0.12161794587522
"SST",4,"kappa_2","strong",9,"SST_clean",0.784140858356203,"BALANCED",3,2,3,1,0,1,2,4,FALSE,-1.35236348018238,0.155888982893475,-1.40393537540691,0.201629126036418,-1.33471507345734,0.44374523910342,0.0515718952245248,-0.0176484067250406,-0.0692203019495654
"SST",4,"kappa_2","strong",9,"SST_clean",0.784140858356203,"BALANCED",4,1,4,0,3,3,3,2,FALSE,-3.19235778330667,0.0223375972524584,-3.33752243630082,0.0550973362671239,-3.14531432000624,0.216167275880017,0.145164652994151,-0.0470434633004357,-0.192208116294586
"SST",4,"kappa_2","strong",9,"SST_clean",0.784140858356203,"BALANCED",5,2,4,2,3,5,2,2,TRUE,-3.01593125447061,0.0780856405281195,-3.01401186090762,-0.0648681489924407,-3.01323208751228,0.151754109909437,-0.00191939356299375,-0.00269916695833672,-0.000779773395342964
"SST",4,"kappa_2","strong",9,"SST_clean",0.784140858356203,"BALANCED",6,3,4,0,0,0,4,2,FALSE,-1.19664019081454,0.0837429780938204,-1.19777545027154,-0.0191407663768206,-1.22055170207527,0.312588444315414,0.00113525945700133,0.0239115112607351,0.0227762518037338
"SST",4,"kappa_2","strong",9,"SST_clean",0.784140858356203,"BALANCED",7,1,5,0,1,1,3,4,FALSE,-1.98982496520481,0.341549318025048,-2.04233262310322,0.26076067060948,-1.96682147021558,0.303147795121684,0.0525076578984107,-0.0230034949892373,-0.075511152887648
"SST",4,"kappa_2","strong",9,"SST_clean",0.784140858356203,"BALANCED",8,2,5,2,0,2,2,4,FALSE,-2.16342310687153,0.0595658629094546,-2.26702868272411,0.144643721263179,-2.12562712995218,-0.015496156440799,0.10360557585258,-0.0377959769193446,-0.141401552771924
"SST",4,"kappa_2","strong",9,"SST_clean",0.784140858356203,"BALANCED",9,3,5,1,1,2,4,4,TRUE,-2.05138776482881,0.163766984567217,-2.04849344543965,0.262223129895034,-2.0495260220916,-0.0198477312650969,-0.0028943193891644,-0.00186174273721385,0.00103257665195056
"SST",4,"kappa_2","strong",9,"SST_clean",0.784140858356203,"BALANCED",10,4,5,2,0,2,2,4,FALSE,-2.11785213984585,0.171529316131067,-2.22400877601179,0.027042088378665,-2.08088141158943,0.236531392489113,0.106156636165933,-0.0369707282564233,-0.143127364422356
"SST",4,"kappa_2","strong",9,"SST_clean",0.784140858356203,"BALANCED",11,1,6,2,3,5,3,1,FALSE,-4.16253272924349,0.146619119705049,-4.26566533041291,0.208238488383107,-4.12548446337718,0.260395678234838,0.103132601169416,-0.0370482658663107,-0.140180867035727
"SST",4,"kappa_2","strong",9,"SST_clean",0.784140858356203,"BALANCED",12,2,6,2,5,7,2,1,FALSE,-4.85632664519997,0.257272983275504,-4.83034552805141,0.331092826932806,-4.80983882822937,0.278330321550127,-0.025981117148552,-0.0464878169705916,-0.0205066998220396
"SST",4,"kappa_2","strong",9,"SST_clean",0.784140858356203,"BALANCED",13,3,6,1,2,3,4,1,FALSE,-2.54234903141629,0.228671918336377,-2.54540941479777,0.0880148570183454,-2.55334260248154,-0.0936814259446902,0.00306038338147907,0.0109935710652511,0.00793318768377205
