"gen_model","K_true","density","hierch","rep_id","scenario_id","theta_ocrp","dgp_partition","dyad_id","i","j","Aij","Aji","Nij","zi_true","zj_true","same_true","elpd_WST","pareto_k_WST","elpd_SST","pareto_k_SST","elpd_DC_SBM","pareto_k_DC_SBM","delta_elpd_WST_minus_SST","delta_elpd_WST_minus_DC","delta_elpd_SST_minus_DC"
"WST",8,"kappa_0.25","app_sparse",8,"WST_appSparse",2.1959442631574,"OCRP_MIN",1,1,2,0,0,0,3,1,FALSE,-0.138137408571169,0.476903721258098,-0.151252391048357,0.129772614410245,-0.203235761368808,1.03992005260072,0.0131149824771875,0.065098352797639,0.0519833703204515
"WST",8,"kappa_0.25","app_sparse",8,"WST_appSparse",2.1959442631574,"OCRP_MIN",2,1,3,0,0,0,3,1,FALSE,-0.156258862947696,0.0650199771886408,-0.170402237028828,0.219444767312058,-0.249636911034977,1.09643993691268,0.0141433740811321,0.0933780480872812,0.0792346740061491
"WST",8,"kappa_0.25","app_sparse",8,"WST_appSparse",2.1959442631574,"OCRP_MIN",3,2,3,0,0,0,1,1,TRUE,-0.217525226919798,0.234123699600825,-0.248129316537621,0.392527958403788,-0.245072713818869,0.155247102047354,0.0306040896178237,0.0275474868990715,-0.00305660271875219
"WST",8,"kappa_0.25","app_sparse",8,"WST_appSparse",2.1959442631574,"OCRP_MIN",4,1,4,0,0,0,3,2,FALSE,-0.169709617518883,0.494458852997267,-0.145775708483591,0.32976993390439,-0.246177798140955,0.647394337927772,-0.0239339090352919,0.0764681806220722,0.100402089657364
"WST",8,"kappa_0.25","app_sparse",8,"WST_appSparse",2.1959442631574,"OCRP_MIN",5,2,4,0,0,0,1,2,FALSE,-0.508055703985524,0.246006340374292,-0.500884173841645,0.285176874589411,-0.492558745172425,0.121500515791268,-0.00717153014387861,-0.0154969588130989,-0.00832542866922026
"WST",8,"kappa_0.25","app_sparse",8,"WST_appSparse",2.1959442631574,"OCRP_MIN",6,3,4,0,0,0,1,2,FALSE,-0.579258760384531,-0.0181820216328836,-0.57619717288457,0.100767120472164,-0.56761333468156,0.196245538899366,-0.00306158749996044,-0.0116454257029712,-0.00858383820301079
"WST",8,"kappa_0.25","app_sparse",8,"WST_appSparse",2.1959442631574,"OCRP_MIN",7,1,5,0,1,1,3,1,FALSE,-2.64960308763339,0.219955183883372,-2.44761470031542,0.186583738403084,-2.51937236604514,0.299309792780209,-0.201988387317966,-0.130230721588248,0.0717576657297183
"WST",8,"kappa_0.25","app_sparse",8,"WST_appSparse",2.1959442631574,"OCRP_MIN",8,2,5,0,1,1,1,1,TRUE,-2.75126417323549,0.211779988860404,-2.6794942817617,0.488642656711539,-2.68447531294538,-0.0134531373710052,-0.0717698914737852,-0.0667888602901066,0.00498103118367865
"WST",8,"kappa_0.25","app_sparse",8,"WST_appSparse",2.1959442631574,"OCRP_MIN",9,3,5,0,0,0,1,1,TRUE,-0.227778741633632,0.210204426705742,-0.246860177684033,0.189099560950222,-0.264947358014941,-0.0126011640623686,0.019081436050401,0.037168616381309,0.0180871803309079
"WST",8,"kappa_0.25","app_sparse",8,"WST_appSparse",2.1959442631574,"OCRP_MIN",10,4,5,0,0,0,2,1,FALSE,-0.546565786492432,0.150764353336258,-0.53482722355188,0.104644792770777,-0.536022167431267,0.204515966307815,-0.0117385629405522,-0.0105436190611652,0.00119494387938701
