"gen_model","fit_model","K_target","K_true","K_hat","K_p.mean","hierch","kappa_mean","kappa_var","psi_mean","psi_var","theta_ocrp","ocrp_attempts","block_sizes_true","rate_kap","ari","vi","elpd","elpd_se","p_loo","p_loo_se","looic","looic_se","pk_bad","pk_bad_count","pareto_k_max","pareto_k_mean","n_loo_obs","time","seed","sigma0","tau0","dominance_target","N0_psi","thetaW_block_model_mean","thetaW_block_model_lo","thetaW_block_model_hi","thetaW_block_model_ess","thetaW_block_model_mcse","thetaS_block_model_mean","thetaS_block_model_lo","thetaS_block_model_hi","thetaS_block_model_ess","thetaS_block_model_mcse","thetaW_block_emp_mean","thetaW_block_emp_lo","thetaW_block_emp_hi","thetaW_block_emp_ess","thetaW_block_emp_mcse","thetaS_block_emp_mean","thetaS_block_emp_lo","thetaS_block_emp_hi","thetaS_block_emp_ess","thetaS_block_emp_mcse","thetaW_item_emp_mean","thetaW_item_emp_lo","thetaW_item_emp_hi","thetaW_item_emp_ess","thetaW_item_emp_mcse","thetaS_item_emp_mean","thetaS_item_emp_lo","thetaS_item_emp_hi","thetaS_item_emp_ess","thetaS_item_emp_mcse","bar_rho_model_mean","bar_rho_model_lo","bar_rho_model_hi","bar_rho_model_ess","bar_rho_model_mcse","thetaW_block_model_all_mean","thetaW_block_model_all_lo","thetaW_block_model_all_hi","thetaW_block_model_all_ess","thetaW_block_model_all_mcse","thetaS_block_model_all_mean","thetaS_block_model_all_lo","thetaS_block_model_all_hi","thetaS_block_model_all_ess","thetaS_block_model_all_mcse","thetaW_block_emp_all_mean","thetaW_block_emp_all_lo","thetaW_block_emp_all_hi","thetaW_block_emp_all_ess","thetaW_block_emp_all_mcse","thetaS_block_emp_all_mean","thetaS_block_emp_all_lo","thetaS_block_emp_all_hi","thetaS_block_emp_all_ess","thetaS_block_emp_all_mcse","thetaW_item_emp_all_mean","thetaW_item_emp_all_lo","thetaW_item_emp_all_hi","thetaW_item_emp_all_ess","thetaW_item_emp_all_mcse","thetaS_item_emp_all_mean","thetaS_item_emp_all_lo","thetaS_item_emp_all_hi","thetaS_item_emp_all_ess","thetaS_item_emp_all_mcse","prem_block_model_avg","prem_block_emp_avg","prem_item_emp_avg","coverage_block_model_avg","coverage_block_emp_avg","coverage_item_emp_avg","transitive_triads_mean","transitive_triads_lo.2.5.","transitive_triads_hi.97.5.","cycle_mass_weighted_mean","min_backward_weight_mean","min_backward_weight_norm_mean","hierarchy_energy_mean","hierarchy_energy_lo.2.5.","hierarchy_energy_hi.97.5.","curl_energy_mean","p_post_wst","p_prior_wst","bf_wst_0","log_bf_wst_0","p_post_sst","p_prior_sst","bf_sst_0","log_bf_sst_0","bf_sst_wst","log_bf_sst_wst","bf_prior_mc","violation_rate_mean","violation_rate_lo.2.5.","violation_rate_hi.97.5.","violation_count_mean","cross_mass_mean","n_draws_K_match","violation_rate_zhat","violation_count_zhat","elpd_rank","elpd_best_model","delta_elpd_best","delta_elpd_best_se","delta_elpd_best_z","elpd_wst_minus_sst","elpd_wst_minus_sst_se","elpd_wst_minus_sst_z","elpd_wst_minus_dc","elpd_wst_minus_dc_se","elpd_wst_minus_dc_z","elpd_sst_minus_dc","elpd_sst_minus_dc_se","elpd_sst_minus_dc_z","rep_id","kappa_sd","density","eta_mean","eta_sd","eta_mode"
"SST","WST",NA,10,6,6.606,"weak",0.8,0.1225,0.45,0.0625,3,1,"1;1;3;2;1;8;17;3;8;16",0.8,0.514833322790815,2.60424891128094,-3026.60192893534,51.483264330532,182.959711734363,7.60082441463752,6053.20385787068,102.966528661064,0.0101694915254237,18,1.02379872627052,0.298154044555803,1770,378.238,1002,0.554700196225229,0.2,0.75,13,1,1,1,0,NA,0.406620259186484,0.0833333333333333,0.75,282.886893235212,0.00946939677805591,0.813348391302638,0.5,1,268.672068385475,0.0094778396396402,0.370677794085468,0,0.714285714285714,359.399438170864,0.00861775456699091,0.813293809401543,0.575,1,528.575637630213,0.00470628410884426,0.507750029339331,0.230769230769231,0.769230769230769,453,0.00677264630518704,0.576375354091616,0.54128252812202,0.616391946789009,453,0.000896185957180432,0.721412803532009,0.3,1,331.238115421577,0.010373835172664,0.296578366445916,0.05,0.6,294.242963941289,0.00836990186401718,0.462141280353201,0.15,0.8,314.694938718336,0.0116628971334741,0.209050772626932,0,0.5,321.279755145254,0.00691198623817707,0.514348785871965,0.265,0.75,453,0.00561984248257568,0.3219646799117,0.1,0.55,453,0.00526178440956908,14.4282560706402,11.1258278145695,12.60706401766,0.721412803532009,0.556291390728477,0.630353200883002,1,1,1,0,0,0,0.811137727468386,0.627622738239856,0.949266445790903,0.375497092401563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45909760003691,0.424878591491069,0.494959583347934,453.205205205205,987.584584584586,453,0.564220183486238,123,2,"DC-SBM",-1.32727733882803,5.66320725137738,0.234368491194669,5.45207768290493,2.60729938613407,2.09108233289193,-1.32727733882803,5.66320725137738,0.234368491194669,-6.77935502173295,3.54680552674004,1.91139744500287,1,0.35,"sparse",1,0.1,"GAMMA"
"SST","SST",NA,10,2,5.3425,"weak",0.8,0.1225,0.45,0.0625,3,1,"1;1;3;2;1;8;17;3;8;16",0.8,0,2.75088388682129,-3032.05400661825,51.8084578511566,159.385828609169,7.08782101698994,6064.10801323649,103.616915702313,0.0096045197740113,17,1.00758173767154,0.283924793670386,1770,1239.436,1003,0.554700196225229,0.2,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.458037713477822,0.387896079484425,0.503111197016229,391.59746835443,846.87746835443,81,0.722222222222222,26,3,"DC-SBM",-6.77935502173295,3.54680552674004,1.91139744500287,5.45207768290493,2.60729938613407,2.09108233289193,-1.32727733882803,5.66320725137738,0.234368491194669,-6.77935502173295,3.54680552674004,1.91139744500287,1,0.35,"sparse",1,0.1,"GAMMA"
"SST","DC-SBM",NA,10,1,1,"weak",0.8,0.1225,0.45,0.0625,3,1,"1;1;3;2;1;8;17;3;8;16",0.8,NA,2.69027987384881,-3025.27465159651,52.1042710765683,67.5794582451097,2.98097439654549,6050.54930319303,104.208542153137,0,0,0.490115448441837,0.0682020022228748,1770,250.715,1004,0.554700196225229,0.2,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,1,"DC-SBM",0,0,NA,5.45207768290493,2.60729938613407,2.09108233289193,-1.32727733882803,5.66320725137738,0.234368491194669,-6.77935502173295,3.54680552674004,1.91139744500287,1,0.35,"sparse",1,0.1,"GAMMA"
"SST","WST",NA,9,7,7.0615,"strong",4,1,1.8,0.0625,3,1,"1;1;4;4;6;10;14;7;13",4,0.970328454509218,0.125162916738782,-5911.99490654365,42.9953782113913,115.017375938577,4.07230540806408,11823.9898130873,85.9907564227826,0.0175141242937853,31,1.77291230882185,0.151765020040672,1770,727.223,1003,0.554700196225229,0.2,0.75,13,1,1,1,0,NA,0.807610990685217,0.685714285714286,0.933333333333333,1719.88606964693,0.00157939504128963,1,1,1,0,NA,0.862279834765199,0.8,0.914285714285714,964.33987405778,0.000862155611074084,0.924568518794838,0.8,1,1584.00726253568,0.00120018434875025,0.530206877298507,0.368421052631579,0.615567765567765,1515.62099652664,0.00202988692732908,0.621591776573866,0.607450360611163,0.634657532717718,1183.92846081604,0.000199938320181106,0.909283053295826,0.714285714285714,1,259.385742171251,0.00593867618866172,0.734174712993234,0.541428571428571,0.914285714285714,435.676664639083,0.00460551655353145,0.997795179806888,1,1,501.107168759118,0.00104288113530366,0.860229605413214,0.8,0.914285714285714,914.462940369198,0.00099745392480591,0.474720596061735,0.342857142857143,0.542857142857143,1503.28892056679,0.00119404813125049,0.270082870827948,0.2,0.314285714285714,1462.68011613467,0.000854253321932264,31.8249068653539,34.9228312932411,17.9962746141565,0.909283053295826,0.997795179806888,0.514179274690185,1,1,1,0,0,0,0.969631557468902,0.943084265545116,0.987309104202885,0.0988396213883502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.380235788378621,0.376343003172747,0.386867490269081,2257.9915,5938.393,1879,0.487050117726202,2896,1,"WST",0,0,NA,104.766231183528,14.174463169573,7.3911956968092,54.9955425699945,10.3851461821638,5.29559638404012,-49.7706886135338,10.7041724776959,4.64965308782533,1,1,"dense",1,0.1,"GAMMA"
"SST","SST",NA,9,5,5.159,"strong",4,1,1.8,0.0625,3,1,"1;1;4;4;6;10;14;7;13",4,0.854608181370133,1.35442471810853,-6016.76113772718,44.3176861088986,145.026555553972,5.91841734470172,12033.5222754544,88.6353722177972,0.0203389830508475,36,1.91860194897951,0.135220535292936,1770,2751.418,1004,0.554700196225229,0.2,0.75,13,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.98382589550343,0.8,1,8.30094580030093,0.0192777415859775,0.870594226625643,0.6,1,449.685250496199,0.00611716592304568,0.39591248670976,0,0.8,344.225640121108,0.0100329153713302,0.627621165973523,0.596433801275279,0.644947987923604,19.5897840015277,0.00254174066458844,1,1,1,0,NA,1,1,1,0,NA,0.975340841730883,0.7,1,14.0607481111421,0.0237342546463418,0.96135151155898,0.6,1,7.20306671148847,0.0421540600100392,0.471962062833432,0.2,0.8,58.601205391298,0.0192056849631126,0.218494368701838,0,0.5,226.360596525298,0.00751666416027638,10,9.75340841730883,5.41078838174274,1,0.975340841730883,0.541078838174274,1,1,1,0,0,0,0.994134792214858,0.983798341787849,0.999521150714376,0.0221038820277514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.378652053890401,0.373317410655182,0.385353053389261,2004.0375,5292.092,1687,0.522522522522523,2726,3,"WST",-104.766231183528,14.174463169573,7.3911956968092,104.766231183528,14.174463169573,7.3911956968092,54.9955425699945,10.3851461821638,5.29559638404012,-49.7706886135338,10.7041724776959,4.64965308782533,1,1,"dense",1,0.1,"GAMMA"
"SST","DC-SBM",NA,9,6,6,"strong",4,1,1.8,0.0625,3,1,"1;1;4;4;6;10;14;7;13",4,0.938528860179204,0.809410022735664,-5966.99044911364,43.3068621224753,123.296764943498,4.83536897126696,11933.9808982273,86.6137242449506,0.0220338983050847,39,2.15026078101253,0.126695314768422,1770,77.2860000000001,1005,0.554700196225229,0.2,0.75,13,0.998227545983428,0.941176470588235,1,2000,0.000243308514496374,0.866493443076531,0.6875,1,2000,0.00190939257599324,1,1,1,0,NA,0.907386538461538,0.8,1,456.271170308607,0.00233752495032489,0.906543696213917,0.699807692307692,1,1063.5350432884,0.00293128450780505,0.527447789138966,0.272727272727273,0.727272727272727,897.155406208794,0.00407027364340236,0.626306660610286,0.608352346799433,0.643553348464604,1447.19194672336,0.000239898353078895,0.809875,0.45,1,2000,0.00362762967184055,0.69905,0.4,0.95,1539.70391661,0.00355431543355756,0.9551,0.65,1,138.597797590531,0.0085149788199886,0.86455,0.55,0.95,101.318775009378,0.00825791779432787,0.48345,0.25,0.65,584.873742303314,0.0046465016904995,0.27725,0.15,0.4,615.159589245964,0.00289270904346079,16.224,19.102,10.635,0.8112,0.9551,0.53175,0.9936,0.95,1,0.00419115750462077,0.0107335855569591,0.00132165084949772,0.975840422624219,0.930034710011802,0.994354441824751,0.110074400724243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.383600031337125,0.38113006205846,0.3869557296411,2124.5055,5538.4575,2000,0.495229522952295,2751,2,"WST",-54.9955425699945,10.3851461821638,5.29559638404012,104.766231183528,14.174463169573,7.3911956968092,54.9955425699945,10.3851461821638,5.29559638404012,-49.7706886135338,10.7041724776959,4.64965308782533,1,1,"dense",1,0.1,"GAMMA"
"WST","WST",NA,10,5,7.329,"weak",0.8,0.1225,0.45,0.0625,3,1,"1;1;1;1;3;3;21;14;12;3",0.8,0.140568099053168,1.50886757165971,-2755.83515011736,46.7478992905219,133.089539974647,5.39347628579855,5511.67030023472,93.4957985810438,0.0124293785310734,22,1.14176940995142,0.237575132741999,1770,396.78,1004,0.554700196225229,0.2,0.75,13,1,1,1,0,NA,0.320016611295681,0,0.592142857142857,137.52914861944,0.0139846899857551,0.978762919896641,0.75,1,159.655838294646,0.00561073398068257,0.342310354374308,0,0.6,124.353301017903,0.0141334911092162,0.836062661498708,0.515277777777778,1,172,0.0120599793199843,0.478915190107051,0.129910714285714,0.850595238095238,172,0.0151007889195368,0.611434797670854,0.559493991094613,0.654158484334175,172,0.00171032885686958,0.82906976744186,0.4,1,125.52805512792,0.0164019099014375,0.272093023255814,0,0.5,121.980131027281,0.0139274892687529,0.799418604651163,0.3,1,119.343106603096,0.0207301112403313,0.277906976744186,0,0.6,125.211578061903,0.0134893730945464,0.556395348837209,0.2,0.872499999999999,172,0.0133768225837988,0.316860465116279,0.1,0.6,172,0.011575685127354,8.2906976744186,8.12209302325581,6.62209302325581,0.82906976744186,0.812209302325581,0.662209302325581,1,1,1,0,0,0,0.778545943702774,0.631484520939805,0.933447128082463,0.626261050465934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.352637890765068,0.333333333333333,0.377957536314032,376.977,1067.286,172,0.667701863354037,645,2,"SST",-0.610995239761451,3.64235265850732,0.167747414115536,-0.610995239761451,3.64235265850732,0.167747414115536,3.27021277147833,3.07230657649332,1.06441616097144,3.88120801123978,4.06161189855636,0.955583179333135,1,0.35,"sparse",1,0.1,"GAMMA"
"WST","SST",NA,10,4,6.1415,"weak",0.8,0.1225,0.45,0.0625,3,1,"1;1;1;1;3;3;21;14;12;3",0.8,0,1.43139928366188,-2755.2241548776,47.1655365753233,107.252864713457,4.904088885132,5510.4483097552,94.3310731506465,0.0135593220338983,24,1.28605734006899,0.217808217270278,1770,1643.864,1005,0.554700196225229,0.2,0.75,13,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.354411764705882,0,0.5,135.89803944033,0.0122726213283289,0.929980276134122,0.5,1,169,0.0138007297978106,0.585305719921105,0,1,169,0.0223917307153297,0.680365547627871,0.637144227360092,0.719959339415594,170,0.00172047530091284,1,1,1,0,NA,1,1,1,0,NA,0.985294117647059,0.6125,1,118.513666889476,0.00778296267642373,0.35,0,0.5,123.886237831647,0.0127901430947651,0.529411764705882,0.25,1,170,0.0133273090271703,0.336764705882353,0,0.75,230.311038513395,0.0134419090457708,4,3.94117647058824,2.27647058823529,1,0.985294117647059,0.569117647058824,1,1,1,0,0,0,0.932890155783493,0.858177761202827,0.983344551616651,0.252750021224316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.344570833833142,0.332988461157066,0.364186983424246,344.563,999.0545,170,0.661621621621622,612,1,"SST",0,0,NA,-0.610995239761451,3.64235265850732,0.167747414115536,3.27021277147833,3.07230657649332,1.06441616097144,3.88120801123978,4.06161189855636,0.955583179333135,1,0.35,"sparse",1,0.1,"GAMMA"
"WST","DC-SBM",NA,10,3,3.0095,"weak",0.8,0.1225,0.45,0.0625,3,1,"1;1;1;1;3;3;21;14;12;3",0.8,0,1.33473088398511,-2759.10536288884,46.9258487624797,88.423362375131,3.8559379923333,5518.21072577768,93.8516975249594,0.0327683615819209,58,1.29117166812356,0.144756591908955,1770,202.177,1006,0.554700196225229,0.2,0.75,13,0.991666666666667,1,1,1720.23375943979,0.00219235878208586,0.11875,0,1,973.522681657173,0.0103706616164695,1,1,1,0,NA,0.00513610683102211,0,0,1607.19854321637,0.00178351042238012,0.98372513562387,1,1,1107.64755062859,0.00380299458854598,0.486437613019892,0,1,521.683210187308,0.0218895926033741,0.641562271729571,0.581469405709605,0.688076350137232,451.981588803331,0.00117832330494207,0.96113074204947,0,1,537.720028014079,0.00833730895510773,0.115093387178193,0,1,974.602404820869,0.0102251528633254,0.982836951034831,1,1,333.33613780894,0.00711551603684977,0.00504795557799091,0,0,1635.01428742275,0.0017531040910306,0.823826350328117,0,1,1284.38369905056,0.0106328714973599,0.407370015143867,0,1,517.878342555684,0.0215964370726786,0.969207470974255,0.982836951034831,0.837455830388693,0.969207470974255,0.982836951034831,0.837455830388693,0.989904088844018,1,1,0.0132530101031997,0.00067503551194219,0.000529038364842203,0.835117379144363,0.727719966477631,0.986541438117007,0.821658834123252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.402013560407115,0.349792552114957,0.413867822318527,379.437,943.7805,1981,0.656862745098039,603,3,"SST",-3.88120801123978,4.06161189855636,0.955583179333135,-0.610995239761451,3.64235265850732,0.167747414115536,3.27021277147833,3.07230657649332,1.06441616097144,3.88120801123978,4.06161189855636,0.955583179333135,1,0.35,"sparse",1,0.1,"GAMMA"
"WST","WST",NA,12,7,7.559,"strong",4,1,1.8,0.0625,3,1,"1;7;1;4;2;2;9;10;6;9;5;4",4,0.758306781975421,0.507401788842891,-5327.16873189291,46.6143638538156,154.850557014809,5.74704575780613,10654.3374637858,93.2287277076313,0.0096045197740113,17,2.76740988238585,0.136091665314279,1770,743.443,1005,0.554700196225229,0.2,0.75,13,1,1,1,0,NA,0.354661016949153,0.2,0.485714285714286,640.33145596124,0.00282060577181771,1,1,1,0,NA,0.370641646489104,0.342857142857143,0.371428571428571,428.10360642064,0.000234884780398393,0.971942468724778,0.966666666666667,1,373.849724794893,0.000659237148119455,0.479084151742228,0.379310344827586,0.5,346.135937078295,0.0026980004797338,0.828714767047797,0.817818454546579,0.838797048877102,523.752281772189,0.000233997284927174,1,1,1,0,NA,0.354661016949153,0.2,0.485714285714286,640.33145596124,0.00282060577181771,1,1,1,0,NA,0.370641646489104,0.342857142857143,0.371428571428571,428.10360642064,0.000234884780398393,0.828964891041162,0.828571428571429,0.857142857142857,450.978350087345,0.00038897273696483,0.409110169491525,0.314285714285714,0.428571428571429,346.265363456727,0.00248748988074437,35,35,29.8548728813559,1,1,0.852996368038741,1,1,1,0,0,0,0.756861615599525,0.716336115611065,0.797990183842883,2.71178515100336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.147764164145536,0.147136563876652,0.150835073068894,844.344,5713.9815,944,0.505550660792952,2869,2,"SST",-92.8027390609777,13.3702854421818,6.94096917094943,-92.8027390609777,13.3702854421818,6.94096917094943,56.3820305265199,14.4083088608878,3.91316087619222,149.184769587498,20.8962182331107,7.13931908268022,1,1,"dense",1,0.1,"GAMMA"
