"part","dataset","gen_model","fit_model","K_true","strength","rep","method","seed","K_hat","K_post_mean","K_post_mode","ari","vi","elpd_loo","looic","ess_K","bk_final","time_sec"
"sim",NA,"WST","WST",3,"strong",1,"default",822905,3,3.7,3,1,0,-2956.17,5912.35,40.8,1,335
"sim",NA,"WST","SST",3,"strong",1,"default",822905,3,3.08,3,1,0,-2959.46,5918.93,110.7,1,38.1
"sim",NA,"WST","WST",3,"strong",1,"oracle_ruleA",822905,3,3,3,1,0,-2952.32,5904.63,0,100,210.5
"sim",NA,"WST","SST",3,"strong",1,"oracle_ruleA",822905,3,3,3,1,0,-2958.63,5917.25,0,100,38.4
"sim",NA,"WST","WST",3,"strong",1,"spectral_ruleA",822905,3,3,3,1,0,-2953.8,5907.59,0,150,176.6
"sim",NA,"WST","SST",3,"strong",1,"spectral_ruleA",822905,2,2,2,1,0.6667,-3344.9,6689.8,0,150,37.6
"sim",NA,"WST","WST",3,"strong",1,"calibrate_full",822905,3,4.1,4,1,0,-2952.65,5905.3,29.5,1.56,286.7
"sim",NA,"WST","SST",3,"strong",1,"calibrate_full",822905,3,3.03,3,1,0,-2963.58,5927.15,222.3,1.56,40
"sim",NA,"WST","WST",3,"strong",1,"hierarchical",822905,3,3.83,3,1,0,-2954.15,5908.29,8.1,0.66,247.4
"sim",NA,"WST","SST",3,"strong",1,"hierarchical",822905,3,3.03,3,1,0,-2957.97,5915.95,400,1.19,40.2
"sim",NA,"WST","WST",3,"strong",1,"no_moves",822905,3,3,3,1,0,-2954.35,5908.7,0,100,191.4
"sim",NA,"WST","SST",3,"strong",1,"no_moves",822905,3,3,3,1,0,-2959.37,5918.74,0,100,32.5
"sim",NA,"WST","DCSBM",3,"strong",1,"dcsbm_varK",822905,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.346000000000004
"sim",NA,"SST","WST",3,"strong",1,"default",18726,3,3.86,3,0.9496,0.1921,-4269.49,8538.99,12.6,1,265.5
"sim",NA,"SST","SST",3,"strong",1,"default",18726,3,3.12,3,0.9018,0.3175,-4264.01,8528.02,75.3,1,40.3
"sim",NA,"SST","WST",3,"strong",1,"oracle_ruleA",18726,2,2,2,1,0.6667,-4318.2,8636.39,0,100,91.1
"sim",NA,"SST","SST",3,"strong",1,"oracle_ruleA",18726,2,2,2,1,0.6667,-4317.36,8634.73,0,100,36.5
"sim",NA,"SST","WST",3,"strong",1,"spectral_ruleA",18726,2,2,2,1,0.6667,-4316.9,8633.79,0,150,87.8
"sim",NA,"SST","SST",3,"strong",1,"spectral_ruleA",18726,3,3,3,0.9018,0.3175,-4270.42,8540.84,0,150,38
"sim",NA,"SST","WST",3,"strong",1,"calibrate_full",18726,3,3.7,3,0.9018,0.3175,-4259.55,8519.1,41.4,1.06,246.4
"sim",NA,"SST","SST",3,"strong",1,"calibrate_full",18726,3,3.02,3,0.9018,0.3175,-4257.08,8514.17,253.3,1.06,39.2
"sim",NA,"SST","WST",3,"strong",1,"hierarchical",18726,3,4.18,4,0.9018,0.3175,-4268.83,8537.66,13.8,0.98,282.3
"sim",NA,"SST","SST",3,"strong",1,"hierarchical",18726,3,3.28,3,0.9018,0.3175,-4267.16,8534.31,61.7,0.95,39
"sim",NA,"SST","WST",3,"strong",1,"no_moves",18726,2,2,2,1,0.6667,-4317.62,8635.24,0,100,80
"sim",NA,"SST","SST",3,"strong",1,"no_moves",18726,3,3,3,0.5573,0.7452,-4332.09,8664.18,0,100,33.7
"sim",NA,"SST","DCSBM",3,"strong",1,"dcsbm_varK",18726,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.280999999999949
"sim",NA,"WST","WST",5,"strong",1,"default",788079,5,5.44,5,1,0,-4185.62,8371.23,21.3,1,507.2
"sim",NA,"WST","SST",5,"strong",1,"default",788079,5,5.02,5,1,0,-4240.46,8480.91,308.7,1,45.6
"sim",NA,"WST","WST",5,"strong",1,"oracle_ruleA",788079,4,4,4,0.7383,0.4,-4334.19,8668.38,0,60,255.7
"sim",NA,"WST","SST",5,"strong",1,"oracle_ruleA",788079,4,4,4,0.7383,0.4,-4347.25,8694.5,0,60,40.5
"sim",NA,"WST","WST",5,"strong",1,"spectral_ruleA",788079,4,4.18,4,0.5482,0.8656,-4563.13,9126.26,4.4,150,282.8
"sim",NA,"WST","SST",5,"strong",1,"spectral_ruleA",788079,5,5.04,5,0.7703,0.5071,-4347.86,8695.72,400,150,43.8
"sim",NA,"WST","WST",5,"strong",1,"calibrate_full",788079,5,5.29,5,1,0,-4181.19,8362.39,49.4,0.81,453.4
"sim",NA,"WST","SST",5,"strong",1,"calibrate_full",788079,5,5.03,5,1,0,-4234.34,8468.68,277.6,0.81,45.3
"sim",NA,"WST","WST",5,"strong",1,"hierarchical",788079,5,5.19,5,1,0,-4183.62,8367.25,48.8,0.51,461.4
"sim",NA,"WST","SST",5,"strong",1,"hierarchical",788079,5,5.03,5,1,0,-4240.04,8480.08,400,0.36,45.5
"sim",NA,"WST","WST",5,"strong",1,"no_moves",788079,4,4,4,0.7383,0.4,-4333.43,8666.87,0,60,249.7
