"gen_model","fit_model","K_true","K_hat","K_p.mean","hierch","kappa_mean","kappa_var","psi_mean","psi_var","rate_kap","ari","vi","elpd","looic","pk_bad","time","seed","thetaW_block_model_mean","thetaW_block_model_lo","thetaW_block_model_hi","thetaW_block_model_ess","thetaW_block_model_mcse","thetaS_block_model_mean","thetaS_block_model_lo","thetaS_block_model_hi","thetaS_block_model_ess","thetaS_block_model_mcse","thetaW_block_emp_mean","thetaW_block_emp_lo","thetaW_block_emp_hi","thetaW_block_emp_ess","thetaW_block_emp_mcse","thetaS_block_emp_mean","thetaS_block_emp_lo","thetaS_block_emp_hi","thetaS_block_emp_ess","thetaS_block_emp_mcse","thetaW_item_emp_mean","thetaW_item_emp_lo","thetaW_item_emp_hi","thetaW_item_emp_ess","thetaW_item_emp_mcse","thetaS_item_emp_mean","thetaS_item_emp_lo","thetaS_item_emp_hi","thetaS_item_emp_ess","thetaS_item_emp_mcse","thetaW_block_model_all_mean","thetaW_block_model_all_lo","thetaW_block_model_all_hi","thetaW_block_model_all_ess","thetaW_block_model_all_mcse","thetaS_block_model_all_mean","thetaS_block_model_all_lo","thetaS_block_model_all_hi","thetaS_block_model_all_ess","thetaS_block_model_all_mcse","thetaW_block_emp_all_mean","thetaW_block_emp_all_lo","thetaW_block_emp_all_hi","thetaW_block_emp_all_ess","thetaW_block_emp_all_mcse","thetaS_block_emp_all_mean","thetaS_block_emp_all_lo","thetaS_block_emp_all_hi","thetaS_block_emp_all_ess","thetaS_block_emp_all_mcse","thetaW_item_emp_all_mean","thetaW_item_emp_all_lo","thetaW_item_emp_all_hi","thetaW_item_emp_all_ess","thetaW_item_emp_all_mcse","thetaS_item_emp_all_mean","thetaS_item_emp_all_lo","thetaS_item_emp_all_hi","thetaS_item_emp_all_ess","thetaS_item_emp_all_mcse","prem_block_model_avg","prem_block_emp_avg","prem_item_emp_avg","coverage_block_model_avg","coverage_block_emp_avg","coverage_item_emp_avg","violation_rate_mean","violation_rate_lo.2.5.","violation_rate_hi.97.5.","violation_count_mean","cross_mass_mean","violation_rate_zhat","violation_count_zhat","rep_id"
"SST","WST",3,1,1.06577777777778,"weak",0.75,0.2025,0.2,0.09,0.75,1,1.58496250072116,-2763.25998105438,5526.51996210877,0,404.549,1002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,0.4,0,1,5,0.244948974278318,0.75,0.075,1,4,0.25,0.25,0,0.925,4,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,0.125,1,6,0.166666666666667,0.333333333333333,0,1,15.4285714285714,0.131468439624436,0.5,0,1,6,0.223606797749979,0.166666666666667,0,0.875,6,0.166666666666667,NA,0.00111111111111111,0.000888888888888889,NA,0.00111111111111111,0.000888888888888889,0.421532736502159,0.352379745001449,0.53960228286071,166.51724137931,392.337931034483,0,0,1
"SST","SST",3,1,1.14022222222222,"weak",0.75,0.2025,0.2,0.09,0.75,1,1.58496250072116,-2763.47382461941,5526.94764923882,0,407.127,1003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9518779342723,0.375,1,71,0.0222191322639271,0.529761904761905,0,1,43.5100840602123,0.0665906421217472,0.866746031746032,0,1,75,0.0333189459461382,0.607142857142857,0,1,168.726920095028,0.0325607379964163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.652457757296467,0,1,33.2986830705202,0.0769025007769687,0.361904761904762,0,1,67.5544516199292,0.0518218629144827,0.605606758832565,0,1,93.0000000000001,0.0435742298985671,0.422887864823349,0,1,137.765139517701,0.0370275555133626,NA,0.0351111111111111,0.0366666666666667,NA,0.0141079365079365,0.0144301587301587,0.423510869692643,0.347709834922111,0.5302338326635,184.479041916168,436.047904191617,0,0,1
"SST","DC-SBM",3,1,1.24733333333333,"weak",0.75,0.2025,0.2,0.09,0.75,1,1.58496250072116,-2767.40854923381,5534.81709846762,0.0751412429378531,149.308,1004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.860940621181585,0,1,124.607741668717,0.0238247892345585,0.288521306894801,0,1,149.769460489041,0.029982394420824,0.831652495206712,0,1,249,0.0189497924401154,0.547814150374391,0,1,249,0.024763978362734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.588313817330211,0,1,70.0747163075303,0.0505034284693509,0.18440281030445,0,1,207.419539764942,0.0214858490252711,0.573091334894614,0,1,446.572164107618,0.0187288764091568,0.379906323185012,0,1,304.999999999999,0.022092018417275,NA,0.160666666666667,0.183111111111111,NA,0.044831746031746,0.0467746031746032,0.421676868323425,0.349351750878468,0.533333333333333,225.685430463576,529.673841059603,0,0,1
"SST","WST",3,2,2.03377777777778,"medium",0.75,0.2025,0.7,0.09,0.75,0.515201314708299,0.666666666666667,-2923.97643568807,5847.95287137613,0.00395480225988701,1809.719,1003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,0.468965517241379,0,1,52.9625908808094,0.0678502871896661,0.896666666666667,0,1,67.2758282409523,0.0358151316489049,0.313333333333333,0,1,99.9999999999999,0.0458294305041717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.977891156462585,0.825,1,147,0.0113003370354219,0.460884353741497,0,1,59.4649880864106,0.0640239055111994,0.596938775510204,0,1,115.37602343594,0.0451285734762226,0.20578231292517,0,1,132.29901085418,0.0346662629880047,NA,0.0344444444444444,0.0233333333333333,NA,0.0319444444444444,0.0216666666666667,0.351304139431671,0.351206434316354,0.355400696864112,393.568888888889,1120.30088888889,0.351206434316354,393,1
"SST","SST",3,2,2.43577777777778,"medium",0.75,0.2025,0.7,0.09,0.75,0.515201314708299,0.666666666666667,-2924.65550977174,5849.31101954348,0.00112994350282486,1169.657,1004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.994669508851803,0.926510989010989,1,1016.44583906545,0.00111598477675867,0.788812380163152,0,1,421.272598890134,0.0161321004478111,0.863040238671932,0,1,905.742640381517,0.00910882726724937,0.567810986009104,0,1,436.618395879803,0.0193718993306493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.914778847868736,0.25,1,303.868917653349,0.0124301213811529,0.731779917959693,0,1,345.265165478283,0.0196975804256006,0.43752808988764,0,1,786.465032746777,0.0152432737887631,0.292439807383628,0,1,823.305108173004,0.0135309269018302,NA,0.764444444444444,0.563333333333333,NA,0.272471164021164,0.150052645502645,0.352700419722694,0.349957007738607,0.364282445201731,407.448444444444,1154.73866666667,0.351206434316354,393,1
"SST","DC-SBM",3,2,2.03755555555556,"medium",0.75,0.2025,0.7,0.09,0.75,0.515201314708299,0.666666666666667,-2923.11275805073,5846.22551610147,0.0152542372881356,198.091,1005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,0.868263473053892,0,1,9.63433887169905,0.109287905556156,0.903225806451613,0,1,62,0.0378541092928044,0.82258064516129,0,1,62,0.0489130589300095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.988165680473373,1,1,92.9430888581552,0.0112503669879536,0.857988165680473,0,1,10.514295174027,0.107969613387417,0.331360946745562,0,1,117.222760961567,0.0436042949844376,0.301775147928994,0,1,113.98705403204,0.0431221428327137,NA,0.0371111111111111,0.0137777777777778,NA,0.0371111111111111,0.0137777777777778,0.3525383388478,0.351206434316354,0.373772687898122,396.259111111111,1123.55844444444,0.351206434316354,393,1
"SST","WST",3,5,4.53466666666667,"strong",0.75,0.2025,1.3,0.09,0.75,0.805662625271568,0.635051949321031,-2809.47218004656,5618.94436009313,0.023728813559322,3656.3,1004,1,1,1,0,NA,0.644847775175644,0.428571428571429,0.9,2142.46057584134,0.00280385231972093,0.998419237758731,1,1,2750.08350907729,0.0002392813783823,0.778879826213447,0.454545454545455,1,7.40540382652238,0.0579975066545168,0.990399941120838,0.888888888888889,1,1705.1633473563,0.000878401211499823,0.724283002016809,0.375,1,34.0733289491269,0.0320402913837405,0.80110560426992,0.7,1,15.1600858879115,0.0364897273444222,0.517689668318719,0.3,0.8,23.2265215899436,0.0296557291977287,0.80874126984127,0.5,1,16.0055746510056,0.0397604771981675,0.64717619047619,0.3,1,5.13719683459834,0.104992298792869,0.822237830687831,0,1,896.296152706103,0.00818431444967908,0.608833333333333,0,1,638.369625509694,0.0104922502855775,8.0110560426992,6.35222222222222,7.32822222222222,0.80110560426992,0.809795238095238,0.829745238095238,0.175397219158299,0.16003616636528,0.191617665997669,207.062666666667,1177.82244444444,0.185,222,1
"SST","SST",3,3,3.24711111111111,"strong",0.75,0.2025,1.3,0.09,0.75,1,4.44089209850063e-16,-2822.8055109799,5645.61102195979,0.0355932203389831,1308.41,1005,1,1,1,0,NA,1,1,1,0,NA,0.999857765328354,1,1,4271.63063926219,8.22346650171355e-05,0.975154124816818,0.7,1,94.7371323529153,0.008939642803595,0.987402560591648,0.75,1,1128.54869315119,0.00170563406955843,0.902541316358315,0.25,1,269.809727495475,0.0134580033069534,1,1,1,0,NA,1,1,1,0,NA,0.995130158730159,1,1,90.9199388519329,0.00401634669419414,0.971712698412698,0.5,1,96.3036400804717,0.010190774283816,0.777509523809524,0,1,4138.38998347768,0.00603329524667244,0.716880952380952,0,1,2472.4498437226,0.00824256694545352,1,1.89311111111111,1.60622222222222,1,0.995242857142857,0.786919047619048,0.162649849851184,0.16003616636528,0.179784589892295,181.867111111111,1117.24777777778,0.160180995475113,177,1
"SST","DC-SBM",3,2,2,"strong",0.75,0.2025,1.3,0.09,0.75,1,0.666666666666667,-2883.56912427617,5767.13824855234,0.00338983050847458,189.895,1006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0.154645571596342,0.154605263157895,0.154605263157895,141.069333333333,912.208222222222,0.154605263157895,141,1
"SST","WST",3,3,3.01288888888889,"weak",1.5,0.81,0.2,0.09,1.5,1,4.44089209850063e-16,-4155.12936669954,8310.25873339908,0.00395480225988701,2617.191,1005,1,1,1,0,NA,1,1,1,0,NA,0.999925925925926,1,1,4500.00000000005,7.40740740740737e-05,0.996592592592593,1,1,1102.65353189132,0.00117154723428738,0.998611111111111,1,1,1132.34940489904,0.000634940319115363,0.99437037037037,1,1,1363.74983136991,0.00147778632135056,1,1,1,0,NA,1,1,1,0,NA,0.999555555555556,1,1,4499.99999999985,0.0002221481193283,0.996333333333333,1,1,1173.8367406183,0.00121643456423482,0.996055555555556,1,1,1254.97040675625,0.0010927864245403,0.992777777777778,1,1,1397.90492422953,0.0017839554180172,1,1.03711111111111,1.02711111111111,1,0.999611111111111,0.997111111111111,0.305792697407214,0.305775764439411,0.305775764439411,810.141333333333,2649.31377777778,0.305775764439411,810,1
