"gen_model","fit_model","K_true","K_hat","hierch","kappa_mean","kappa_var","psi_mean","psi_var","rate_kap","sparsity","ari","vi","elpd","looic","pk_bad","time","seed","thetaW_block_model_mean","thetaW_block_model_lo","thetaW_block_model_hi","thetaW_block_model_ess","thetaW_block_model_mcse","thetaS_block_model_mean","thetaS_block_model_lo","thetaS_block_model_hi","thetaS_block_model_ess","thetaS_block_model_mcse","thetaW_block_emp_mean","thetaW_block_emp_lo","thetaW_block_emp_hi","thetaW_block_emp_ess","thetaW_block_emp_mcse","thetaS_block_emp_mean","thetaS_block_emp_lo","thetaS_block_emp_hi","thetaS_block_emp_ess","thetaS_block_emp_mcse","thetaW_item_emp_mean","thetaW_item_emp_lo","thetaW_item_emp_hi","thetaW_item_emp_ess","thetaW_item_emp_mcse","thetaS_item_emp_mean","thetaS_item_emp_lo","thetaS_item_emp_hi","thetaS_item_emp_ess","thetaS_item_emp_mcse","thetaW_block_model_all_mean","thetaW_block_model_all_lo","thetaW_block_model_all_hi","thetaW_block_model_all_ess","thetaW_block_model_all_mcse","thetaS_block_model_all_mean","thetaS_block_model_all_lo","thetaS_block_model_all_hi","thetaS_block_model_all_ess","thetaS_block_model_all_mcse","thetaW_block_emp_all_mean","thetaW_block_emp_all_lo","thetaW_block_emp_all_hi","thetaW_block_emp_all_ess","thetaW_block_emp_all_mcse","thetaS_block_emp_all_mean","thetaS_block_emp_all_lo","thetaS_block_emp_all_hi","thetaS_block_emp_all_ess","thetaS_block_emp_all_mcse","thetaW_item_emp_all_mean","thetaW_item_emp_all_lo","thetaW_item_emp_all_hi","thetaW_item_emp_all_ess","thetaW_item_emp_all_mcse","thetaS_item_emp_all_mean","thetaS_item_emp_all_lo","thetaS_item_emp_all_hi","thetaS_item_emp_all_ess","thetaS_item_emp_all_mcse","prem_block_model_avg","prem_block_emp_avg","prem_item_emp_avg","coverage_block_model_avg","coverage_block_emp_avg","coverage_item_emp_avg","violation_rate_mean","violation_rate_lo.2.5.","violation_rate_hi.97.5.","violation_count_mean","cross_mass_mean","violation_rate_zhat","violation_count_zhat","rep_id"
"SST","WST",3,3,"weak",1,0.49,0.25,0.09,1,0.507909604519774,0.900418666842025,0.383065356792735,-3050.65049357147,6101.30098714295,0.00112994350282486,268.362,1002,1,1,1,0,NA,0.336790979924293,0,1,1396.56300987012,0.0124800865438903,0.999114219114219,1,1,3574.99999999989,0.000375623301159638,0.12813986013986,0,1,202.123594891785,0.0231668797416651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99975,1,1,2749.42091183595,0.000150714983594384,0.4672125,0,1,3129.12261186205,0.0088146889281855,0.9992625,1,1,3999.99999999971,0.000227833822116315,0.22685,0,1,187.902830170293,0.0300082107119967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.885,0.949,0,0.8012625,0.8832375,0,0.432485626328644,0.420627802690583,0.446627509601382,480.45875,1110.899,0.432480141218005,490,1
"SST","SST",3,3,"weak",1,0.49,0.25,0.09,1,0.507909604519774,0.900418666842025,0.383065356792735,-3055.3197776869,6110.6395553738,0,182.628,1003,1,1,1,0,NA,1,1,1,0,NA,0.997645119510185,1,1,2830.99999999979,0.000752762374010842,0.349919261240349,0,1,159.928528654709,0.0375087194247923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,1,1,1,0,NA,0.9987625,1,1,3126.84756875661,0.000384264995966259,0.5444625,0,1,242.037535608755,0.031711709146272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07275,0.74275,0,1,0.69925,0,0.443957218314116,0.429781704562426,0.46194261383088,493.75925,1112.045,0.432480141218005,490,1
"SST","DC-SBM",3,3,"weak",1,0.49,0.25,0.09,1,0.507909604519774,0.714975845410628,0.985080438238747,-3096.18628478734,6192.37256957469,0.00112994350282486,75.185,1004,0.946624248851184,0,1,323.895181357314,0.012492096780581,0.469070342877342,0,1,404.792675429653,0.0248083527622335,0.98067259373792,1,1,487.496441668804,0.00623658773269393,0.409354464630847,0,1,77.1147223058365,0.0560052232844651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96225,0,1,664.09216778849,0.00739677745405697,0.6245,0,1,964.591187259685,0.0155938675359064,0.9875,1,1,741.474444311645,0.00408065387111563,0.618,0,1,91.3979011583139,0.0508290626897782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70725,0.64675,0,0.70725,0.64675,0,0.538947487534325,0.522361359570662,0.55737915811377,575.0085,1067.41425,0.460413080895009,535,1
"SST","WST",5,5,"weak",1,0.49,0.25,0.09,1,0.517796610169492,1,0,-3082.57746110877,6165.15492221754,0.00169491525423729,306.014,1003,1,1,1,0,NA,0.406711547619048,0,1,5157.69499884829,0.002750665410904,0.999101001433095,1,1,867.630307864215,0.000482868188280576,0.662590352507586,0,0.7,17.4472328635059,0.0394522229751014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999978571428571,1,1,1350.00278650047,2.12905375586858e-05,0.5028125,0,1,1980.31813270776,0.00405179358128168,0.999298214285714,1,1,827.855680856904,0.000382276675755945,0.663057142857143,0,0.7,17.2267902799117,0.0395125177653253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9055,9.39425,0,0.750707142857143,0.997967857142857,0,0.301877034482085,0.287981859410431,0.303009575923393,438.27225,1451.34825,0.297537619699042,435,1
"SST","SST",5,4,"weak",1,0.49,0.25,0.09,1,0.517796610169492,1,0.4,-3104.11909121816,6208.23818243632,0.000564971751412429,198.746,1004,1,1,1,0,NA,1,1,1,0,NA,0.999815476190476,1,1,3999.99999999972,0.000104252760188919,0.728311011904762,0.7,0.75,7.50400981507103,0.012037286098351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,1,1,1,0,NA,0.999875,1,1,3999.99999999959,6.61225135388819e-05,0.7284,0.7,0.75,4.59611090553841,0.0142433210503903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6125,6.5625,0,1,0.9955875,0,0.314065695270916,0.313269493844049,0.314533622559653,444.498,1415.37275,0.314533622559653,435,1
"SST","DC-SBM",5,5,"weak",1,0.49,0.25,0.09,1,0.517796610169492,1,0,-3084.35560593079,6168.71121186159,0.00169491525423729,117.963,1005,0.996856150793651,1,1,4000.0000000002,0.000420896144822126,0.529643253968254,0.285714285714286,0.8,4194.29895051018,0.00228621583309583,1,1,1,0,NA,0.69855,0.7,0.7,799.121412023327,0.0004445652748272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9975,1,1,4000.00000000008,0.000340538531774164,0.54745,0.3,0.8,3999.99999999999,0.00215308692830322,1,1,1,0,NA,0.69855,0.7,0.7,799.121412023327,0.0004445652748272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.54325,10,0,0.954325,1,0,0.313327346472348,0.313269493844049,0.313269493844049,458.05575,1461.90875,0.297537619699042,435,1
"SST","WST",3,3,"weak",3.5,6.0025,0.25,0.09,3.5,1.99887005649718,1,4.44089209850063e-16,-5825.20874250883,11650.4174850177,0,539.93,1004,1,1,1,0,NA,0.329506913644665,0,1,3546.85822905546,0.00789340092548587,1,1,1,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,0.3575,0,1,3676.15342539846,0.00790554961099121,1,1,1,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95825,1,0,0.95825,1,0,0.456491848359851,0.456491848359851,0.456491848359851,2324,5091,0.456491848359851,2324,1
"SST","SST",3,3,"weak",3.5,6.0025,0.25,0.09,3.5,1.99887005649718,1,4.44089209850063e-16,-5829.47941083098,11658.958821662,0,448.8,1005,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,0.464741701041053,0.464741701041053,0.464741701041053,2366,5091,0.456491848359851,2324,1
"SST","DC-SBM",3,3,"weak",3.5,6.0025,0.25,0.09,3.5,1.99887005649718,1,4.44089209850063e-16,-5861.97664223834,11723.9532844767,0,74.894,1006,0.999736911339121,1,1,3801.00000000062,0.000263088660878695,0.372007366482505,0,1,3800.99999999984,0.007840815709533,1,1,1,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99975,1,1,4000.00000000073,0.000249999999999977,0.40325,0,1,3999.99999999969,0.00775724842329932,1,1,1,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95025,1,0,0.95025,1,0,0.498330386957376,0.498330386957376,0.498330386957376,2537,5091,0.456491848359851,2324,1
"SST","WST",5,5,"weak",3.5,6.0025,0.25,0.09,3.5,2.22542372881356,1,0,-5534.71241913999,11069.42483828,0,542.502,1005,1,1,1,0,NA,0.835604395604396,0.571428571428571,1,3496.79883781191,0.002316239365398,1,1,1,0,NA,0.8999875,0.9,0.9,4000.00000000032,1.24999999999995e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999875,1,1,4000.00000000032,1.24999999999995e-05,0.88345,0.7,1,3475.73308909103,0.00163429612855697,1,1,1,0,NA,0.8999875,0.9,0.9,4000.00000000032,1.24999999999995e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0015,10.0025,0,0.6999875,1,0,0.394171352040105,0.394171327642037,0.394171327642037,2678.00125,6794.00275,0.39078598763615,2655,1
