"gen_model","fit_model","K_true","K_hat","K_p.mean","hierch","kappa_mean","kappa_var","psi_mean","psi_var","rate_kap","sparsity","ari","vi","elpd","looic","pk_bad","time","seed","thetaW_block_model_mean","thetaW_block_model_lo","thetaW_block_model_hi","thetaW_block_model_ess","thetaW_block_model_mcse","thetaS_block_model_mean","thetaS_block_model_lo","thetaS_block_model_hi","thetaS_block_model_ess","thetaS_block_model_mcse","thetaW_block_emp_mean","thetaW_block_emp_lo","thetaW_block_emp_hi","thetaW_block_emp_ess","thetaW_block_emp_mcse","thetaS_block_emp_mean","thetaS_block_emp_lo","thetaS_block_emp_hi","thetaS_block_emp_ess","thetaS_block_emp_mcse","thetaW_item_emp_mean","thetaW_item_emp_lo","thetaW_item_emp_hi","thetaW_item_emp_ess","thetaW_item_emp_mcse","thetaS_item_emp_mean","thetaS_item_emp_lo","thetaS_item_emp_hi","thetaS_item_emp_ess","thetaS_item_emp_mcse","thetaW_block_model_all_mean","thetaW_block_model_all_lo","thetaW_block_model_all_hi","thetaW_block_model_all_ess","thetaW_block_model_all_mcse","thetaS_block_model_all_mean","thetaS_block_model_all_lo","thetaS_block_model_all_hi","thetaS_block_model_all_ess","thetaS_block_model_all_mcse","thetaW_block_emp_all_mean","thetaW_block_emp_all_lo","thetaW_block_emp_all_hi","thetaW_block_emp_all_ess","thetaW_block_emp_all_mcse","thetaS_block_emp_all_mean","thetaS_block_emp_all_lo","thetaS_block_emp_all_hi","thetaS_block_emp_all_ess","thetaS_block_emp_all_mcse","thetaW_item_emp_all_mean","thetaW_item_emp_all_lo","thetaW_item_emp_all_hi","thetaW_item_emp_all_ess","thetaW_item_emp_all_mcse","thetaS_item_emp_all_mean","thetaS_item_emp_all_lo","thetaS_item_emp_all_hi","thetaS_item_emp_all_ess","thetaS_item_emp_all_mcse","prem_block_model_avg","prem_block_emp_avg","prem_item_emp_avg","coverage_block_model_avg","coverage_block_emp_avg","coverage_item_emp_avg","violation_rate_mean","violation_rate_lo.2.5.","violation_rate_hi.97.5.","violation_count_mean","cross_mass_mean","violation_rate_zhat","violation_count_zhat","rep_id"
"SST","WST",3,3,3.0055,"weak",1,0.49,0.25,0.09,1,0.507909604519774,0.900418666842025,0.383065356792735,-3055.27262228071,6110.54524456142,0.00112994350282486,514.905,1002,1,1,1,0,NA,0.316261203585147,0,1,896.289010863766,0.0155350822124261,0.999519415609381,1,1,1992.89457875445,0.000323128586688876,0.1475153787005,0,1,226.122606020809,0.0234833407890357,0.658276342451874,0,1,536.984291674938,0.0204405663934363,0.494300911854103,0,1,582.349384216049,0.0206712328639373,0.785319255907491,0,1,1175.08109119667,0.0119795455756808,0.248366013071895,0,1,924.931883272873,0.0142085253496581,0.865875,0,1,146.644310386067,0.0280883302005158,0.1274375,0,1,232.005893229778,0.0217951188211198,0.4314375,0,1,968.563700193799,0.0158801268250022,0.323875,0,1,917.756908160984,0.0154112015725484,0.785319255907491,0.88,0.666,0.785319255907491,0.866125,0.655875,0.43088863800388,0.414965484718961,0.445595540605278,468.24075,1086.478,0.432480141218005,490,1
"SST","SST",3,2,3.0085,"weak",1,0.49,0.25,0.09,1,0.507909604519774,0.873146995586738,1.01633533054998,-3070.94370147691,6141.88740295383,0.000564971751412429,360.207,1003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.991982732038236,1,1,856.976846784066,0.00297711801243506,0.40009250693802,0,1,207.623835179858,0.0339144833664753,0.777816519448319,0,1,846.012114236348,0.0142230640180905,0.444521927785526,0,1,892.776257361255,0.0165544859285384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8015,0,1,535.585606672198,0.0171746531126822,0.32275,0,1,405.711817131601,0.0231460301578874,0.415625,0,1,1397.57531305359,0.0131386080361651,0.2370625,0,1,1563.93596534885,0.0107110293632165,NA,0.823,0.54925,NA,0.8078125,0.5344375,0.533638996451452,0.500980344192472,0.563926906972198,530.7025,993.67925,0.468302658486708,229,1
"SST","DC-SBM",3,3,3.39125,"weak",1,0.49,0.25,0.09,1,0.507909604519774,0.900418666842025,0.383065356792735,-3074.6279764358,6149.25595287161,0.00847457627118644,132.92,1004,0.999424294761082,1,1,1737,0.000575705238917674,0.483016695451929,0,1,478.344825123753,0.0228546112833959,0.883809937477101,0,1,77.6082530790356,0.0307301779797369,0.218195429746063,0,1,51.0528175792974,0.0482546594216888,0.703460145830219,0,1,695.696048876417,0.0153168247029315,0.382096564831131,0,1,691.432741675044,0.0154983450696309,0.672347017815647,0,1,1142.70601827143,0.0138873910035759,0.324941905499613,0,1,1394.51737097631,0.0125442756438978,0.509825,0,1,178.143699795776,0.0336551329736339,0.1274,0,1,118.999067325628,0.0255104126960073,0.4088125,0,1,745.799435377009,0.0153347466380944,0.2166875,0,1,578.601526330883,0.0139525865548857,0.672734314484895,1.28925,1.40975,0.672734314484895,0.5546125,0.5942125,0.450275184871537,0.439341421143847,0.464013705422708,527.05575,1170.35675,0.432480141218005,490,1
"SST","WST",5,5,5.00025,"weak",1,0.49,0.25,0.09,1,0.517796610169492,1,0,-3053.3397705402,6106.67954108041,0,640.061,1003,1,1,1,0,NA,0.426038652520273,0.142857142857143,0.75,3750.03598291417,0.00271182689151536,1,1,1,0,NA,0.6998625,0.7,0.7,1628.53945117359,8.97205209978927e-05,0.875084821428571,0.875,0.875,1298.33893520815,9.5632123120942e-05,0.375404017857143,0.375,0.375,1307.99234722458,0.0003674856455943,0.734958739684921,0.7,1,3559.33280632769,0.00189484645251407,0.314378594648662,0.1,0.6,3687.65683597877,0.00218586324869856,1,1,1,0,NA,0.6998625,0.7,0.7,1628.53945117359,8.97205209978927e-05,0.69995,0.7,0.7,2073.403542392,4.91008236012028e-05,0.3002375,0.3,0.3,1306.70562610682,0.000228264724775759,7.34958739684921,10.0025,8.00075,0.734958739684921,1,0.799875,0.30300957052934,0.303009575923393,0.303009575923393,443,1462,0.297537619699042,435,1
"SST","SST",5,5,5.0005,"weak",1,0.49,0.25,0.09,1,0.517796610169492,1,0,-3059.52629242617,6119.05258485234,0,409.977,1004,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.699825,0.7,0.7,3999.99999999965,9.67971392735534e-05,0.875044642857143,0.875,0.875,3999.99999999998,5.57614132718858e-05,0.375234375,0.375,0.375,4000,0.000172608861823033,1,1,1,0,NA,1,1,1,0,NA,0.99995,1,1,4000.00000000048,4.9999999999997e-05,0.6998,0.7,0.7,3999.99999999951,0.000111772641021055,0.6999625,0.7,0.7,3999.99999999985,2.79480537949919e-05,0.3001375,0.3,0.3,3999.99999999993,0.00010967921781361,10,10.004,8.003,1,0.99995,0.799925,0.303009401768757,0.303009575923393,0.303009575923393,442.99975,1462,0.297537619699042,435,1
"SST","DC-SBM",5,5,5,"weak",1,0.49,0.25,0.09,1,0.517796610169492,1,0,-3054.9163604236,6109.8327208472,0,176.751,1005,0.997621527777778,1,1,3999.99999999984,0.000365899668204709,0.527581746031746,0.285714285714286,0.8,4000.0000000001,0.00229705797228695,1,1,1,0,NA,0.69985,0.7,0.7,1665.82117124324,9.4833061049376e-05,0.875125,0.875,0.875,1660.48449226127,0.000118781200706293,0.375571428571429,0.375,0.375,1609.67308579345,0.000427538238215343,0.953025,0.7,1,4000.00000000023,0.00176521708058392,0.508075,0.2,0.8,3999.99999999996,0.00249366761784668,1,1,1,0,NA,0.69985,0.7,0.7,1665.82117124324,9.4833061049376e-05,0.699975,0.7,0.7,4000.00000000042,2.49999999999987e-05,0.30035,0.3,0.3,1612.78060198889,0.000266921855915263,9.54975,10,7.99875,0.954975,1,0.799875,0.297541292942134,0.297537619699042,0.297537619699042,435.0035,1461.99375,0.297537619699042,435,1
"SST","WST",3,3,3,"weak",3.5,6.0025,0.25,0.09,3.5,1.99887005649718,1,4.44089209850063e-16,-5837.11638837934,11674.2327767587,0,979.765,1004,1,1,1,0,NA,0.799312714776632,0,1,1613.65841294887,0.00997382582770212,1,1,1,0,NA,0,0,0,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.36375,0,1,4000.00000000017,0.00760746033431539,0.29075,0,1,3999.99999999985,0.0071809818966665,1,1,1,0,NA,0,0,0,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.36375,1,1,0.36375,1,1,0.501669613042624,0.501669613042624,0.501669613042624,2554,5091,0.456491848359851,2324,1
"SST","SST",3,2,2,"weak",3.5,6.0025,0.25,0.09,3.5,1.99887005649718,1,0.666666666666667,-5990.02747754384,11980.0549550877,0,795.455,1005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0.45419236920265,0.45419236920265,0.45419236920265,1988,4377,0.45419236920265,1988,1
"SST","DC-SBM",3,3,3.001,"weak",3.5,6.0025,0.25,0.09,3.5,1.99887005649718,1,4.44089209850063e-16,-5834.28726258374,11668.5745251675,0,120.614,1006,0.999737808075511,1,1,3814.00000000009,0.000262191924488723,0.35186156266387,0,1,3813.99999999986,0.00773368359122778,0.999875,1,1,4000.0000000001,0.000124999999999998,0.00025,0,0,3999.99999999993,0.000153061203225976,0.999875,1,1,4000.00000000021,0.000124999999999997,0.99925,1,1,4000.0000000001,0.000395156186972976,0.954204204204204,0,1,3850.14455874485,0.0033693746023194,0.335835835835836,0,1,3995.99999999974,0.00747210293048944,0.999875,1,1,4000.0000000001,0.000124999999999998,0.00025,0,0,3999.99999999993,0.000153061203225976,0.999375,1,1,4000.00000000023,0.000318575291421149,0.999125,1,1,4000.00000000023,0.000441780359705526,0.954454454454454,1.003,1.00075,0.954454454454454,1,0.9994375,0.45649173039734,0.456491848359851,0.456491848359851,2324.0245,5091.055,0.456491848359851,2324,1
"SST","WST",5,5,5,"weak",3.5,6.0025,0.25,0.09,3.5,2.22542372881356,1,0,-5634.21615163452,11268.432303269,0,985.538,1005,1,1,1,0,NA,0.662716666666667,0.666666666666667,0.666666666666667,3084.4960045359,0.0007383364907073,1,1,1,0,NA,0.9,0.9,0.9,0,NA,1,1,1,0,NA,0.25,0.25,0.25,0,NA,0.29995,0.3,0.3,4000.00000000007,9.35497882986516e-05,0.198725,0.2,0.2,2871.32444233367,0.000221528272466259,1,1,1,0,NA,0.9,0.9,0.9,0,NA,0.4,0.4,0.4,0,NA,0.1,0.1,0.1,0,NA,2.9995,10,4,0.29995,1,0.4,0.473064468648808,0.473064468648808,0.473064468648808,3214,6794,0.39078598763615,2655,1
