"model","rep","K_hat","K_post_mean","ari","vi","elpd","looic","viol","time_sec"
"WST",1,2,1.59,0.503,1.756,-4819.61,9639.23,NA,17257.8
"SST",1,NA,NA,NA,NA,NA,NA,NA,7957.2
"DCSBM",1,1,1,1,1.585,-4818.21,9636.42,NA,70.8
"WST",2,2,2.03,0.4883,1.8714,-5579.76,11159.52,NA,1470.6
"SST",2,2,2.05,0.503,1.8022,-5580.78,11161.55,NA,700.6
"DCSBM",2,3,3,0.854,0.5071,-5476.33,10952.66,NA,219.1
"WST",3,2,2,0.4864,1.7035,-4629.81,9259.61,NA,1451.9
"SST",3,NA,NA,NA,NA,NA,NA,NA,41.1
"DCSBM",3,3,3,1,0,-4118.71,8237.43,NA,158.2
"WST",4,1,1,1,1.585,-4343.26,8686.53,NA,363.7
"SST",4,NA,NA,NA,NA,NA,NA,NA,242.6
"DCSBM",4,3,3,0.8564,0.5048,-4202.59,8405.18,NA,158
