"gen_model","fit_model","K","difficulty","rep","ari","vi","elpd_loo","p_loo","looic","pareto_k_max","mae_eta","bias_eta","cov_eta","mae_psi","bias_psi","cov_psi","mae_kappa","bias_kappa","cov_kappa","ess_eta","ac_eta","ess_psi","ac_psi","ess_kappa","ac_kappa","trip_wst_model","trip_wst_model_se","trip_sst_model","trip_sst_model_se","trip_wst_data","trip_wst_data_se","trip_sst_data","trip_sst_data_se","wst_is_dag","sst_violation_rate_best","logloss_dir","brier_dir","pareto_k_share","time_sec"
"WST","WST",4,"easy",1,1,0,-7749.15107149913,104.127566286282,15498.3021429983,2.15971887373463,0.083952592927694,-6.77250952801217e-17,0.95,1.09874058953194,-0.162506476533198,0.166666666666667,0.221347199733759,-0.00804585357838259,0.375,4026.10963513083,0.189460846726713,966.606363154516,0.205700928451567,3977.85998358951,0.194066934128503,1,0,0.5,0.25,1,0,0,0,TRUE,0.166666666666667,0.618950976193892,0.213478126289593,0.00282828282828283,428.686
"WST","SST",4,"easy",1,0.92264724951374,0.269886672032654,-7602.87677961601,129.331828504897,15205.753559232,2.36475974140407,0.091992819906788,-5.88399229513314e-17,0.92,NA,NA,NA,0.197022546263899,-0.0180385572430381,0.4375,3970.71796104082,0.207005726815803,2054.7321781118,0.255555681494228,3749.52548558503,0.214716156261177,1,0,1,0,1,0,0,0,TRUE,0.166666666666667,0.533949415664738,0.173742584452882,0.00828282828282828,371.877
"WST","DC-SBM",4,"easy",1,1,0,-7355.75267881587,200.687776183456,14711.5053576317,0.52531134781096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,TRUE,0.166666666666667,0.444781597825774,0.148723130124783,0,278.844
"WST","WST",5,"easy",1,0.974608874070274,0.115280431229259,-9424.45194972858,117.429271406113,18848.9038994572,1.45601341903466,0.0723889934729918,9.99021151177823e-18,0.96,0.659580085420613,-0.00681883386607266,0.3,0.26852997576711,0.0064806238290484,0.36,3994.24015557443,0.197161235657653,1016.02983602102,0.201678075519851,3937.55745877515,0.20616369015449,1,0,0.5,0.158113883008419,1,0,0.2,0.126491106406735,TRUE,0.2,0.59689340677898,0.206624228483118,0.00141414141414141,476.266
"WST","SST",5,"easy",1,0.744212484497726,0.4,-8940.04527671018,119.233740413669,17880.0905534204,3.01021285776235,0.0806388515333958,1.55400222041652e-17,0.93,NA,NA,NA,0.299574969456141,-0.0259067191049867,0.44,4021.90447646459,0.192537988061325,1911.97257836144,0.272183025313623,4013.90108872166,0.201909056222766,1,0,1,0,1,0,0.1,0.0948683298050514,TRUE,0.2,0.479064433865745,0.155117988706039,0.00323232323232323,377.714
"WST","DC-SBM",5,"easy",1,0.974608874070274,0.115280431229259,-8828.40193572932,217.371426111095,17656.8038714586,1.56626694842972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.2,0.126491106406735,TRUE,0.2,0.437678569397586,0.144598400932508,0.00181818181818182,352.414
"WST","WST",6,"easy",1,1,0,-8229.09291152829,127.263560605681,16458.1858230566,0.500676975946544,0.0886802280344736,5.10740538403609e-17,0.94,0.964401755573833,-0.0407655475305992,0.333333333333333,0.445867523241534,-0.02494404283861,0.277777777777778,3992.81908508353,0.190934336154887,1020.28348382751,NA,3958.37967533908,0.202722508933167,1,0,0.4,0.109544511501033,1,0,0.3,0.102469507659596,TRUE,0.266666666666667,0.622995624355619,0.214695739038965,0,503.156
"WST","SST",6,"easy",1,0.787707058148573,0.34,-7827.23733988607,122.797352878123,15654.4746797721,0.878805634722385,0.112120020158843,5.21823795111842e-17,0.85,NA,NA,NA,0.372865268313314,0.0134068150834882,0.444444444444444,3976.84129231521,0.189465699480101,2052.61589218346,0.278055351340527,3959.79869247809,0.196175075915152,1,0,1,0,1,0,0.15,0.0798435971133566,TRUE,0.233333333333333,0.515567500128322,0.167677091825506,0.000606060606060606,396.123
"WST","DC-SBM",6,"easy",1,1,0,-7716.61238962949,234.995230311507,15433.224779259,0.974766858492907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.3,0.102469507659596,TRUE,0.266666666666667,0.433479289405874,0.142819297753731,0.00121212121212121,407.675
"SST","WST",4,"easy",1,0.97305763367046,0.121723326543606,-9468.42108609149,118.75506515787,18936.842172183,1.70816567990766,0.0742756397190434,-2.44277525724562e-17,0.9,NA,NA,NA,0.0501276711169313,0.00372408684297877,0.75,3998.97173813856,0.1980353133366,1129.33229524186,NA,3991.76117503924,0.200824449396955,1,0,1,0,1,0,1,0,TRUE,0,0.623582427985952,0.219125443929845,0.0113131313131313,419.042
"SST","SST",4,"easy",1,0.97305763367046,0.121723326543606,-9059.59627069006,124.509219370792,18119.1925413801,2.70534873522236,0.0738231225305408,-1.7765262459897e-17,0.91,0.0384358465352411,0.0384358465352411,1,0.0503518016552338,0.00399394814926315,0.75,4002.01614478164,0.18913376885703,1956.8891275262,0.269313762174926,3934.8994253989,0.202389312947374,1,0,1,0,1,0,1,0,TRUE,0,0.523665728768778,0.176033588848929,0.0272727272727273,348.56
"SST","DC-SBM",4,"easy",1,1,2,-9159.44179121673,301.396437477874,18318.8835824335,0.939561806597739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,TRUE,0,0.693147180559945,0.25,0.00222222222222222,278.948
"SST","WST",5,"easy",1,0.744212484497726,0.4,-9406.48319854635,116.404031907286,18812.9663970927,1.72085868297365,0.0738736219931328,-3.21935200394731e-17,0.95,NA,NA,NA,0.324562072066805,0.00962293918213671,0.44,4011.85999505174,0.19268790423311,1727.12320321964,NA,3432.02960268218,0.199996594184583,1,0,0.7,0.144913767461894,1,0,0.4,0.154919333848297,TRUE,0.0666666666666667,0.611587974649394,0.213465159573472,0.00646464646464646,446.919
"SST","SST",5,"easy",1,0.950579333175692,0.190488455840589,-8837.1042936635,137.802656259153,17674.208587327,1.73405186939236,0.0746242118958778,-3.77563580985889e-17,0.95,0.11580029094998,0.11580029094998,0.75,0.0547739549843428,0.0260863510378448,0.96,2707.67394414264,0.201384184099849,85.0150888284295,0.600268891993431,1067.09318006287,0.198252047709787,1,0,1,0,1,0,1,0,TRUE,0,0.482968580519074,0.15889835208583,0.0181818181818182,377.657
"SST","DC-SBM",5,"easy",1,1,2.32192809488736,-146466513.116984,146457783.842527,292933026.233968,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,TRUE,0,0.693147180559945,0.25,1,342.884
"SST","WST",6,"easy",1,0.734182272558221,0.708510092434217,-8239.102440005,144.091041525878,16478.20488001,1.46395009430411,0.101078020254577,4.55202282118039e-17,0.94,NA,NA,NA,0.240314013824296,0.0557149150753673,0.666666666666667,3822.4445792421,0.195174611853062,2039.2764640845,0.199521859963436,3538.33349770491,0.205287937724562,1,0,0.5,0.111803398874989,1,0,0.5,0.111803398874989,TRUE,0.0666666666666667,0.621799305756943,0.218728909105914,0.00848484848484849,488.653
"SST","SST",6,"easy",1,0.657427621633457,1.12327319600256,-7910.9476249944,144.650363547952,15821.8952499888,2.49327697336284,0.102324627714535,6.10592847984093e-17,0.92,1.0507062746032,1.0507062746032,0,0.310812684385039,0.0764202933791242,0.638888888888889,3860.26917320719,0.214784995702312,2583.70661136112,0.293683459152529,3625.26058217445,0.216690036298775,1,0,1,0,1,0,0.4,0.109544511501033,TRUE,0.0666666666666667,0.509801975129199,0.170000913986712,0.0173737373737374,377.877
"SST","DC-SBM",6,"easy",1,0.60783528120956,1.4033995234904,-71193787.3454904,71186102.772907,142387574.690981,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.4,0.109544511501033,TRUE,0.0666666666666667,0.533885805610881,0.178710931955006,1,408.371
