"gen_model","fit_model","K","K_hat_VI","K_hat_VI_a05","difficulty","rep","ari","vi","elpd_loo","p_loo","looic","pareto_k_max","pareto_k_share","mae_eta","bias_eta","cov_eta","mae_psi","bias_psi","cov_psi","mae_kappa","bias_kappa","cov_kappa","ess_eta","ac_eta","ess_psi","ac_psi","ess_kappa","ac_kappa","time_sec","thetaW_block_mean","thetaW_block_lo","thetaW_block_hi","thetaW_block_ess","thetaW_block_mcse","thetaS_block_mean","thetaS_block_lo","thetaS_block_hi","thetaS_block_ess","thetaS_block_mcse","cyc_block_mean","cyc_block_lo","cyc_block_hi","cyc_block_ess","cyc_block_mcse","thetaW_item_mean","thetaW_item_lo","thetaW_item_hi","thetaW_item_ess","thetaW_item_mcse","thetaS_item_mean","thetaS_item_lo","thetaS_item_hi","thetaS_item_ess","thetaS_item_mcse","prem_block_avg","prem_item_avg"
"WST","WST",4,4,4,"easy",1,1,0,-7749.15107149913,104.127566286282,15498.3021429983,2.15971887373463,0.00282828282828283,0.083952592927694,-6.77250952801217e-17,0.95,1.09874058953194,-0.162506476533198,0.166666666666667,0.221347199733759,-0.00804585357838259,0.375,4026.10963513083,0.189460846726713,966.606363154516,0.205700928451567,3977.85998358951,0.194066934128503,933.598,1,1,1,0,NA,0,0,0,0,NA,0,0,0,0,NA,1,1,1,0,NA,0,0,0,0,NA,2,999.98125
"WST","SST",4,4,4,"easy",1,0.92264724951374,0.269886672032654,-7603.07343952935,129.043671400571,15206.1468790587,2.30575260537097,0.0094949494949495,0.0913452326976671,-6.99482518348032e-17,0.93,NA,NA,NA,0.196999691818364,-0.0177058623973638,0.4375,3978.03499501977,0.199879019814779,2104.45920626963,0.269080099305852,3746.6014201204,0.222145808783188,823.918,1,1,1,0,NA,1,1,1,0,NA,0,0,0,0,NA,1,1,1,0,NA,1,1,1,0,NA,4,2000
"WST","DC-SBM",4,4,4,"easy",1,1,0,-7355.75267881587,200.687776183456,14711.5053576317,0.52531134781096,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.441,1,1,1,0,NA,0.0134,0,0.5,4000,0.0013,0,0,0,0,NA,0.961,0.9149,0.9917,4036.1164,3e-04,0.2268,0.1329,0.3209,4000,8e-04,2.0535,1297.72675
"WST","WST",5,5,5,"easy",1,0.974608874070274,0.115280431229259,-9424.45194972858,117.429271406113,18848.9038994572,1.45601341903466,0.00141414141414141,0.0723889934729918,9.99021151177823e-18,0.96,0.659580085420613,-0.00681883386607266,0.3,0.26852997576711,0.0064806238290484,0.36,3994.24015557443,0.197161235657653,1016.02983602102,0.201678075519851,3937.55745877515,0.20616369015449,991.205,1,1,1,0,NA,0.2951,0.2857,0.4286,2698.6676,7e-04,0,0,0,0,NA,1,1,1,0,NA,0.2956,0.2631,0.4369,2613.1449,8e-04,7,1400.92825
"WST","SST",5,4,4,"easy",1,0.744212484497726,0.4,-8939.45436246881,118.751161675221,17878.9087249376,3.05474640719912,0.00222222222222222,0.0804944367710639,1.77642799016782e-17,0.93,NA,NA,NA,0.297036496204511,-0.0213168934009878,0.44,4017.57824967601,0.194897075257465,1998.85383447298,0.269743895217775,4012.11462265865,0.207383830522191,813.399,1,1,1,0,NA,1,1,1,0,NA,0,0,0,0,NA,1,1,1,0,NA,1,1,1,0,NA,4,2000
"WST","DC-SBM",5,5,5,"easy",1,0.974608874070274,0.115280431229259,-8828.40193572932,217.371426111095,17656.8038714586,1.56626694842972,0.00181818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,622.57,1,1,1,0,NA,0.3191,0.2857,0.5,3820.1237,0.0012,0,0,0,0,NA,0.9993,0.9953,1,4000,0,0.4045,0.3463,0.4711,4000,5e-04,7.36075,1607.3525
"WST","WST",6,6,6,"easy",1,1,0,-8229.09291152829,127.263560605681,16458.1858230566,0.500676975946544,0,0.0886802280344736,5.10740538403609e-17,0.94,0.964401755573833,-0.0407655475305992,0.333333333333333,0.445867523241534,-0.02494404283861,0.277777777777778,3992.81908508353,0.190934336154887,1020.28348382751,NA,3958.37967533908,0.202722508933167,1059.137,1,1,1,0,NA,0.4094,0.3125,0.5,1916.3643,0.0012,0,0,0,0,NA,1,1,1,0,NA,0.422,0.3141,0.524,2464.7075,0.0011,16,1605.98925
"WST","SST",6,6,6,"easy",1,0.797500500967464,0.394868683012557,-7902.1133657369,208.933687963361,15804.2267314738,1.1690021119532,0.00363636363636364,0.0996684150416376,6.43892762459269e-17,0.9,NA,NA,NA,0.409421501429074,-0.00976340099946403,0.555555555555556,2657.50694084935,0.371021617806824,9.32848936841657,0.759841906824821,2442.70216461868,0.277136214333737,885.918000000001,1,1,1,0,NA,1,1,1,0,NA,0,0,0,0,NA,1,1,1,0,NA,1,1,1,0,NA,20,2000
"WST","DC-SBM",6,6,6,"easy",1,1,0,-7716.61238962949,234.995230311507,15433.224779259,0.974766858492907,0.00121212121212121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,737.52,1,1,1,0,NA,0.2495,0.1667,0.4375,2180.9039,0.0015,0,0,0,0,NA,0.9989,0.9926,1,4000,0,0.3245,0.2294,0.4182,919.1209,0.0016,12.241,1258.92875
"SST","WST",4,4,4,"easy",1,0.97305763367046,0.121723326543606,-9468.42108609149,118.75506515787,18936.842172183,1.70816567990766,0.0113131313131313,0.0742756397190434,-2.44277525724562e-17,0.9,NA,NA,NA,0.0501276711169313,0.00372408684297877,0.75,3998.97173813856,0.1980353133366,1129.33229524186,NA,3991.76117503924,0.200824449396955,922.657000000001,1,1,1,0,NA,1,1,1,0,NA,0,0,0,0,NA,1,1,1,0,NA,1,1,1,0,NA,4,2000
