Gen,$K^\star$,Density,Hierarchy,Rep,Model,ELPD (SE),$\Delta$ELPD (SE),$|\Delta|>2SE$,LOOIC,PSIS $k>0.7$,ELPD winner
SST,8,kappa_0.25,app_sparse,1,DC-SBM,-1771.7 (51.2),-43.6 (9.2),\checkmark,3543.3,0.05,
SST,8,kappa_0.25,app_sparse,1,WST,-1732.8 (51.4),-4.7 (4.1),,3465.7,0.01,
SST,8,kappa_0.25,app_sparse,1,SST,-1728.1 (51.7),0.0 (0.0),,3456.2,0.01,\checkmark
SST,8,kappa_0.25,app_sparse,2,DC-SBM,-1170.3 (46.9),-42.4 (5.9),\checkmark,2340.6,0.28,
SST,8,kappa_0.25,app_sparse,2,SST,-1130.9 (47.7),-3.0 (1.9),,2261.9,0.00,
SST,8,kappa_0.25,app_sparse,2,WST,-1127.9 (47.5),0.0 (0.0),,2255.8,0.01,\checkmark
SST,8,kappa_0.25,app_sparse,3,DC-SBM,-1653.4 (49.2),-8.3 (4.0),\checkmark,3306.9,0.09,
SST,8,kappa_0.25,app_sparse,3,SST,-1649.6 (50.3),-4.5 (3.8),,3299.3,0.01,
SST,8,kappa_0.25,app_sparse,3,WST,-1645.1 (49.5),0.0 (0.0),,3290.2,0.01,\checkmark
SST,8,kappa_0.25,app_sparse,4,DC-SBM,-1499.2 (50.7),-59.6 (6.0),\checkmark,2998.4,0.17,
SST,8,kappa_0.25,app_sparse,4,WST,-1440.4 (50.7),-0.8 (3.1),,2880.7,0.01,
SST,8,kappa_0.25,app_sparse,4,SST,-1439.6 (51.0),0.0 (0.0),,2879.1,0.01,\checkmark
SST,8,kappa_0.25,app_sparse,5,DC-SBM,-1728.5 (50.6),-3.8 (2.8),,3457.1,0.05,
SST,8,kappa_0.25,app_sparse,5,WST,-1726.0 (51.0),-1.3 (2.5),,3452.1,0.01,
SST,8,kappa_0.25,app_sparse,5,SST,-1724.7 (51.2),0.0 (0.0),,3449.5,0.01,\checkmark
SST,8,kappa_0.25,app_sparse,6,DC-SBM,-1781.9 (50.7),-29.1 (5.0),\checkmark,3563.8,0.13,
SST,8,kappa_0.25,app_sparse,6,WST,-1755.4 (52.2),-2.6 (2.3),,3510.9,0.01,
SST,8,kappa_0.25,app_sparse,6,SST,-1752.9 (52.4),0.0 (0.0),,3505.7,0.01,\checkmark
SST,8,kappa_0.25,app_sparse,7,DC-SBM,-1385.4 (50.1),-36.5 (4.6),\checkmark,2770.8,0.19,
SST,8,kappa_0.25,app_sparse,7,SST,-1350.2 (50.6),-1.2 (1.8),,2700.3,0.01,
SST,8,kappa_0.25,app_sparse,7,WST,-1348.9 (50.5),0.0 (0.0),,2697.8,0.00,\checkmark
SST,8,kappa_0.25,app_sparse,8,DC-SBM,-1376.3 (49.1),-15.8 (3.4),\checkmark,2752.6,0.10,
SST,8,kappa_0.25,app_sparse,8,SST,-1368.0 (50.1),-7.5 (2.5),\checkmark,2736.0,0.00,
SST,8,kappa_0.25,app_sparse,8,WST,-1360.5 (49.4),0.0 (0.0),,2721.0,0.00,\checkmark
SST,8,kappa_0.25,app_sparse,9,DC-SBM,-1835.4 (52.4),-16.8 (5.7),\checkmark,3670.7,0.12,
SST,8,kappa_0.25,app_sparse,9,WST,-1823.9 (52.9),-5.3 (3.7),,3647.8,0.01,
SST,8,kappa_0.25,app_sparse,9,SST,-1818.6 (52.5),0.0 (0.0),,3637.2,0.01,\checkmark
SST,8,kappa_0.25,app_sparse,10,DC-SBM,-1446.2 (48.0),-16.8 (3.3),\checkmark,2892.4,0.19,
SST,8,kappa_0.25,app_sparse,10,SST,-1432.1 (48.4),-2.6 (2.1),,2864.1,0.01,
SST,8,kappa_0.25,app_sparse,10,WST,-1429.4 (48.1),0.0 (0.0),,2858.9,0.00,\checkmark
WST,8,kappa_0.25,app_sparse,1,SST,-1665.3 (49.1),-22.3 (5.6),\checkmark,3330.6,0.02,
WST,8,kappa_0.25,app_sparse,1,WST,-1657.8 (48.4),-14.8 (2.9),\checkmark,3315.6,0.01,
WST,8,kappa_0.25,app_sparse,1,DC-SBM,-1643.0 (47.3),0.0 (0.0),,3286.0,0.09,\checkmark
WST,8,kappa_0.25,app_sparse,2,DC-SBM,-1570.4 (48.4),-27.3 (4.7),\checkmark,3140.8,0.13,
WST,8,kappa_0.25,app_sparse,2,SST,-1559.8 (50.1),-16.8 (6.6),\checkmark,3119.6,0.02,
WST,8,kappa_0.25,app_sparse,2,WST,-1543.0 (48.7),0.0 (0.0),,3086.1,0.01,\checkmark
WST,8,kappa_0.25,app_sparse,3,DC-SBM,-1158.7 (45.7),-29.6 (4.6),\checkmark,2317.4,0.25,
WST,8,kappa_0.25,app_sparse,3,WST,-1132.6 (45.8),-3.4 (4.1),,2265.2,0.01,
WST,8,kappa_0.25,app_sparse,3,SST,-1129.1 (46.1),0.0 (0.0),,2258.3,0.01,\checkmark
WST,8,kappa_0.25,app_sparse,4,DC-SBM,-1377.1 (47.2),-15.5 (6.4),\checkmark,2754.1,0.09,
WST,8,kappa_0.25,app_sparse,4,WST,-1372.1 (47.9),-10.5 (4.7),\checkmark,2744.1,0.02,
WST,8,kappa_0.25,app_sparse,4,SST,-1361.6 (48.1),0.0 (0.0),,2723.1,0.02,\checkmark
WST,8,kappa_0.25,app_sparse,5,DC-SBM,-1471.4 (46.0),-36.3 (5.8),\checkmark,2942.9,0.20,
WST,8,kappa_0.25,app_sparse,5,WST,-1448.7 (46.5),-13.5 (5.0),\checkmark,2897.4,0.02,
WST,8,kappa_0.25,app_sparse,5,SST,-1435.2 (46.4),0.0 (0.0),,2870.3,0.02,\checkmark
WST,8,kappa_0.25,app_sparse,6,DC-SBM,-1271.0 (47.7),-18.0 (3.8),\checkmark,2542.0,0.16,
WST,8,kappa_0.25,app_sparse,6,SST,-1257.2 (48.3),-4.2 (4.0),,2514.4,0.02,
WST,8,kappa_0.25,app_sparse,6,WST,-1253.0 (47.7),0.0 (0.0),,2506.0,0.01,\checkmark
