Gen,$K^\star$,Density,Hierarchy,Rep,ELPD winner,VI winner,ARI winner,Exact K models,Block sizes,$\vartheta$
SST,8,kappa_0.25,app_sparse,1,SST,WST,DC-SBM,--,3;4;17;5;3;20;4;8,2.20
SST,8,kappa_0.25,app_sparse,2,WST,DC-SBM,SST/DC-SBM,--,3;4;3;4;4;26;9;11,2.20
SST,8,kappa_0.25,app_sparse,3,WST,WST,SST,--,8;10;4;3;5;21;4;9,2.20
SST,8,kappa_0.25,app_sparse,4,SST,WST,WST/SST,--,3;3;4;10;3;20;11;10,2.20
SST,8,kappa_0.25,app_sparse,5,SST,DC-SBM,WST,--,5;6;3;5;9;3;3;30,2.20
SST,8,kappa_0.25,app_sparse,6,SST,SST,WST/DC-SBM,--,3;3;9;12;19;8;4;6,2.20
SST,8,kappa_0.25,app_sparse,7,WST,WST/SST/DC-SBM,WST/SST/DC-SBM,--,3;4;6;3;13;5;7;23,2.20
SST,8,kappa_0.25,app_sparse,8,WST,WST,WST,--,5;4;4;4;8;6;13;20,2.20
SST,8,kappa_0.25,app_sparse,9,SST,SST,WST/DC-SBM,--,3;5;8;3;8;9;11;17,2.20
SST,8,kappa_0.25,app_sparse,10,WST,WST/SST,WST/SST/DC-SBM,--,6;7;8;8;3;4;8;20,2.20
WST,8,kappa_0.25,app_sparse,1,DC-SBM,SST,WST/SST/DC-SBM,--,4;6;3;11;8;9;17;6,2.20
WST,8,kappa_0.25,app_sparse,2,WST,WST,WST,--,8;5;3;4;3;16;10;15,2.20
WST,8,kappa_0.25,app_sparse,3,SST,SST,SST/DC-SBM,--,4;5;3;3;6;13;3;27,2.20
WST,8,kappa_0.25,app_sparse,4,SST,SST,SST,--,3;4;3;3;8;4;9;30,2.20
WST,8,kappa_0.25,app_sparse,5,SST,SST,WST,--,3;4;3;6;5;17;12;14,2.20
WST,8,kappa_0.25,app_sparse,6,WST,SST,WST/SST,--,3;3;10;4;6;6;8;24,2.20
WST,8,kappa_0.25,app_sparse,7,SST,SST,SST,--,3;3;6;8;9;3;22;10,2.20
WST,8,kappa_0.25,app_sparse,8,SST,SST,DC-SBM,--,10;6;5;8;13;5;7;10,2.20
WST,8,kappa_0.25,app_sparse,9,SST,WST,SST,--,4;3;4;3;9;5;19;17,2.20
WST,8,kappa_0.25,app_sparse,10,SST,SST,WST/SST/DC-SBM,--,4;5;5;3;18;6;7;16,2.20
