Gen,$K^\star$,Density,Hierarchy,Rep,Model,$\hat K$,$E[K\mid y]$,ARI,VI,NVI,OCRP tries,true block sizes
WST,10,kappa_0.3,app_sparse_hetero,1,DC-SBM,5,4.22,0.402,2.233,0.672,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,1,SST,7,8.18,0.451,1.603,0.482,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,1,WST,6,7.25,0.486,1.667,0.502,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,2,DC-SBM,6,5.23,0.626,1.604,0.483,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,2,SST,8,8.43,0.609,1.119,0.337,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,2,WST,7,8.51,0.709,1.061,0.319,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,3,DC-SBM,5,5.32,0.559,1.632,0.491,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,3,SST,10,9.83,0.762,0.782,0.235,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,3,WST,10,10.15,0.890,0.338,0.102,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,4,DC-SBM,6,5.23,0.505,2.070,0.623,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,4,SST,7,7.69,0.337,1.910,0.575,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,4,WST,7,7.83,0.387,1.607,0.484,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,5,DC-SBM,8,7.11,0.544,1.159,0.349,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,5,SST,7,8.00,0.233,2.131,0.641,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,5,WST,10,9.11,0.621,1.246,0.375,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,6,DC-SBM,4,4.82,0.627,2.409,0.725,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,6,SST,5,6.62,0.443,2.499,0.752,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,6,WST,6,6.84,0.381,2.185,0.658,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,7,DC-SBM,5,5.06,0.542,1.869,0.563,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,7,SST,7,7.71,0.476,1.727,0.520,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,7,WST,6,7.93,0.564,1.679,0.505,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,8,DC-SBM,6,5.47,0.382,1.931,0.581,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,8,SST,10,9.71,0.652,1.139,0.343,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,8,WST,12,10.30,0.705,0.898,0.270,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,9,DC-SBM,4,4.23,0.336,1.785,0.537,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,9,SST,6,7.14,0.473,1.527,0.460,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,9,WST,4,6.79,0.324,1.781,0.536,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,10,DC-SBM,5,5.34,0.604,1.371,0.413,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,10,SST,9,9.34,0.808,0.564,0.170,--,7;7;7;7;7;7;7;7;7;7
WST,10,kappa_0.3,app_sparse_hetero,10,WST,10,10.48,0.914,0.294,0.088,--,7;7;7;7;7;7;7;7;7;7
