Gen,$K^\star$,Density,Hierarchy,Rep,Model,ELPD (SE),$\Delta$ELPD (SE),$|\Delta|>2SE$,LOOIC,PSIS $k>0.7$,ELPD winner
WST,10,kappa_0.3,app_sparse_hetero,1,DC-SBM,-1896.7 (51.5),-25.3 (10.1),\checkmark,3793.3,0.07,
WST,10,kappa_0.3,app_sparse_hetero,1,WST,-1890.8 (51.1),-19.4 (6.1),\checkmark,3781.6,0.01,
WST,10,kappa_0.3,app_sparse_hetero,1,SST,-1871.4 (51.0),0.0 (0.0),,3742.7,0.02,\checkmark
WST,10,kappa_0.3,app_sparse_hetero,2,DC-SBM,-1962.7 (52.0),-42.7 (9.6),\checkmark,3925.5,0.07,
WST,10,kappa_0.3,app_sparse_hetero,2,SST,-1934.2 (52.5),-14.2 (9.1),,3868.3,0.01,
WST,10,kappa_0.3,app_sparse_hetero,2,WST,-1920.0 (50.9),0.0 (0.0),,3840.0,0.01,\checkmark
WST,10,kappa_0.3,app_sparse_hetero,3,DC-SBM,-1726.9 (51.3),-94.0 (12.4),\checkmark,3453.8,0.15,
WST,10,kappa_0.3,app_sparse_hetero,3,SST,-1643.5 (50.7),-10.6 (9.5),,3287.0,0.01,
WST,10,kappa_0.3,app_sparse_hetero,3,WST,-1632.9 (47.7),0.0 (0.0),,3265.8,0.01,\checkmark
WST,10,kappa_0.3,app_sparse_hetero,4,SST,-1960.9 (54.6),-22.6 (8.2),\checkmark,3921.7,0.01,
WST,10,kappa_0.3,app_sparse_hetero,4,DC-SBM,-1949.4 (53.0),-11.1 (6.9),,3898.7,0.04,
WST,10,kappa_0.3,app_sparse_hetero,4,WST,-1938.2 (53.1),0.0 (0.0),,3876.5,0.01,\checkmark
WST,10,kappa_0.3,app_sparse_hetero,5,SST,-2070.9 (58.7),-88.6 (15.0),\checkmark,4141.7,0.02,
WST,10,kappa_0.3,app_sparse_hetero,5,DC-SBM,-2022.7 (54.1),-40.5 (5.9),\checkmark,4045.4,0.07,
WST,10,kappa_0.3,app_sparse_hetero,5,WST,-1982.2 (53.8),0.0 (0.0),,3964.5,0.02,\checkmark
WST,10,kappa_0.3,app_sparse_hetero,6,DC-SBM,-1816.0 (52.5),-38.2 (4.7),\checkmark,3632.0,0.21,
WST,10,kappa_0.3,app_sparse_hetero,6,SST,-1784.5 (53.4),-6.7 (5.1),,3569.0,0.02,
WST,10,kappa_0.3,app_sparse_hetero,6,WST,-1777.8 (52.4),0.0 (0.0),,3555.6,0.01,\checkmark
WST,10,kappa_0.3,app_sparse_hetero,7,DC-SBM,-1943.1 (52.7),-16.3 (8.0),\checkmark,3886.2,0.03,
WST,10,kappa_0.3,app_sparse_hetero,7,WST,-1940.6 (52.8),-13.8 (6.8),\checkmark,3881.2,0.01,
WST,10,kappa_0.3,app_sparse_hetero,7,SST,-1926.7 (52.9),0.0 (0.0),,3853.5,0.01,\checkmark
WST,10,kappa_0.3,app_sparse_hetero,8,DC-SBM,-1970.6 (52.4),-128.0 (12.0),\checkmark,3941.2,0.12,
WST,10,kappa_0.3,app_sparse_hetero,8,SST,-1874.1 (51.8),-31.6 (7.8),\checkmark,3748.2,0.02,
WST,10,kappa_0.3,app_sparse_hetero,8,WST,-1842.6 (49.6),0.0 (0.0),,3685.1,0.01,\checkmark
WST,10,kappa_0.3,app_sparse_hetero,9,DC-SBM,-1916.7 (55.0),-10.2 (7.9),,3833.4,0.09,
WST,10,kappa_0.3,app_sparse_hetero,9,WST,-1914.6 (54.9),-8.1 (5.8),,3829.3,0.02,
WST,10,kappa_0.3,app_sparse_hetero,9,SST,-1906.5 (55.4),0.0 (0.0),,3813.1,0.02,\checkmark
WST,10,kappa_0.3,app_sparse_hetero,10,DC-SBM,-2021.3 (53.2),-112.3 (14.3),\checkmark,4042.5,0.07,
WST,10,kappa_0.3,app_sparse_hetero,10,SST,-1945.1 (52.4),-36.1 (9.8),\checkmark,3890.2,0.01,
WST,10,kappa_0.3,app_sparse_hetero,10,WST,-1909.0 (49.9),0.0 (0.0),,3817.9,0.01,\checkmark
