gen_model,kappa_mean,psi_mean,fit_model_clean,mean_vi,pr_KeqKstar,viol_partition_mean,viol_partition_lo,viol_partition_hi
SST,0.75,0.2,DC,0.472117038022073,0.25,0.48149300906441295,0.45906455879560243,0.507162534627611
SST,0.75,1.3,DC,0.3110112677843444,0.5833333333333334,0.33631488677179167,0.3272666817074558,0.34895939535001674
SST,1.5,0.2,DC,0.23180546544793332,0.3333333333333333,0.45873781360140276,0.4527182111863524,0.464103316653282
SST,1.5,1.3,DC,0.20751396073082834,0.4166666666666667,0.3423053010157968,0.3396283899883626,0.34803856904531144
SST,3,0.2,DC,0.07758143798566344,0.5833333333333334,0.4743927713382375,0.4703983071868876,0.4753479518588284
SST,3,1.3,DC,0.08785291859577635,0.8333333333333334,0.3320102316626752,0.3311378792452304,0.33392472096222914
WST,0.75,0.2,DC,0.5783394142576426,0.25,0.456408582905784,0.43479551746826683,0.475529410001497
WST,0.75,1.3,DC,0.19901686935875246,0.5,0.23473351132765333,0.21810927358651924,0.249522625713516
WST,1.5,0.2,DC,0.1508931724979776,0.5833333333333334,0.4339074540566065,0.4284178310135118,0.437755085186052
WST,1.5,1.3,DC,0.057878850786623706,0.9166666666666666,0.23599617550578317,0.22986158836381618,0.24097337145595626
WST,3,0.2,DC,0.15384034919427356,0.5833333333333334,0.4409269864974923,0.4392460248784721,0.44207331699011926
WST,3,1.3,DC,0.012962962962963037,0.8333333333333334,0.23037615439363665,0.23031742240203049,0.23037970950276332
