gen_model,hierch,psi_mean,K_true,kappa_mean,model,best_elpd_rate,elpd_mean,psis_tail_mean
SST,medium,0.7,3,0.75,DCSBM,0.5,-2986.931530524773,0.018220338983050824
SST,medium,0.7,3,0.75,SST,0,-2988.122724866813,4.2372881355932e-4
SST,medium,0.7,3,0.75,WST,0.5,-2968.259642253615,0.0033898305084745753
SST,medium,0.7,3,1.5,DCSBM,0.75,-3626.0185470702677,0.014830508474576275
SST,medium,0.7,3,1.5,SST,0.25,-3630.2013422824375,0.008898305084745765
SST,medium,0.7,3,1.5,WST,0,-3630.1918069338426,0.011016949152542383
SST,medium,0.7,3,3,DCSBM,0.75,-4616.041586116123,0.00663841807909605
SST,medium,0.7,3,3,SST,0.25,-4676.235591019443,0.007344632768361585
SST,medium,0.7,3,3,WST,0,-4617.989026910385,0.0019774011299435023
SST,medium,0.7,3,6,DCSBM,0.75,-6375.1028308080095,0
SST,medium,0.7,3,6,SST,0,-6388.017179987405,0.00098870056497175245
SST,medium,0.7,3,6,WST,0.25,-6373.90143476421,0.0018361581920903925
SST,medium,0.7,5,0.75,DCSBM,0.25,-2648.1588127939804,0.02838983050847459
SST,medium,0.7,5,0.75,SST,0,-2648.68998620984,0.007627118644067787
SST,medium,0.7,5,0.75,WST,0.75,-2631.8150545996123,0.009039548022598872
SST,medium,0.7,5,1.5,DCSBM,1,-3753.7036648173525,0.005649717514124295
SST,medium,0.7,5,1.5,SST,0,-3806.706782649805,0.00861581920903956
SST,medium,0.7,5,1.5,WST,0,-3757.56214436798,0.009463276836158193
SST,medium,0.7,5,3,DCSBM,1,-5012.024224997815,0.00451977401129943
SST,medium,0.7,5,3,SST,0,-5125.28674022342,7.062146892655374e-4
SST,medium,0.7,5,3,WST,0,-5013.421307258297,0.005932203389830507
SST,medium,0.7,5,6,DCSBM,1,-6324.2585027920295,0
SST,medium,0.7,5,6,SST,0,-6535.06910638347,0.0018361581920903953
SST,medium,0.7,5,6,WST,0,-6325.462036025185,0.0021186440677966097
SST,medium,0.7,8,0.75,DCSBM,0.25,-2874.1804532933975,0.022316384180790974
SST,medium,0.7,8,0.75,SST,0,-2839.465992457615,0.012005649717514128
