Gen.,kappa,psi,vi_fmt_WST,vi_fmt_SST,vi_fmt_DC,pr_fmt_WST,pr_fmt_SST,pr_fmt_DC,part_fmt_WST,part_fmt_SST,part_fmt_DC
SST,0.75,0.2,\textbf{0.360},0.452,0.472,\textbf{0.42},0.25,0.25,"\textbf{0.458$_{[0.432,0.487]}$}","0.469$_{[0.438,0.501]}$","0.481$_{[0.459,0.507]}$"
SST,0.75,1.3,\textbf{0.254},0.367,0.311,\textbf{0.75},0.33,0.58,"0.337$_{[0.325,0.356]}$","\textbf{0.322$_{[0.313,0.334]}$}","0.336$_{[0.327,0.349]}$"
SST,1.50,0.2,\textbf{0.153},0.335,0.232,\textbf{0.50},0.33,0.33,"\textbf{0.445$_{[0.436,0.459]}$}","0.455$_{[0.448,0.470]}$","0.459$_{[0.453,0.464]}$"
SST,1.50,1.3,\textbf{0.124},0.356,0.208,\textbf{0.75},0.17,0.42,"0.333$_{[0.322,0.346]}$","\textbf{0.315$_{[0.307,0.323]}$}","0.342$_{[0.340,0.348]}$"
SST,3.00,0.2,\textbf{0.049},0.487,0.078,\textbf{0.83},0.17,0.58,"\textbf{0.455$_{[0.451,0.465]}$}","0.470$_{[0.463,0.482]}$","0.474$_{[0.470,0.475]}$"
SST,3.00,1.3,\textbf{0.082},0.372,0.088,\textbf{0.83},0.17,\textbf{0.83},"0.331$_{[0.328,0.336]}$","\textbf{0.327$_{[0.323,0.329]}$}","0.332$_{[0.331,0.334]}$"
WST,0.75,0.2,\textbf{0.522},0.658,0.578,0.17,\textbf{0.25},\textbf{0.25},"\textbf{0.418$_{[0.392,0.449]}$}","0.425$_{[0.386,0.470]}$","0.456$_{[0.435,0.476]}$"
WST,0.75,1.3,\textbf{0.186},0.219,0.199,0.50,\textbf{0.58},0.50,"0.218$_{[0.210,0.238]}$","\textbf{0.213$_{[0.207,0.220]}$}","0.235$_{[0.218,0.250]}$"
WST,1.50,0.2,\textbf{0.123},0.389,0.151,\textbf{0.58},0.33,\textbf{0.58},"\textbf{0.413$_{[0.404,0.425]}$}","0.424$_{[0.407,0.437]}$","0.434$_{[0.428,0.438]}$"
WST,1.50,1.3,\textbf{0.045},0.143,0.058,\textbf{0.92},0.42,\textbf{0.92},"0.227$_{[0.225,0.236]}$","\textbf{0.219$_{[0.217,0.221]}$}","0.236$_{[0.230,0.241]}$"
WST,3.00,0.2,\textbf{0.141},0.517,0.154,\textbf{0.75},0.08,0.58,"\textbf{0.422$_{[0.415,0.435]}$}","0.431$_{[0.428,0.435]}$","0.441$_{[0.439,0.442]}$"
WST,3.00,1.3,\textbf{0.004},0.157,0.013,\textbf{1.00},0.50,0.83,"\textbf{0.227$_{[0.227,0.231]}$}","0.228$_{[0.228,0.229]}$","0.230$_{[0.230,0.230]}$"
