gen_model,hierch,psi_mean,K_true,kappa_mean,model,n,ari_mean,ari_sd,nvi_mean,vi_mean,exact_K,mean_K_hat,elpd_mean,looic_mean,psis_tail_mean,best_elpd_rate,violation_rate,thetaW_block_emp,thetaS_block_emp
SST,medium,0.7,3,0.75,DCSBM,4,0.8788003286770747,0.2423993426458505,0.8551549589285781,1.3553885422075367,0,1.25,-2986.931530524773,5973.863061049543,0.018220338983050824,0.5,0.49487949996860997,NA,NA
SST,medium,0.7,3,0.75,SST,4,0.8788003286770747,0.2423993426458505,0.8551549589285781,1.3553885422075367,0,1.25,-2988.122724866813,5976.245449733626,4.2372881355932e-4,0,0.44355377310233923,NA,NA
SST,medium,0.7,3,0.75,WST,4,0.812152397270167,0.23448811343598294,0.7496447826735592,1.188158869398852,0,2,-2968.259642253615,5936.519284507222,0.0033898305084745753,0.5,0.42638928686428923,0.951222016841241,0.389505031834052
SST,medium,0.7,3,1.5,DCSBM,4,0.9754618684878733,0.0490762630242535,0.05007701437571298,0.07937018993357933,1,3,-3626.0185470702677,7252.03709414054,0.014830508474576275,0.75,0.38707988536807575,1,1
SST,medium,0.7,3,1.5,SST,4,0.964243595623403,0.07151280875319399,0.06584088917017769,0.10435534034886931,1,3,-3630.2013422824375,7260.4026845648805,0.008898305084745765,0.25,0.3872189929027875,1,1
SST,medium,0.7,3,1.5,WST,4,0.9754618684878733,0.0490762630242535,0.05007701437571298,0.07937018993357933,1,3,-3630.1918069338426,7260.383613867687,0.011016949152542383,0,0.38837956050614275,1,0.999814333457111
SST,medium,0.7,3,3,DCSBM,4,0.962852543834753,0.04711017392889295,0.08038278690366597,0.12740370294577022,1,3,-4616.041586116123,9232.083172232236,0.00663841807909605,0.75,0.405244602856969,1,1
SST,medium,0.7,3,3,SST,4,0.9509237369757465,0.05666838733574727,0.20530898768000191,0.32540704653382485,0.75,2.75,-4676.235591019443,9352.471182038895,0.007344632768361585,0.25,0.3724615491293155,1,0.9998443821973233
SST,medium,0.7,3,3,WST,4,0.9747813506937595,0.02911998793111346,0.06061154505590626,0.09606702602438222,1,3,-4617.989026910385,9235.978053820767,0.0019774011299435023,0,0.37584189081695274,1,0.992266508030934
SST,medium,0.7,3,6,DCSBM,4,0.9628073420135465,0.047188241131944975,0.09053789305354827,0.14349916538417645,1,3,-6375.1028308080095,12750.205661615999,0,0.75,0.3740121536757853,1,0.9998333333333332
SST,medium,0.7,3,6,SST,4,0.8661910040239544,0.23519799937883323,0.13546073145652948,0.21470017967885796,0.75,2.75,-6388.017179987405,12776.034359974825,0.00098870056497175245,0,0.3701032921976193,1,1
SST,medium,0.7,3,6,WST,4,0.9747813506937595,0.02911998793111346,0.06061154505590626,0.09606702602438222,1,3,-6373.90143476421,12747.802869528425,0.0018361581920903925,0.25,0.37385690510790626,1,0.9998814041745729
SST,medium,0.7,5,0.75,DCSBM,4,0.6941982228719278,0.09828599729869335,0.49353046382957605,1.1459422496486837,0,3,-2648.1588127939804,5296.3176255879625,0.02838983050847459,0.25,0.45764214508309775,1,0.5043365914439509
SST,medium,0.7,5,0.75,SST,4,0.7462543136654135,0.14953356719790944,0.4836557037479934,1.1230137667849847,0.25,3.25,-2648.68998620984,5297.37997241968,0.007627118644067787,0,0.43381340663463697,0.976177319736253,0.47984941828887934
SST,medium,0.7,5,0.75,WST,4,0.6942384955174692,0.18620482361348334,0.42621675037229323,0.9896446472010212,0.25,4.25,-2631.8150545996123,5263.630109199227,0.009039548022598872,0.75,0.4294624167185665,0.944683480268721,0.4232844599147843
SST,medium,0.7,5,1.5,DCSBM,4,0.8414142965185667,0.18324922161967255,0.2757782498084206,0.640337266189037,0.25,4,-3753.7036648173525,7507.4073296347,0.005649717514124295,1,0.41203778515213324,0.999786894967015,0.802818764361426
SST,medium,0.7,5,1.5,SST,4,1,0,0.3876089022660538,0.9,0.25,3.25,-3806.706782649805,7613.41356529961,0.00861581920903956,0,0.40717646347283776,1,0.6552710992817325
SST,medium,0.7,5,1.5,WST,4,0.8402716793633485,0.1845072642515249,0.258151173417722,0.5994084622867483,0.25,4,-3757.56214436798,7515.124288735962,0.009463276836158193,0,0.4123415510527557,0.9993961352657005,0.7913552078129218
SST,medium,0.7,5,3,DCSBM,4,0.968817732253646,0.03939577370030861,0.053682356721963614,0.12464657227249273,1,5,-5012.024224997815,10024.048449995627,0.00451977401129943,1,0.4256084111616095,0.9914652777777777,0.8779017857142857
SST,medium,0.7,5,3,SST,4,0.72606793111255,0.024505178579158016,0.21533827903669656,0.5,0,3.75,-5125.28674022342,10250.57348044685,7.062146892655374e-4,0,0.4026744441364405,1,0.9375
SST,medium,0.7,5,3,WST,4,0.968817732253646,0.03939577370030861,0.053682356721963614,0.12464657227249273,1,5,-5013.421307258297,10026.842614516601,0.005932203389830507,0,0.41054621390554225,0.99340832123851,0.8783499548894396
SST,medium,0.7,5,6,DCSBM,4,1,0,0,0,1,5,-6324.2585027920295,12648.517005584024,0,1,0.427572792986275,1,0.825
SST,medium,0.7,5,6,SST,4,1,0,0.14545858498023703,0.33774437510817323,0.5,4.25,-6535.06910638347,13070.138212766924,0.0018361581920903953,0,0.4254683030812527,1,0.9
SST,medium,0.7,5,6,WST,4,1,0,0,0,1,5,-6325.462036025185,12650.924072050375,0.0021186440677966097,0,0.4170004077053625,1,0.825
SST,medium,0.7,8,0.75,DCSBM,4,0.738343242449417,0.18778024701149013,0.5835040936607292,1.7505122809821874,0,4.5,-2874.1804532933975,5748.360906586793,0.022316384180790974,0.25,0.49818333657757796,0.9496558769664003,0.5553323730834103
SST,medium,0.7,8,0.75,SST,4,0.802715649042095,0.14966139351715158,0.4291648494877972,1.2874945484633917,0.25,5.5,-2839.465992457615,5678.931984915227,0.012005649717514128,0,0.43958340435460197,0.985795179756739,0.563737254974795
SST,medium,0.7,8,0.75,WST,4,0.9047659993963497,0.14545583214331476,0.36929331372059865,1.1078799411617961,0.25,7,-2825.0888461794125,5650.177692358828,0.011440677966101702,0.75,0.4340748436104105,0.9279245145761383,0.4611447831894337
