gen_model,K_true,hierch,kappa_mean,psi_mean,n_fit,fit_set,n_reps
WST,3,medium,0.75,0.7,3,DC-SBM;SST;WST,3
WST,3,medium,1.5,0.7,3,DC-SBM;SST;WST,3
WST,3,medium,3,0.7,3,DC-SBM;SST;WST,3
WST,3,medium,6,0.7,3,DC-SBM;SST;WST,3
WST,3,strong,0.75,1.3,3,DC-SBM;SST;WST,3
WST,3,strong,1.5,1.3,3,DC-SBM;SST;WST,3
WST,3,strong,3,1.3,3,DC-SBM;SST;WST,3
WST,3,strong,6,1.3,3,DC-SBM;SST;WST,3
WST,3,weak,0.75,0.2,3,DC-SBM;SST;WST,3
WST,3,weak,1.5,0.2,3,DC-SBM;SST;WST,3
WST,3,weak,3,0.2,3,DC-SBM;SST;WST,3
WST,3,weak,6,0.2,3,DC-SBM;SST;WST,3
WST,5,medium,0.75,0.7,3,DC-SBM;SST;WST,3
WST,5,medium,1.5,0.7,3,DC-SBM;SST;WST,3
WST,5,medium,3,0.7,3,DC-SBM;SST;WST,3
WST,5,medium,6,0.7,3,DC-SBM;SST;WST,3
WST,5,strong,0.75,1.3,3,DC-SBM;SST;WST,3
WST,5,strong,1.5,1.3,3,DC-SBM;SST;WST,3
WST,5,strong,3,1.3,3,DC-SBM;SST;WST,3
WST,5,strong,6,1.3,3,DC-SBM;SST;WST,3
WST,5,weak,0.75,0.2,3,DC-SBM;SST;WST,3
WST,5,weak,1.5,0.2,3,DC-SBM;SST;WST,3
WST,5,weak,3,0.2,3,DC-SBM;SST;WST,3
WST,5,weak,6,0.2,3,DC-SBM;SST;WST,3
WST,8,medium,0.75,0.7,3,DC-SBM;SST;WST,3
WST,8,medium,1.5,0.7,3,DC-SBM;SST;WST,3
WST,8,medium,3,0.7,3,DC-SBM;SST;WST,3
WST,8,medium,6,0.7,3,DC-SBM;SST;WST,3
WST,8,strong,0.75,1.3,3,DC-SBM;SST;WST,3
WST,8,strong,1.5,1.3,3,DC-SBM;SST;WST,3
WST,8,strong,3,1.3,3,DC-SBM;SST;WST,3
WST,8,strong,6,1.3,3,DC-SBM;SST;WST,3
WST,8,weak,0.75,0.2,3,DC-SBM;SST;WST,3
WST,8,weak,1.5,0.2,3,DC-SBM;SST;WST,3
WST,8,weak,3,0.2,3,DC-SBM;SST;WST,3
WST,8,weak,6,0.2,3,DC-SBM;SST;WST,3
SST,3,medium,0.75,0.7,3,DC-SBM;SST;WST,4
SST,3,medium,1.5,0.7,3,DC-SBM;SST;WST,4
SST,3,medium,3,0.7,3,DC-SBM;SST;WST,4
SST,3,medium,6,0.7,3,DC-SBM;SST;WST,3
SST,3,strong,0.75,1.3,3,DC-SBM;SST;WST,4
SST,3,strong,1.5,1.3,3,DC-SBM;SST;WST,4
SST,3,strong,3,1.3,3,DC-SBM;SST;WST,3
SST,3,strong,6,1.3,3,DC-SBM;SST;WST,3
SST,3,weak,0.75,0.2,3,DC-SBM;SST;WST,4
SST,3,weak,1.5,0.2,3,DC-SBM;SST;WST,4
SST,3,weak,3,0.2,3,DC-SBM;SST;WST,4
SST,3,weak,6,0.2,3,DC-SBM;SST;WST,3
SST,5,medium,0.75,0.7,3,DC-SBM;SST;WST,3
SST,5,medium,1.5,0.7,3,DC-SBM;SST;WST,3
SST,5,medium,3,0.7,3,DC-SBM;SST;WST,3
SST,5,medium,6,0.7,3,DC-SBM;SST;WST,3
SST,5,strong,0.75,1.3,3,DC-SBM;SST;WST,3
SST,5,strong,1.5,1.3,3,DC-SBM;SST;WST,3
SST,5,strong,3,1.3,3,DC-SBM;SST;WST,3
SST,5,strong,6,1.3,3,DC-SBM;SST;WST,3
SST,5,weak,0.75,0.2,3,DC-SBM;SST;WST,3
SST,5,weak,1.5,0.2,3,DC-SBM;SST;WST,3
SST,5,weak,3,0.2,3,DC-SBM;SST;WST,3
SST,5,weak,6,0.2,3,DC-SBM;SST;WST,3
SST,8,medium,0.75,0.7,3,DC-SBM;SST;WST,3
SST,8,medium,1.5,0.7,3,DC-SBM;SST;WST,3
SST,8,medium,3,0.7,3,DC-SBM;SST;WST,3
SST,8,medium,6,0.7,3,DC-SBM;SST;WST,3
SST,8,strong,0.75,1.3,3,DC-SBM;SST;WST,3
SST,8,strong,1.5,1.3,3,DC-SBM;SST;WST,3
SST,8,strong,3,1.3,3,DC-SBM;SST;WST,3
SST,8,strong,6,1.3,3,DC-SBM;SST;WST,3
SST,8,weak,0.75,0.2,3,DC-SBM;SST;WST,3
SST,8,weak,1.5,0.2,3,DC-SBM;SST;WST,3
SST,8,weak,3,0.2,3,DC-SBM;SST;WST,3
SST,8,weak,6,0.2,3,DC-SBM;SST;WST,3
