gen_model,hierch,psi_mean,fit_model,n,ari,vi,exact_K,K_abs_err
WST,medium,0.7,WST,36,0.9255812474733027,0.21394263320792375,0.9166666666666666,0.11111111111111109
WST,medium,0.7,SST,36,0.8966613143094199,0.27796797431032677,0.75,0.33333333333333337
WST,medium,0.7,DC-SBM,36,0.9124524450123427,0.3132002131627701,0.7777777777777778,0.5
WST,strong,1.3,WST,36,0.9586505976143764,0.16966490550547755,0.8333333333333334,0.22222222222222224
WST,strong,1.3,SST,36,0.9587614735587943,0.17368756789538872,0.8333333333333334,0.19444444444444445
WST,strong,1.3,DC-SBM,36,0.9481459427818263,0.20717593307958232,0.75,0.36111111111111105
WST,weak,0.2,WST,36,0.9046671680160346,0.508006512902514,0.5833333333333334,0.7222222222222221
WST,weak,0.2,SST,36,0.9011071483150553,0.5158176421909537,0.6388888888888888,0.6666666666666667
WST,weak,0.2,DC-SBM,36,0.8949438629066011,0.596639252742392,0.5555555555555556,0.9722222222222221
SST,medium,0.7,WST,39,0.9070154682951101,0.44871369571168823,0.6666666666666666,0.6666666666666666
SST,medium,0.7,SST,39,0.9099549288605808,0.4444028670994259,0.6923076923076923,0.6923076923076923
SST,medium,0.7,DC-SBM,39,0.8623834392565405,0.6291650593759007,0.5128205128205128,1.1025641025641026
SST,strong,1.3,WST,38,0.9000642921338227,0.26698629386557343,0.8421052631578947,0.1842105263157895
SST,strong,1.3,SST,38,0.8989950238867408,0.2870653861244498,0.8157894736842105,0.21052631578947367
SST,strong,1.3,DC-SBM,38,0.8984531853127082,0.36399921048679285,0.6578947368421053,0.5789473684210525
SST,weak,0.2,WST,39,0.9333430631284861,0.3473602112091175,0.6923076923076923,0.4871794871794871
SST,weak,0.2,SST,39,0.9351601224469976,0.3627395767036351,0.6923076923076923,0.5384615384615385
SST,weak,0.2,DC-SBM,39,0.8900207342838781,0.5106784351404763,0.5128205128205128,1
