gen_model,kappa_mean,fit_model,n,ari,vi,exact_K,K_abs_err,looic
WST,0.75,WST,27,0.8139129416281871,0.8498036514372226,0.4444444444444444,1.037037037037037,5363.852377987331
WST,0.75,SST,27,0.8072676596939329,0.8509303348869265,0.3333333333333333,1.1111111111111112,5365.042523583646
WST,0.75,DC-SBM,27,0.8261830512290002,0.9892104784974004,0.4074074074074074,1.5925925925925926,5379.069923543992
WST,1.5,WST,27,0.9224972249486404,0.20976010818226196,0.7777777777777778,0.2222222222222222,7427.899845130483
WST,1.5,SST,27,0.9178910569633585,0.25694790156618247,0.8518518518518519,0.18518518518518523,7446.6716925083465
WST,1.5,DC-SBM,27,0.8801806749187735,0.3291361788849137,0.6666666666666666,0.4814814814814815,7437.158209345721
WST,3,WST,27,0.9837064666926046,0.12305005702221482,0.8888888888888888,0.14814814814814814,9894.160781564558
WST,3,SST,27,0.9808544774028972,0.1327306282422814,0.8518518518518519,0.1851851851851852,9925.770286892797
WST,3,DC-SBM,27,0.9799045216768483,0.14384671410351788,0.7777777777777778,0.25925925925925924,9901.0663822538
WST,6,WST,27,0.9984153842021862,0.006204918846187703,1,0,12567.103755680722
WST,6,SST,27,0.9693600541841707,0.04935538116683528,0.9259259259259259,0.11111111111111109,12708.206574660571
WST,6,DC-SBM,27,0.9877880864430717,0.027160493827160632,0.9259259259259259,0.11111111111111108,12589.339516415259
SST,0.75,WST,30,0.8087641533067443,0.9012719003965476,0.43333333333333335,1.1666666666666665,5579.034008296629
SST,0.75,SST,30,0.8258784638645879,0.9176977191626187,0.4666666666666667,1.3,5576.5308195315
SST,0.75,DC-SBM,30,0.7961578728268168,1.1868044597072398,0.26666666666666666,2.033333333333333,5618.329404245808
SST,1.5,WST,30,0.9011861305435916,0.31593179985578784,0.6666666666666666,0.4333333333333333,7540.480056493873
SST,1.5,SST,30,0.8885332749069663,0.3275406365863422,0.6,0.4666666666666666,7533.81863450667
SST,1.5,DC-SBM,30,0.8492955851644173,0.4967073420479443,0.43333333333333335,0.9666666666666667,7574.502664303346
SST,3,WST,29,0.9696558166150908,0.11923552920336791,0.896551724137931,0.10344827586206896,9861.94027934213
SST,3,SST,29,0.9700361074581821,0.13142996987048844,0.9310344827586207,0.0689655172413793,9854.359767922102
SST,3,DC-SBM,29,0.939701295971756,0.1846585244033657,0.7241379310344828,0.3103448275862069,9889.936649274588
SST,6,WST,27,0.9836258751576965,0.045126673419832584,0.9629629629629629,0.037037037037037035,13074.510010919019
SST,6,SST,27,0.9836258751576965,0.045126673419832584,0.9629629629629629,0.037037037037037035,13067.049401633285
SST,6,DC-SBM,27,0.95814972174227,0.08983018608458157,0.8518518518518519,0.1851851851851852,13129.294071688684
