gen_model,kappa_mean,fit_model,frac,n_scenarios,win_rate
WST,0.75,WST,8,27,0.2962962962962963
WST,0.75,SST,4,27,0.14814814814814814
WST,0.75,DC-SBM,15,27,0.5555555555555556
WST,1.5,WST,7,27,0.25925925925925924
WST,1.5,SST,4,27,0.14814814814814814
WST,1.5,DC-SBM,16,27,0.5925925925925926
WST,3,WST,4,27,0.14814814814814814
WST,3,SST,1,27,0.037037037037037035
WST,3,DC-SBM,22,27,0.8148148148148148
WST,6,WST,4,27,0.14814814814814814
WST,6,SST,1,27,0.037037037037037035
WST,6,DC-SBM,22,27,0.8148148148148148
SST,0.75,WST,8,30,0.26666666666666666
SST,0.75,SST,8,30,0.26666666666666666
SST,0.75,DC-SBM,14,30,0.4666666666666667
SST,1.5,WST,3,30,0.1
SST,1.5,SST,11,30,0.36666666666666664
SST,1.5,DC-SBM,16,30,0.5333333333333333
SST,3,WST,1,29,0.034482758620689655
SST,3,SST,17,29,0.5862068965517241
SST,3,DC-SBM,11,29,0.3793103448275862
SST,6,WST,2,27,0.07407407407407407
SST,6,SST,15,27,0.5555555555555556
SST,6,DC-SBM,10,27,0.37037037037037035
