gen_model,K_true,hierch,kappa_mean,psi_mean,rep_id,d_vi_WST_minus_SST,d_ari_WST_minus_SST,d_looic_WST_minus_SST,WST_better_vi,SST_better_vi,WST_better_ari,SST_better_ari,WST_better_looic,SST_better_looic
SST,3,weak,0.75,0.2,1,0,0,0.7404503280795325,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,medium,0.75,0.7,1,0,0,3.916986588909822,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,strong,0.75,1.3,1,0,0,4.395531182290142,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,strong,1.5,1.3,1,0,0,2.9056556605601145,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,medium,1.5,0.7,1,0,0,0.874301354760064,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,weak,1.5,0.2,1,0,0,0.029577447019619285,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,strong,3,1.3,1,0,0,-0.5655268855298345,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,3,medium,3,0.7,1,0,0,1.327772890588676,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,weak,3,0.2,1,0,0,-3.859376686399628,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,5,medium,0.75,0.7,1,0,0,-2.1297484893002547,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,3,weak,6,0.2,1,0,0,2.7305937988985534,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,medium,6,0.7,1,0,0,-4.300342274698778,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,3,strong,6,1.3,1,0,0,1.7379561285997625,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,5,weak,0.75,0.2,1,0.03125846698456003,0,-0.19641615840009763,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
SST,5,strong,0.75,1.3,1,-0.08662087621621017,-0.253475646282597,-6.219016680150162,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
SST,5,medium,1.5,0.7,1,0.153240460016145,-0.027606350443490024,1.1081905121300224,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
SST,8,weak,0.75,0.2,1,-0.3309386119200699,-0.380032206119163,-0.4280403344600927,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
SST,5,weak,1.5,0.2,1,0,0,4.262958625809915,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,5,strong,1.5,1.3,1,0,0,12.596168463800495,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
