gen_model,kappa_mean,psi_mean,fit_model,n,ari_mean,vi_mean,nvi_mean,exact_K_rate,K_abs_err_mean,K_hat_mean,Kp_mean,looic_mean,pk_bad_mean
WST,0.75,0.2,WST,9,0.7918358043093227,1.3378243510509016,0.5885693047210825,0.1111111111111111,2,3.7777777777777777,5.123703703703704,5406.520421778203,0.005586942875078465
WST,0.75,0.2,SST,9,0.8018807983386318,1.296122564082667,0.5732840109386728,0.1111111111111111,1.8888888888888888,3.888888888888889,4.788493827160494,5410.609376356061,0.006151914626490895
WST,0.75,0.2,DC-SBM,9,0.7954582820361465,1.5547923771990155,0.6577169590147742,0.2222222222222222,2.4444444444444446,2.888888888888889,2.9187901234567923,5428.0989455234285,0.014187068424356568
WST,0.75,0.7,WST,9,0.768480171015903,0.6618762040536774,0.2795068642851785,0.7777777777777778,0.33333333333333337,5,5.725308641975308,5389.330308905475,0.007846829880728186
WST,0.75,0.7,SST,9,0.7485738294040551,0.751594332608093,0.30700299858118885,0.4444444444444444,0.7777777777777778,5,5.44646913580247,5400.233836309881,0.007595731324544888
WST,0.75,0.7,DC-SBM,9,0.8103311936335931,0.8229382808046359,0.3295377037843138,0.5555555555555556,1.4444444444444444,3.888888888888889,4.065086419753086,5417.39912096105,0.03145009416195856
WST,0.75,1.3,WST,9,0.8814228495593356,0.5497103992070888,0.2250242339226965,0.4444444444444444,0.7777777777777778,4.555555555555555,5.325975308641976,5295.706403278315,0.012617702448210926
WST,0.75,1.3,SST,9,0.8713483513391118,0.5050741079700195,0.21143083223211478,0.4444444444444444,0.6666666666666667,4.888888888888889,5.432617283950619,5284.284358084996,0.02259887005649717
WST,0.75,1.3,DC-SBM,9,0.8727596780172607,0.5899007774885495,0.2425917267014368,0.4444444444444444,0.8888888888888888,4.444444444444445,4.5527407407407425,5291.7117041474985,0.02674199623352166
WST,1.5,0.2,WST,9,0.8651246077503563,0.3648558678456598,0.15794466706085658,0.5555555555555556,0.4444444444444444,4.888888888888889,5.501037037037038,7612.911381780358,0.008537350910232257
WST,1.5,0.2,SST,9,0.8363771400481278,0.4539077850994933,0.198621454916493,0.7777777777777778,0.33333333333333337,5,5.113135802469136,7632.7731693965825,0.009855618330194594
WST,1.5,0.2,DC-SBM,9,0.8546818910053192,0.4392172437671316,0.18273179236801385,0.5555555555555556,0.6666666666666667,4.666666666666667,4.650296296296297,7613.2437031597165,0.01437539234149404
WST,1.5,0.7,WST,9,0.9450531074578592,0.151197872767181,0.07440515293012127,0.8888888888888888,0.11111111111111109,5.222222222222222,5.633382716049383,7764.3808468628185,0.006403013182674205
WST,1.5,0.7,SST,9,0.9494640692063465,0.14298239486839498,0.06585421656331741,0.8888888888888888,0.11111111111111109,5.222222222222222,5.314814814814816,7790.403015987439,0.012429378531073449
WST,1.5,0.7,DC-SBM,9,0.8506868749963291,0.3871661158356078,0.18109250466394372,0.5555555555555556,0.5555555555555556,4.777777777777778,4.802444444444443,7795.048553375623,0.009290646578782164
WST,1.5,1.3,WST,9,0.9573139596377059,0.11322658393394511,0.05947031117999815,0.8888888888888888,0.1111111111111111,5.222222222222222,5.5531604938271615,6906.407306748274,0.0054613935969868195
WST,1.5,1.3,SST,9,0.9678319616356011,0.17395352473065911,0.0843550530644538,0.8888888888888888,0.11111111111111109,5.222222222222222,5.517432098765431,6916.838892141018,0.01858129315756435
WST,1.5,1.3,DC-SBM,9,0.9351732587546723,0.16102517705200176,0.07717180104883159,0.8888888888888888,0.2222222222222222,5.111111111111111,5.114716049382715,6903.182371501824,0.006214689265536722
WST,3,0.2,WST,9,0.966462107397901,0.31073107617493184,0.18235636648213163,0.6666666666666666,0.4444444444444444,4.888888888888889,5.056074074074074,9987.796253761479,0.003892027620841181
WST,3,0.2,SST,9,0.9709245022669032,0.29462546304309195,0.17698782877151836,0.6666666666666666,0.4444444444444444,4.888888888888889,4.952370370370371,10002.746032764146,0.004582548650345259
WST,3,0.2,DC-SBM,9,0.950921853611096,0.3369918344478652,0.19110995257310942,0.5555555555555556,0.5555555555555556,4.777777777777778,4.783308641975309,10001.157021977922,0.00251098556183302
WST,3,0.7,WST,9,0.9887917114194487,0.04269645601083649,0.026938464469291643,1,0,5.333333333333333,5.435728395061729,10102.578165723024,0.004645323289391082
WST,3,0.7,SST,9,0.9757733486813245,0.08784378280287615,0.05542325623660329,0.8888888888888888,0.1111111111111111,5.444444444444445,5.397061728395062,10163.192417657385,0.010483364720652859
WST,3,0.7,DC-SBM,9,0.9887917114194487,0.04269645601083649,0.026938464469291643,1,0,5.333333333333333,5.333333333333333,10100.477364878185,0.004394224733207785
WST,3,1.3,WST,9,0.9958655812604641,0.015722638880876147,0.0052408796269587605,1,0,5.333333333333333,5.4140987654320964,9592.107925209175,0.001443816698053987
WST,3,1.3,SST,9,0.9958655812604641,0.015722638880876147,0.0052408796269587605,1,0,5.333333333333333,5.357506172839504,9611.372410256858,0.0026993094789704956
WST,3,1.3,DC-SBM,9,1,0.05185185185185193,0.01728395061728402,0.7777777777777778,0.2222222222222222,5.111111111111111,5.111111111111111,9601.564759905292,0
WST,6,0.2,WST,9,0.9952461526065587,0.018614756538562816,0.008016939275402452,1,0,5.333333333333333,5.421506172839505,12409.8792099163,0.0019460138104205912
WST,6,0.2,SST,9,0.9952461526065587,0.018614756538562816,0.008016939275402452,1,0,5.333333333333333,5.32693827160494,12563.709690909134,0.0062146892655367235
WST,6,0.2,DC-SBM,9,0.9787134249738427,0.055555555555555705,0.01851851851851861,0.8888888888888888,0.2222222222222222,5.111111111111111,5.111111111111111,12464.974869206122,0
WST,6,0.7,WST,9,1,1.4802973661668765e-16,9.339636524481451e-17,1,0,5.333333333333333,5.349135802469135,13293.602174433556,0.0019460138104205888
WST,6,0.7,SST,9,0.9128340099459535,0.12945138696194286,0.06519464159754576,0.7777777777777778,0.33333333333333337,5,5.00995061728395,13503.575727798112,0.01801632140615191
WST,6,0.7,DC-SBM,9,1,1.4802973661668765e-16,9.339636524481451e-17,1,0,5.333333333333333,5.333333333333333,13282.792219334866,9.416195856873823e-4
WST,6,1.3,WST,9,1,1.4802973661668765e-16,9.339636524481451e-17,1,0,5.333333333333333,5.354320987654322,11997.829882692311,9.416195856873821e-4
WST,6,1.3,SST,9,1,1.4802973661668765e-16,9.339636524481451e-17,1,0,5.333333333333333,5.338987654320986,12057.334305274468,0.0091023226616447
WST,6,1.3,DC-SBM,9,0.9846508343553723,0.025925925925926036,0.008641975308642058,0.8888888888888888,0.1111111111111111,5.222222222222222,5.222222222222222,12020.251460704789,0
SST,0.75,0.2,WST,10,0.8345576018868889,0.935697994435763,0.3922299024338626,0.4,1.3,3.8,4.95811111111111,5665.9722629488315,0.007514124293785309
SST,0.75,0.2,SST,10,0.8658667440403055,0.9469089783163149,0.3952675182035052,0.5,1.4,3.7,4.651955555555557,5660.879642181662,0.008135593220338987
SST,0.75,0.2,DC-SBM,10,0.7850393742456624,1.2647162024674516,0.5245980986704802,0.2,2.3,2.8,3.007311111111111,5685.618426692815,0.027796610169491528
SST,0.75,0.7,WST,10,0.8094046251082596,1.1817909633150536,0.5610048661463551,0.1,2,3.9,4.929088888888888,5553.442476395647,0.0074011299435028256
SST,0.75,0.7,SST,10,0.8191946559696147,1.1775023971933618,0.5540885409018125,0.2,2.1,3.6,4.6039111111111115,5555.171552382238,0.007005649717514128
SST,0.75,0.7,DC-SBM,10,0.7690917357775907,1.4874736769777221,0.687983946054411,0,2.6,2.5,2.553422222222221,5612.866685639591,0.02361581920903955
SST,0.75,1.3,WST,10,0.7823302329250844,0.5863267434388262,0.24468323465860878,0.8,0.2,4.9,5.567022222222223,5517.687285545407,0.013954802259886998
SST,0.75,1.3,SST,10,0.7925739915838433,0.6286817819781793,0.26305641539612373,0.7,0.4000000000000001,4.7,5.274600000000001,5513.5412640306,0.017175141242937852
SST,0.75,1.3,DC-SBM,10,0.8343425084571975,0.8082234996765453,0.31296795461213617,0.6,1.2,3.9,3.790333333333334,5556.503100405019,0.031129943502824872
SST,1.5,0.2,WST,10,0.9353245590118332,0.2856782356740397,0.1313178339237021,0.6,0.4,4.7,5.192488888888888,7889.574833651644,0.009039548022598874
SST,1.5,0.2,SST,10,0.9111019482006114,0.3344467772221064,0.14757401443972434,0.5,0.5,4.6,4.968755555555555,7884.382190219267,0.0068926553672316445
SST,1.5,0.2,DC-SBM,10,0.8661269275766041,0.49217506190936094,0.20158431604282023,0.4,1,4.1,4.108111111111111,7919.289715462236,0.006836158192090403
SST,1.5,0.7,WST,10,0.864619683168306,0.42698514841337165,0.17511583762578753,0.6,0.6,4.5,5.353666666666668,7468.544865684096,0.011355932203389828
SST,1.5,0.7,SST,10,0.8719206122091444,0.40574420854971427,0.16743425268961237,0.6,0.6,4.5,5.119488888888887,7464.915481781272,0.009943502824858766
SST,1.5,0.7,DC-SBM,10,0.8139888505182462,0.6579362856927935,0.2536932067549024,0.4,1.3,3.8,3.830955555555556,7511.935074663729,0.01836158192090396
SST,1.5,1.3,WST,10,0.9036141494506357,0.2351320154799522,0.11846360594164555,0.8,0.3,4.8,5.359333333333334,7263.32047014588,0.007570621468926548
SST,1.5,1.3,SST,10,0.8825772643111431,0.24243092398720587,0.11901125540884057,0.7,0.3,4.8,5.112444444444446,7252.158231519469,0.0088135593220339
SST,1.5,1.3,DC-SBM,10,0.8677709773984014,0.3400106785416786,0.15844074891160578,0.5,0.6,4.5,4.513822222222222,7292.283202784073,0.013276836158192092
SST,3,0.2,WST,10,1,0.06666666666666683,0.0420619835714306,0.9,0.1,5,5.29351111111111,10008.211970344504,0.003220338983050847
SST,3,0.2,SST,10,1,0.06666666666666683,0.0420619835714306,0.9,0.1,5,5.179688888888888,10003.116319238823,0.002711864406779661
SST,3,0.2,DC-SBM,10,0.9497587765824841,0.16809270573195623,0.0758706632598604,0.6,0.5,4.6,4.622066666666667,10069.391215624331,0.003276836158192094
SST,3,0.7,WST,10,0.9734234777968602,0.1027804911374059,0.05054924465069992,1,0,5.1,5.2860000000000005,9653.928651798295,0.003841807909604521
SST,3,0.7,SST,10,0.9677964141000022,0.11149776553493199,0.05932378613584649,1,0,5.1,5.205155555555556,9646.846042453932,0.004689265536723164
SST,3,0.7,DC-SBM,10,0.935737865242586,0.17912086007288208,0.07972630744544414,0.8,0.2,4.9,4.901177777777778,9673.531873068801,0.005480225988700566
SST,3,1.3,WST,9,0.931753767096559,0.19592875209521576,0.10875267445973127,0.7777777777777778,0.2222222222222222,5.111111111111111,5.340617283950618,9930.540208832645,0.004582548650345261
SST,3,1.3,SST,9,0.9392314416985843,0.22553608935868621,0.12275382341563429,0.8888888888888888,0.11111111111111109,5.222222222222222,5.280814814814816,9919.645516979266,0.0032642812303829267
SST,3,1.3,DC-SBM,9,0.9329301294366915,0.20921794996102466,0.11713722479436844,0.7777777777777778,0.2222222222222222,5.111111111111111,5.1458765432098765,9930.992438003526,0.001946013810420591
SST,6,0.2,WST,9,0.9668397614470823,0.07406880771009842,0.03849216955694594,0.8888888888888888,0.1111111111111111,5.222222222222222,5.246617283950617,13232.775959223456,0.001694915254237289
SST,6,0.2,SST,9,0.9668397614470823,0.07406880771009842,0.03849216955694594,0.8888888888888888,0.1111111111111111,5.222222222222222,5.228469135802468,13223.88345895641,0.0013810420590081645
SST,6,0.2,DC-SBM,9,0.9668397614470823,0.07406880771009842,0.03849216955694594,0.8888888888888888,0.1111111111111111,5.222222222222222,5.222222222222222,13259.445744035056,0.0010671688637790334
SST,6,0.7,WST,9,0.9887917114194487,0.04269645601083649,0.026938464469291643,1,0,5.333333333333333,5.364469135802469,12855.768178862134,0.0010043942247332067
SST,6,0.7,SST,9,0.9887917114194487,0.04269645601083649,0.026938464469291643,1,0,5.333333333333333,5.340098765432098,12849.862454346045,5.021971123666045e-4
SST,6,0.7,DC-SBM,9,0.9383077350689834,0.14356989869179437,0.06683656086414898,0.8888888888888888,0.22222222222222215,5.111111111111111,5.111111111111111,12925.0581244355,0
SST,6,1.3,WST,9,0.9952461526065587,0.018614756538562816,0.008016939275402452,1,0,5.333333333333333,5.344666666666668,13134.985894671467,3.766478342749534e-4
SST,6,1.3,SST,9,0.9952461526065587,0.018614756538562816,0.008016939275402452,1,0,5.333333333333333,5.3365432098765435,13127.4022915974,6.277463904582446e-5
SST,6,1.3,DC-SBM,9,0.9693016687107444,0.05185185185185193,0.01728395061728402,0.7777777777777778,0.2222222222222222,5.111111111111111,5.111111111111111,13203.3783465955,0
