metric,gen_model,fit_model,frac_wins,n_scenarios,win_rate
ARI,WST,WST,37.999999999999986,108,0.3518518518518517
ARI,WST,SST,35.999999999999986,108,0.3333333333333332
ARI,WST,DC-SBM,33.99999999999997,108,0.31481481481481455
ARI,SST,WST,41.00000000000001,116,0.353448275862069
ARI,SST,SST,40.50000000000001,116,0.3491379310344828
ARI,SST,DC-SBM,34.5,116,0.2974137931034483
LOOIC,WST,WST,23,108,0.21296296296296297
LOOIC,WST,SST,10,108,0.09259259259259259
LOOIC,WST,DC-SBM,75,108,0.6944444444444444
LOOIC,SST,WST,14,116,0.1206896551724138
LOOIC,SST,SST,51,116,0.4396551724137931
LOOIC,SST,DC-SBM,51,116,0.4396551724137931
VI,WST,WST,40.50000000000001,108,0.37500000000000006
VI,WST,SST,34.49999999999998,108,0.31944444444444425
VI,WST,DC-SBM,32.99999999999997,108,0.3055555555555553
VI,SST,WST,43.666666666666686,116,0.3764367816091956
VI,SST,SST,42.66666666666668,116,0.3678160919540231
VI,SST,DC-SBM,29.66666666666664,116,0.2557471264367814
