Gen.,kappa,psi,vi_fmt_WST,vi_fmt_SST,vi_fmt_DC,pr_fmt_WST,pr_fmt_SST,pr_fmt_DC,part_fmt_WST,part_fmt_SST,part_fmt_DC
SST,0.75,0.2,\textbf{0.392},0.395,0.525,0.40,\textbf{0.50},0.20,"\textbf{0.459$_{[0.431,0.490]}$}","0.464$_{[0.436,0.495]}$","0.481$_{[0.458,0.509]}$"
SST,0.75,1.3,\textbf{0.245},0.263,0.313,\textbf{0.80},0.70,0.60,"0.334$_{[0.322,0.354]}$","\textbf{0.330$_{[0.319,0.344]}$}","0.334$_{[0.324,0.348]}$"
SST,1.50,0.2,\textbf{0.131},0.148,0.202,\textbf{0.60},0.50,0.40,"\textbf{0.443$_{[0.434,0.457]}$}","0.447$_{[0.439,0.457]}$","0.459$_{[0.453,0.464]}$"
SST,1.50,1.3,\textbf{0.118},0.119,0.158,\textbf{0.80},0.70,0.50,"0.323$_{[0.311,0.336]}$","\textbf{0.321$_{[0.316,0.328]}$}","0.333$_{[0.331,0.339]}$"
SST,3.00,0.2,\textbf{0.042},\textbf{0.042},0.076,\textbf{0.90},\textbf{0.90},0.60,"\textbf{0.452$_{[0.448,0.462]}$}","0.455$_{[0.450,0.463]}$","0.474$_{[0.469,0.475]}$"
SST,3.00,1.3,\textbf{0.109},0.123,0.117,0.78,\textbf{0.89},0.78,"0.324$_{[0.321,0.330]}$","\textbf{0.324$_{[0.321,0.326]}$}","0.326$_{[0.325,0.329]}$"
WST,0.75,0.2,0.589,\textbf{0.573},0.658,0.11,0.11,\textbf{0.22},"\textbf{0.418$_{[0.387,0.452]}$}","0.422$_{[0.388,0.459]}$","0.453$_{[0.433,0.473]}$"
WST,0.75,1.3,0.225,\textbf{0.211},0.243,\textbf{0.44},\textbf{0.44},\textbf{0.44},"0.216$_{[0.207,0.235]}$","\textbf{0.212$_{[0.206,0.220]}$}","0.236$_{[0.216,0.254]}$"
WST,1.50,0.2,\textbf{0.158},0.199,0.183,0.56,\textbf{0.78},0.56,"\textbf{0.415$_{[0.407,0.428]}$}","0.429$_{[0.417,0.442]}$","0.440$_{[0.434,0.444]}$"
WST,1.50,1.3,\textbf{0.059},0.084,0.077,\textbf{0.89},\textbf{0.89},\textbf{0.89},"0.218$_{[0.215,0.227]}$","\textbf{0.210$_{[0.208,0.219]}$}","0.224$_{[0.217,0.229]}$"
WST,3.00,0.2,0.182,\textbf{0.177},0.191,\textbf{0.67},\textbf{0.67},0.56,"\textbf{0.428$_{[0.419,0.445]}$}","0.439$_{[0.429,0.454]}$","0.456$_{[0.454,0.457]}$"
WST,3.00,1.3,\textbf{0.005},\textbf{0.005},0.017,\textbf{1.00},\textbf{1.00},0.78,"0.226$_{[0.225,0.230]}$","\textbf{0.226$_{[0.226,0.226]}$}","0.230$_{[0.230,0.230]}$"
