gen_model,K_true,hierch,psi_mean,kappa_mean,n_reps,looic_WST,looic_SST,looic_DC,elpd_WST,elpd_SST,elpd_DC,pk_bad_WST,pk_bad_SST,pk_bad_DC,win_rate_WST,win_rate_SST,win_rate_DC,best_mean_looic,best_mean_model,ordered_best_model,ordered_best_looic,dloo_WST_minus_SST,dloo_WST_minus_DC,dloo_SST_minus_DC,dloo_ordered_best_minus_DC,correct_model,correct_looic,dloo_correct_minus_best,correct_is_best,ordered_beats_DC,WST_beats_SST,SST_beats_WST
WST,3,medium,0.7,1.5,3,8069.47848333154,8072.099819281947,8074.733567138916,-4034.73924166577,-4036.049909640973,-4037.36678356946,0.00282485875706215,0.012429378531073447,0.003954802259887004,0.3333333333333333,0.3333333333333333,0.3333333333333333,8069.47848333154,WST,WST,8069.47848333154,-2.6213359504072287,-5.25508380737665,-2.6337478569694213,-5.25508380737665,WST,8069.47848333154,0,TRUE,TRUE,TRUE,FALSE
WST,5,medium,0.7,0.75,3,5463.979084323103,5482.81092035854,5468.535013892953,-2731.9895421615565,-2741.40546017927,-2734.26750694648,0.0032015065913371,0.003954802259887007,0.03804143126177022,0.3333333333333333,0,0.6666666666666666,5463.979084323103,WST,WST,5463.979084323103,-18.831836035436936,-4.5559295698503774,14.275906465586559,-4.5559295698503774,WST,5463.979084323103,0,TRUE,TRUE,TRUE,FALSE
WST,5,strong,1.3,0.75,3,4753.15763050653,4754.03723336733,4765.695756584297,-2376.578815253267,-2377.0186166836666,-2382.8478782921466,0.008097928436911492,0.0167608286252354,0.03992467043314503,0,0.3333333333333333,0.6666666666666666,4753.15763050653,WST,WST,4753.15763050653,-0.8796028608003326,-12.53812607776672,-11.658523216966387,-12.53812607776672,WST,4753.15763050653,0,TRUE,TRUE,TRUE,FALSE
WST,8,medium,0.7,0.75,3,5144.165420202216,5157.709432940017,5232.667142964883,-2572.082710101107,-2578.85471647001,-2616.3335714824434,0.014312617702448212,0.01186440677966103,0.0265536723163842,1,0,0,5144.165420202216,WST,WST,5144.165420202216,-13.544012737800585,-88.50172276266676,-74.95771002486617,-88.50172276266676,WST,5144.165420202216,0,TRUE,TRUE,TRUE,FALSE
WST,8,medium,0.7,1.5,3,7458.2042504881765,7518.938004490523,7549.280514066253,-3729.1021252440864,-3759.46900224526,-3774.6402570331265,0.004896421845574403,0.0062146892655367235,0.0062146892655367235,0.6666666666666666,0,0.3333333333333333,7458.2042504881765,WST,WST,7458.2042504881765,-60.73375400234636,-91.07626357807658,-30.34250957573022,-91.07626357807658,WST,7458.2042504881765,0,TRUE,TRUE,TRUE,FALSE
WST,8,strong,1.3,3,3,9768.97558307933,9803.027158614153,9805.639574327966,-4884.487791539666,-4901.513579307073,-4902.819787163987,9.416195856873801e-4,0.0016949152542372866,0,0.6666666666666666,0,0.3333333333333333,9768.97558307933,WST,WST,9768.97558307933,-34.051575534824224,-36.6639912486371,-2.6124157138128794,-36.6639912486371,WST,9768.97558307933,0,TRUE,TRUE,TRUE,FALSE
WST,8,strong,1.3,6,3,12120.320435291467,12234.406960636767,12193.313446791999,-6060.16021764574,-6117.203480318393,-6096.6567233959995,5.649717514124299e-4,0,0,0.3333333333333333,0,0.6666666666666666,12120.320435291467,WST,WST,12120.320435291467,-114.08652534529938,-72.9930115005318,41.093513844767585,-72.9930115005318,WST,12120.320435291467,0,TRUE,TRUE,TRUE,FALSE
WST,8,weak,0.2,1.5,3,7779.809824518747,7821.539062353117,7798.71737717621,-3889.904912259377,-3910.76953117656,-3899.3586885881064,0.010169491525423704,0.011676082862523529,0.011487758945386077,1,0,0,7779.809824518747,WST,WST,7779.809824518747,-41.72923783437,-18.907552657463384,22.821685176906612,-18.907552657463384,WST,7779.809824518747,0,TRUE,TRUE,TRUE,FALSE
WST,8,weak,0.2,3,3,9830.321866707924,9834.57563437755,9876.729027415096,-4915.160933353964,-4917.287817188773,-4938.364513707546,0.0024482109227871936,0.00263653483992467,0.0024482109227871936,0.6666666666666666,0.3333333333333333,0,9830.321866707924,WST,WST,9830.321866707924,-4.253767669626541,-46.40716070717281,-42.153393037546266,-46.40716070717281,WST,9830.321866707924,0,TRUE,TRUE,TRUE,FALSE
WST,8,weak,0.2,6,3,13076.2124852679,13156.8246458284,13254.5922002942,-6538.10624263396,-6578.412322914193,-6627.296100147107,0,0,0,1,0,0,13076.2124852679,WST,WST,13076.2124852679,-80.61216056049852,-178.3797150262999,-97.76755446580137,-178.3797150262999,WST,13076.2124852679,0,TRUE,TRUE,TRUE,FALSE
