gen_model,K_true,hierch,psi_mean,kappa_mean,rep_id,looic__WST,looic__SST,looic__DC-SBM,elpd__WST,elpd__SST,elpd__DC-SBM,pk_bad__WST,pk_bad__SST,pk_bad__DC-SBM,best_rep_looic,win_WST,win_SST,win_DC,split,win_credit_WST,win_credit_SST,win_credit_DC,dloo_WST_vs_SST,dloo_WST_vs_DC,dloo_SST_vs_DC,ordered_best_rep,dloo_ordered_best_vs_DC
SST,3,weak,0.2,0.75,1,5532.19487312339,5531.45442279531,5542.26924711048,-2766.0974365617,-2765.72721139766,-2771.13462355524,0.00508474576271186,0.00169491525423729,0.0395480225988701,5531.45442279531,FALSE,TRUE,FALSE,1,0,1,0,0.7404503280795325,-10.07437398709044,-10.814824315169972,5531.45442279531,-10.814824315169972
SST,3,medium,0.7,0.75,1,5886.82673363895,5882.90974705004,5877.70123895562,-2943.41336681948,-2941.45487352502,-2938.85061947781,0.00225988700564972,0.00282485875706215,0.0220338983050847,5877.70123895562,FALSE,FALSE,TRUE,1,0,0,1,3.916986588909822,9.125494683329634,5.2085080944198126,5882.90974705004,5.2085080944198126
SST,3,strong,1.3,0.75,1,6014.053817751,6009.65828656871,5972.63440990539,-3007.0269088755,-3004.82914328436,-2986.3172049527,0.0096045197740113,0.0129943502824859,0.0146892655367232,5972.63440990539,FALSE,FALSE,TRUE,1,0,0,1,4.395531182290142,41.419407845609385,37.02387666331924,6009.65828656871,37.02387666331924
SST,3,strong,1.3,1.5,1,7280.48971715719,7277.58406149663,7275.93200408231,-3640.2448585786,-3638.79203074832,-3637.96600204115,0.00225988700564972,0.00112994350282486,0,7275.93200408231,FALSE,FALSE,TRUE,1,0,0,1,2.9056556605601145,4.557713074879757,1.6520574143196427,7277.58406149663,1.6520574143196427
SST,3,medium,0.7,1.5,1,6769.80764558423,6768.93334422947,6757.44009871268,-3384.90382279211,-3384.46667211473,-3378.72004935634,0.00847457627118644,0.0192090395480226,0.0129943502824859,6757.44009871268,FALSE,FALSE,TRUE,1,0,0,1,0.874301354760064,12.367546871550076,11.493245516790012,6768.93334422947,11.493245516790012
SST,3,weak,0.2,1.5,1,8462.71343637728,8462.68385893026,8457.6065763813,-4231.35671818864,-4231.34192946513,-4228.80328819065,0.00282485875706215,0.0112994350282486,0.00847457627118644,8457.6065763813,FALSE,FALSE,TRUE,1,0,0,1,0.029577447019619285,5.106859995979903,5.077282548960284,8462.68385893026,5.077282548960284
SST,3,strong,1.3,3,1,9119.37945492936,9119.94498181489,9116.65844264755,-4559.68972746468,-4559.97249090744,-4558.32922132377,0.00225988700564972,0,0,9116.65844264755,FALSE,FALSE,TRUE,1,0,0,1,-0.5655268855298345,2.7210122818105447,3.286539167340379,9119.37945492936,2.7210122818105447
SST,3,medium,0.7,3,1,9893.32643924941,9891.99866635882,9890.8876702008,-4946.6632196247,-4945.99933317941,-4945.4438351004,0,0,0,9890.8876702008,FALSE,FALSE,TRUE,1,0,0,1,1.327772890588676,2.438769048609174,1.1109961580204981,9891.99866635882,1.1109961580204981
SST,3,weak,0.2,3,1,10073.6129028141,10077.4722795005,10072.9882933927,-5036.80645140705,-5038.73613975025,-5036.49414669634,0.00734463276836158,0.00112994350282486,0.00169491525423729,10072.9882933927,FALSE,FALSE,TRUE,1,0,0,1,-3.859376686399628,0.6246094214002369,4.483986107799865,10073.6129028141,0.6246094214002369
SST,5,medium,0.7,0.75,1,4316.58730039869,4318.71704888799,4384.66557187601,-2158.29365019935,-2159.35852444399,-2192.33278593801,0.00112994350282486,0.00225988700564972,0.0666666666666667,4316.58730039869,TRUE,FALSE,FALSE,1,1,0,0,-2.1297484893002547,-68.07827147732041,-65.94852298802016,4316.58730039869,-68.07827147732041
SST,3,weak,0.2,6,1,13766.3352034067,13763.6046096078,13763.14056473,-6883.16760170333,-6881.80230480392,-6881.57028236499,0,0,0,13763.14056473,FALSE,FALSE,TRUE,1,0,0,1,2.7305937988985534,3.194638676699469,0.46404487780091586,13763.6046096078,0.46404487780091586
SST,3,medium,0.7,6,1,12841.0282768141,12845.3286190888,12855.959725833,-6420.51413840707,-6422.66430954441,-6427.9798629165,0,0,0,12841.0282768141,TRUE,FALSE,FALSE,1,1,0,0,-4.300342274698778,-14.931449018899002,-10.631106744200224,12841.0282768141,-14.931449018899002
SST,3,strong,1.3,6,1,13517.2389168691,13515.5009607405,13514.0490547223,-6758.61945843455,-6757.75048037027,-6757.02452736115,0,0,0,13514.0490547223,FALSE,FALSE,TRUE,1,0,0,1,1.7379561285997625,3.189862146800806,1.4519060182010435,13515.5009607405,1.4519060182010435
SST,5,weak,0.2,0.75,1,5795.13089360672,5795.32730976512,5778.6432121846,-2897.56544680336,-2897.66365488256,-2889.3216060923,0.00395480225988701,0.0096045197740113,0.0389830508474576,5778.6432121846,FALSE,FALSE,TRUE,1,0,0,1,-0.19641615840009763,16.48768142211975,16.684097580519847,5795.13089360672,16.48768142211975
SST,5,strong,1.3,0.75,1,5438.95159548326,5445.17061216341,5456.14044217102,-2719.47579774163,-2722.58530608171,-2728.07022108551,5.6497175141242e-4,0,0.0327683615819209,5438.95159548326,TRUE,FALSE,FALSE,1,1,0,0,-6.219016680150162,-17.188846687760815,-10.969830007610653,5438.95159548326,-17.188846687760815
SST,5,medium,0.7,1.5,1,7372.05021014528,7370.94201963315,7370.59939517904,-3686.02510507264,-3685.47100981658,-3685.29969758952,0.00564971751412429,0.0112994350282486,0.00508474576271186,7370.59939517904,FALSE,FALSE,TRUE,1,0,0,1,1.1081905121300224,1.450814966240614,0.3426244541105916,7370.94201963315,0.3426244541105916
SST,8,weak,0.2,0.75,1,5131.29296887364,5131.7210092081,5161.59995551277,-2565.64648443682,-2565.86050460405,-2580.79997775638,0.00508474576271186,0.00395480225988701,0.011864406779661,5131.29296887364,TRUE,FALSE,FALSE,1,1,0,0,-0.4280403344600927,-30.30698663912972,-29.878946304669626,5131.29296887364,-30.30698663912972
SST,5,weak,0.2,1.5,1,8404.05515731059,8399.79219868478,8399.97276473785,-4202.0275786553,-4199.89609934239,-4199.98638236893,0.0378531073446328,0.0152542372881356,0.0129943502824859,8399.79219868478,FALSE,TRUE,FALSE,1,0,1,0,4.262958625809915,4.082392572739991,-0.18056605306992424,8399.79219868478,-0.18056605306992424
SST,5,strong,1.3,1.5,1,7554.2361484467,7541.6399799829,7849.97965173404,-3777.11807422335,-3770.81998999145,-3924.98982586702,0.00564971751412429,0.00338983050847458,0.0112994350282486,7541.6399799829,FALSE,TRUE,FALSE,1,0,1,0,12.596168463800495,-295.74350328734,-308.3396717511405,7541.6399799829,-308.3396717511405
