gen_model,K_true,hierch,psi_mean,kappa_mean,n_reps,best_mean_model,ordered_best_model,looic_WST,looic_SST,looic_DC,dloo_WST_minus_SST,dloo_ordered_best_minus_DC,win_rate_WST,win_rate_SST,win_rate_DC,correct_model,correct_is_best,ordered_beats_DC
WST,3,medium,0.7,0.75,3,DC-SBM,WST,5559.846422191107,5560.181155631087,5550.995206025314,-0.3347334399795727,8.85121616579363,0,0,1,WST,FALSE,FALSE
WST,3,medium,0.7,1.5,3,WST,WST,8069.47848333154,8072.099819281947,8074.733567138916,-2.6213359504072287,-5.25508380737665,0.3333333333333333,0.3333333333333333,0.3333333333333333,WST,TRUE,TRUE
WST,3,medium,0.7,3,3,DC-SBM,WST,9962.34262421446,10005.22068578851,9960.48843130209,-42.87806157405066,1.854192912369399,0,0,1,WST,FALSE,FALSE
WST,3,medium,0.7,6,3,DC-SBM,WST,13648.841703643933,13925.438998117033,13646.912896925234,-276.5972944731002,1.9288067186989792,0,0,1,WST,FALSE,FALSE
WST,3,strong,1.3,0.75,3,DC-SBM,SST,6063.899951062287,6063.314693204923,6051.31984933462,0.585257857364013,11.994843870303157,0,0,1,WST,FALSE,FALSE
WST,3,strong,1.3,1.5,3,DC-SBM,WST,6518.978142973643,6556.40702872774,6510.834189651489,-37.42888575409688,8.14395332215372,0,0,1,WST,FALSE,FALSE
WST,3,strong,1.3,3,3,DC-SBM,WST,9385.257066196697,9392.530701563877,9381.211984960313,-7.273635367180759,4.045081236383339,0,0,1,WST,FALSE,FALSE
WST,3,strong,1.3,6,3,DC-SBM,WST,11154.498047872767,11187.477211849133,11152.1538565485,-32.97916397636618,2.344191324265921,0,0,1,WST,FALSE,FALSE
WST,3,weak,0.2,0.75,3,DC-SBM,WST,5730.3845437305135,5734.37438727334,5727.051203697516,-3.9898435428267476,3.333340032997512,0.3333333333333333,0,0.6666666666666666,WST,FALSE,FALSE
WST,3,weak,0.2,1.5,3,DC-SBM,SST,7195.6392079508,7189.002211376353,7181.178639065267,6.63699657444613,7.8235723110865365,0,0.3333333333333333,0.6666666666666666,WST,FALSE,FALSE
