Gen,$K^\star$,Density,Hierarchy,Model,ELPD (SE),$\Delta$ELPD (SE),$|\Delta|/SE$,LOOIC,PSIS $k>0.7$,ELPD winner
SST,4,dense,strong,WST,-5785.9,-3.4,--,11571.8,0.00,
SST,4,dense,strong,DC-SBM,-5782.9,-0.4,--,11565.9,0.00,
SST,4,dense,strong,SST,-5782.5,0.0,--,11565.0,0.00,\checkmark
SST,4,dense,weak,DC-SBM,-5546.8,-26.0,--,11093.6,0.00,
SST,4,dense,weak,SST,-5521.9,-1.2,--,11043.8,0.01,
SST,4,dense,weak,WST,-5520.8,0.0,--,11041.5,0.02,\checkmark
SST,4,sparse,strong,SST,-2858.2,-5.0,--,5716.4,0.01,
SST,4,sparse,strong,DC-SBM,-2855.7,-2.5,--,5711.4,0.02,
SST,4,sparse,strong,WST,-2853.2,0.0,--,5706.5,0.01,\checkmark
SST,4,sparse,weak,SST,-2867.8,-1.2,--,5735.7,0.00,
SST,4,sparse,weak,WST,-2867.0,-0.4,--,5733.9,0.01,
SST,4,sparse,weak,DC-SBM,-2866.6,0.0,--,5733.2,0.00,\checkmark
SST,8,dense,strong,SST,-4764.4,-10.8,--,9528.8,0.03,
SST,8,dense,strong,WST,-4755.2,-1.6,--,9510.4,0.02,
SST,8,dense,strong,DC-SBM,-4753.6,0.0,--,9507.2,0.02,\checkmark
SST,8,dense,weak,SST,-4850.8,-26.3,--,9701.7,0.01,
SST,8,dense,weak,DC-SBM,-4831.2,-6.7,--,9662.4,0.02,
SST,8,dense,weak,WST,-4824.5,0.0,--,9649.0,0.02,\checkmark
SST,8,sparse,strong,SST,-2460.5,-40.1,--,4921.1,0.01,
SST,8,sparse,strong,WST,-2458.0,-37.6,--,4916.1,0.01,
SST,8,sparse,strong,DC-SBM,-2420.4,0.0,--,4840.9,0.03,\checkmark
SST,8,sparse,weak,SST,-2530.4,-39.0,--,5060.7,0.00,
SST,8,sparse,weak,WST,-2528.8,-37.3,--,5057.5,0.01,
SST,8,sparse,weak,DC-SBM,-2491.4,0.0,--,4982.8,0.00,\checkmark
WST,4,dense,strong,DC-SBM,-6413.6,-13.0,--,12827.1,0.00,
WST,4,dense,strong,SST,-6406.2,-5.7,--,12812.4,0.00,
WST,4,dense,strong,WST,-6400.5,0.0,--,12801.1,0.00,\checkmark
WST,4,dense,weak,DC-SBM,-6503.5,-10.4,--,13007.0,0.00,
WST,4,dense,weak,SST,-6493.1,-0.0,--,12986.3,0.00,
WST,4,dense,weak,WST,-6493.1,0.0,--,12986.2,0.00,\checkmark
WST,4,sparse,strong,WST,-3639.3,-2.1,--,7278.6,0.01,
WST,4,sparse,strong,SST,-3638.6,-1.4,--,7277.2,0.03,
WST,4,sparse,strong,DC-SBM,-3637.2,0.0,--,7274.5,0.00,\checkmark
WST,4,sparse,weak,DC-SBM,-3717.4,-28.6,--,7434.8,0.00,
WST,4,sparse,weak,WST,-3689.2,-0.4,--,7378.3,0.01,
WST,4,sparse,weak,SST,-3688.8,0.0,--,7377.6,0.01,\checkmark
WST,8,dense,strong,DC-SBM,-4670.0,-58.8,--,9340.0,0.01,
WST,8,dense,strong,SST,-4623.9,-12.7,--,9247.7,0.00,
WST,8,dense,strong,WST,-4611.2,0.0,--,9222.3,0.00,\checkmark
WST,8,dense,weak,DC-SBM,-4913.1,-86.0,--,9826.2,0.01,
WST,8,dense,weak,SST,-4830.4,-3.4,--,9660.9,0.02,
WST,8,dense,weak,WST,-4827.1,0.0,--,9654.1,0.03,\checkmark
WST,8,sparse,strong,WST,-2319.1,-13.2,--,4638.2,0.01,
WST,8,sparse,strong,SST,-2310.1,-4.2,--,4620.3,0.01,
WST,8,sparse,strong,DC-SBM,-2305.9,0.0,--,4611.8,0.01,\checkmark
WST,8,sparse,weak,SST,-2379.5,-3.7,--,4758.9,0.00,
WST,8,sparse,weak,WST,-2378.0,-2.2,--,4756.0,0.00,
WST,8,sparse,weak,DC-SBM,-2375.8,0.0,--,4751.6,0.00,\checkmark
