gen_model,kappa_mean,psi_mean,fit_model_clean,mean_vi,pr_KeqKstar,viol_partition_mean,viol_partition_lo,viol_partition_hi
SST,0.75,0.2,WST,0.5545301282152166,0,0.42961157263748595,0.36411680503544797,0.5106397182789645
SST,0.75,0.2,SST,0.5545301282152166,0,0.433125829334404,0.37037956537424155,0.5104785137373035
SST,0.75,0.2,DC,0.5927578589457266,0,0.5584353255687675,0.552777777777778,0.5656976744186045
SST,0.75,1.3,WST,0.41795885630722046,0,0.3375369301862985,0.2974000119939485,0.39018820444159996
SST,0.75,1.3,SST,0.43172351337526305,0,0.3266565251897705,0.2878209067499925,0.37650286390809495
SST,0.75,1.3,DC,0.5107944691814683,0,0.3368350639512815,0.318438438649017,0.36341324295388855
SST,3,0.2,WST,0.421080306730353,0,0.45904261932201,0.44911161102166897,0.471364541075595
SST,3,0.2,SST,0.3804184333123635,0,0.459975720841043,0.445042882745244,0.4726123629876155
SST,3,0.2,DC,0.4808280991296766,0,0.479419313945132,0.473543893305829,0.484198758268068
SST,3,1.3,WST,0.08674805761796933,0.5,0.3315732242304295,0.32872344984504753,0.3370574888881905
SST,3,1.3,SST,0.09230361317352483,0.5,0.33085028239668945,0.3288434534725385,0.33369580302942947
SST,3,1.3,DC,0.0931082176904115,0.5,0.3332142804753455,0.32997823908325896,0.335817362052041
WST,0.75,0.2,WST,0.45571180439970543,0,0.43108232176175,0.39620453637429953,0.48144870668692896
WST,0.75,0.2,SST,0.4430343780370817,0.5,0.42914676265970253,0.3874510836992095,0.48525760780622906
WST,0.75,0.2,DC,0.6072279147390617,0,NA,NA,NA
WST,0.75,1.3,WST,0.3344184270646489,0.5,0.2411569077872165,0.2032806213384355,0.3115030872558835
WST,0.75,1.3,SST,0.3243916479689922,0.5,0.21391856715983049,0.20185050731009851,0.237984535843752
WST,0.75,1.3,DC,0.3521617916459557,0,0.209306064940086,0.2026438569206845,0.220950704225352
WST,3,0.2,WST,0.19119779840653378,0,0.4460847311412405,0.440590075835893,0.4590691952936615
WST,3,0.2,SST,0.14356424201270315,0.5,0.44585209418261995,0.44056176036772,0.452571696085899
WST,3,0.2,DC,0.4217516606752,0,0.43962732972197005,0.41844462256478154,0.4518393052918175
WST,3,1.3,WST,0.01320802083934295,0.5,0.2588858217727315,0.258674677587296,0.261901327256737
WST,3,1.3,SST,0.037688323595751166,0.5,0.258775725211542,0.2583470446328135,0.2594242824475635
WST,3,1.3,DC,0.07242840895420823,0,0.2638508644333615,0.26358260270673,0.26437102752987696
