Gen,$K^\star$,Density,Hierarchy,Rep,Model,$\hat K$,$E[K\mid y]$,ARI,VI,NVI,OCRP tries,true block sizes
SST,4,kappa_5,verystrong,1,DC-SBM,4,4.00,1.000,0.000,0.000,--,10;10;10;10
SST,4,kappa_5,verystrong,1,SST,4,4.00,1.000,0.000,0.000,--,10;10;10;10
SST,4,kappa_5,verystrong,1,WST,4,4.06,1.000,0.000,0.000,--,10;10;10;10
SST,4,kappa_5,verystrong,2,DC-SBM,4,4.00,1.000,0.000,0.000,--,10;10;10;10
SST,4,kappa_5,verystrong,2,SST,4,4.00,1.000,0.000,0.000,--,10;10;10;10
SST,4,kappa_5,verystrong,2,WST,4,4.00,1.000,0.000,0.000,--,10;10;10;10
WST,4,kappa_5,verystrong,1,DC-SBM,4,4.00,1.000,0.000,0.000,--,10;10;10;10
WST,4,kappa_5,verystrong,1,SST,4,4.00,1.000,0.000,0.000,--,10;10;10;10
WST,4,kappa_5,verystrong,1,WST,4,4.00,1.000,0.000,0.000,--,10;10;10;10
WST,4,kappa_5,verystrong,2,DC-SBM,4,4.00,1.000,0.000,0.000,--,10;10;10;10
WST,4,kappa_5,verystrong,2,SST,4,4.87,1.000,0.000,0.000,--,10;10;10;10
WST,4,kappa_5,verystrong,2,WST,4,4.32,1.000,0.000,0.000,--,10;10;10;10
