Gen,$K^\star$,Density,Hierarchy,Rep,Model,ELPD (SE),$\Delta$ELPD (SE),$|\Delta|>2SE$,LOOIC,PSIS $k>0.7$,ELPD winner
SST,4,kappa_5,strong,1,WST,-3695.6 (36.1),-3.4 (1.9),,7391.3,0.00,
SST,4,kappa_5,strong,1,SST,-3692.4 (36.2),-0.2 (2.1),,7384.9,0.00,
SST,4,kappa_5,strong,1,DC-SBM,-3692.3 (36.3),0.0 (0.0),,7384.5,0.00,\checkmark
SST,4,kappa_5,strong,2,WST,-3708.5 (37.0),-3.0 (2.1),,7417.0,0.00,
SST,4,kappa_5,strong,2,SST,-3705.8 (37.6),-0.2 (2.1),,7411.5,0.00,
SST,4,kappa_5,strong,2,DC-SBM,-3705.5 (37.6),0.0 (0.0),,7411.1,0.00,\checkmark
SST,4,kappa_5,strong,3,WST,-3419.1 (48.1),-5.3 (2.5),\checkmark,6838.2,0.00,
SST,4,kappa_5,strong,3,DC-SBM,-3415.7 (48.5),-2.0 (1.5),,6831.5,0.00,
SST,4,kappa_5,strong,3,SST,-3413.8 (48.5),0.0 (0.0),,6827.6,0.00,\checkmark
WST,4,kappa_5,strong,1,SST,-3751.7 (49.7),-370.7 (28.6),\checkmark,7503.4,0.00,
WST,4,kappa_5,strong,1,WST,-3387.4 (37.5),-6.4 (3.1),\checkmark,6774.8,0.00,
WST,4,kappa_5,strong,1,DC-SBM,-3381.0 (38.4),0.0 (0.0),,6761.9,0.00,\checkmark
WST,4,kappa_5,strong,2,SST,-3193.4 (43.6),-92.2 (14.1),\checkmark,6386.8,0.00,
WST,4,kappa_5,strong,2,WST,-3106.7 (40.8),-5.5 (3.1),,6213.5,0.00,
WST,4,kappa_5,strong,2,DC-SBM,-3101.2 (41.3),0.0 (0.0),,6202.4,0.00,\checkmark
WST,4,kappa_5,strong,3,SST,-3068.0 (40.5),-60.3 (10.7),\checkmark,6135.9,0.00,
WST,4,kappa_5,strong,3,WST,-3013.6 (39.4),-5.9 (3.4),,6027.1,0.00,
WST,4,kappa_5,strong,3,DC-SBM,-3007.6 (40.0),0.0 (0.0),,6015.2,0.00,\checkmark
