source_file,gen_model,K_true,density,hierch,rep_id,scenario_id,theta_ocrp,dgp_partition,comparison,favoured_model,dyad_id,i,j,zi_true,zj_true,block_pair,block_distance,Aij,Aji,Nij,total_edges,net_edges,observed_share_ij,pointwise_delta
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,SST,635,5,37,4,1,1-4,3,0,2,2,2,-2,0,1.4885672203271
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,DC,1996,43,64,1,4,1-4,3,1,1,2,2,0,0.5,-1.11099490812845
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,DC,1280,5,52,4,8,4-8,4,0,2,2,2,-2,0,-1.0734757218647
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,DC,1064,29,47,4,6,4-6,2,1,1,2,2,0,0.5,-1.04342927050514
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,DC,1761,50,60,7,6,6-7,1,2,0,2,2,2,1,-0.96405728113473
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,SST,1655,2,59,6,8,6-8,2,2,0,2,2,2,1,0.934684478351753
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,SST,357,6,28,6,8,6-8,2,2,0,2,2,2,1,0.930731853078932
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,DC,1673,20,59,6,8,6-8,2,2,1,3,3,1,0.6666666666666666,-0.92607786912308
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,SST,1281,6,52,6,8,6-8,2,2,0,2,2,2,1,0.883922336298597
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,SST,1078,43,47,1,6,1-6,5,0,0,0,0,0,NA,0.877467147776501
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,SST,540,12,34,8,6,6-8,2,0,3,3,3,-3,0,0.86916667456576
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,SST,1446,15,55,6,8,6-8,2,3,0,3,3,3,1,0.86591975313679
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,SST,1808,38,61,6,8,6-8,2,2,0,2,2,2,1,0.809617598228967
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,DC,2008,55,64,8,4,4-8,4,0,2,2,2,-2,0,-0.80902427171258
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,DC,1036,1,47,6,6,6-6,0,1,0,1,1,1,1,-0.807659762714611
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,SST,1014,24,46,6,2,2-6,4,0,2,2,2,-2,0,0.789539299994526
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,SST,835,15,42,6,2,2-6,4,0,2,2,2,-2,0,0.789462642302543
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,DC,93,2,15,6,6,6-6,0,0,1,1,1,-1,0,-0.77539774306337
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,SST,1040,5,47,4,6,4-6,2,0,0,0,0,0,NA,0.760284185487349
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,DC,1287,12,52,8,8,8-8,0,0,1,1,1,-1,0,-0.760257680775884
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_DC,DC,2008,55,64,8,4,4-8,4,0,2,2,2,-2,0,-1.36698075952242
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_DC,WST,1655,2,59,6,8,6-8,2,2,0,2,2,2,1,0.994152012303201
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_DC,WST,357,6,28,6,8,6-8,2,2,0,2,2,2,1,0.907499703141981
