"gen_model","hierch","kappa_mean","K_true","fit_model","n_runs","mean_K_hat","sd_K_hat","prop_K_true","prop_K_under","prop_K_over","mean_ari","sd_ari","mean_vi","mean_elpd","sd_elpd","mean_pk_bad"
"SST","weak",1,3,"SST",5,2.2,0.836660026534076,0.4,0.6,0,0.961572968782851,0.0569435255644604,0.8084499281493,-2965.23091069345,662.485407169629,0.00610169491525423
"SST","weak",1,3,"WST",5,2.6,0.894427190999916,0.8,0.2,0,0.980083733368405,0.0445341260462572,0.393605571502779,-2935.48332032229,611.601207772876,0.0108474576271187
"SST","weak",1,3,"DC-SBM",5,2.6,0.894427190999916,0.8,0.2,0,0.980083733368405,0.0445341260462572,0.393605571502779,-2942.09876646927,610.131084208348,0.0146892655367232
"SST","weak",1,5,"SST",5,4.2,0.836660026534076,0.4,0.6,0,0.815080912952196,0.178162612534088,0.396684665660174,-3121.4185414801,397.602669394909,0.00768361581920904
"SST","weak",1,5,"WST",5,4.2,0.836660026534076,0.4,0.6,0,0.815080912952196,0.178162612534088,0.396684665660174,-3083.347897996,328.134859806971,0.00542372881355932
"SST","weak",1,5,"DC-SBM",5,4.6,0.894427190999916,0.8,0.2,0,0.894542198319056,0.174121517155027,0.336735640217574,-3061.86099559538,336.612415438674,0.00293785310734463
"SST","weak",3.5,3,"SST",5,2.6,0.547722557505166,0.6,0.4,0,0.90304026294166,0.216808563142954,0.266666666666667,-5953.37291649089,875.865468764386,0
"SST","weak",3.5,3,"WST",5,3,0,1,0,0,1,0,4.44089209850063e-16,-5579.74567245899,332.496853652312,0.000225988700564972
"SST","weak",3.5,3,"DC-SBM",5,3,0,1,0,0,1,0,4.44089209850063e-16,-5580.97777064979,348.564611128752,0.00124293785310735
"SST","weak",3.5,5,"SST",5,4,0.707106781186548,0.2,0.8,0,0.821161268502045,0.164817150074445,0.457513499245131,-5775.06480663342,402.732938348351,0.0031638418079096
"SST","weak",3.5,5,"WST",5,4.4,0.547722557505166,0.4,0.6,0,0.947664104080426,0.117026620939522,0.24,-5537.94030107643,317.036824910524,0
"SST","weak",3.5,5,"DC-SBM",5,5,0,1,0,0,1,0,0,-5415.19267760815,276.71698684542,0.000790960451977402
"SST","weak",7.5,3,"SST",5,2.6,0.547722557505166,0.6,0.4,0,1,0,0.266666666666667,-6707.20426750217,585.070223375822,0
"SST","weak",7.5,3,"WST",5,2.8,0.447213595499958,0.8,0.2,0,1,0,0.133333333333334,-6574.57170699186,639.024200372239,0
"SST","weak",7.5,3,"DC-SBM",5,3,0,1,0,0,1,0,4.44089209850063e-16,-6559.56185762159,678.787071450442,0.00361581920903955
"SST","weak",7.5,5,"SST",5,4.4,0.547722557505166,0.4,0.6,0,0.947664104080426,0.117026620939522,0.24,-7124.03649573957,222.667422222943,0
"SST","weak",7.5,5,"WST",5,4.6,0.547722557505166,0.6,0.4,0,0.972341897894948,0.0618453964355254,0.228547529722733,-7007.03368665895,276.042777889484,0
"SST","weak",7.5,5,"DC-SBM",5,5,0,1,0,0,1,0,0,-6750.12031532386,290.461429648078,0.000112994350282486
"SST","strong",1,3,"SST",5,3,0,1,0,0,0.989912540277504,0.0225562456597927,0.0384268104097532,-2556.71242424956,467.595354965354,0.00655367231638419
"SST","strong",1,3,"WST",5,3,0,1,0,0,0.989912540277504,0.0225562456597927,0.0384268104097532,-2557.5545188888,467.487829677338,0.00655367231638417
"SST","strong",1,3,"DC-SBM",5,3,0,1,0,0,0.979825080555008,0.0276256461896799,0.0768536208195059,-2564.62450043141,460.654939367099,0.00858757062146893
"SST","strong",1,5,"SST",5,4.6,0.547722557505166,0.6,0.4,0,0.878234298732118,0.13240365699998,0.260519685308239,-2774.99726500301,398.059512746993,0.0188700564971751
"SST","strong",1,5,"WST",5,4.8,0.447213595499958,0.8,0.2,0,0.922853183007148,0.116305135628849,0.167118854969189,-2733.54732217051,370.792675730617,0.00779661016949152
"SST","strong",1,5,"DC-SBM",5,4.8,0.447213595499958,0.8,0.2,0,0.922013269343498,0.108630183429098,0.180519685308239,-2723.82738451687,368.95991530886,0.00553672316384181
"SST","strong",3.5,3,"SST",5,2.8,0.447213595499958,0.8,0.2,0,0.892952803219164,0.212295887064912,0.171760143743086,-4576.82671794683,168.448269099021,0.000338983050847458
"SST","strong",3.5,3,"WST",5,3,0,1,0,0,0.979585222171123,0.0456488309709241,0.077082706656372,-4491.28602588049,268.500287783338,0.000112994350282486
"SST","strong",3.5,3,"DC-SBM",5,3,0,1,0,0,1,0,4.44089209850063e-16,-4509.68939422994,262.095491511843,0.00112994350282486
"SST","strong",3.5,5,"SST",5,4.8,0.447213595499958,0.8,0.2,0,0.947664104080426,0.117026620939522,0.08,-4606.14366302333,444.555591249299,0
"SST","strong",3.5,5,"WST",5,5,0,1,0,0,1,0,0,-4542.55893626572,277.987135381652,0.0176271186440678
"SST","strong",3.5,5,"DC-SBM",5,5,0,1,0,0,1,0,0,-4529.15109891138,287.828255356327,0
"SST","strong",7.5,3,"SST",5,3,0,1,0,0,1,0,4.44089209850063e-16,-7038.5203787014,1357.27576377353,0
"SST","strong",7.5,3,"WST",5,3,0.707106781186548,0.6,0.2,0.2,0.995039932744851,0.0110910475554844,0.152426463807731,-6593.34633247748,925.53635920485,0.00926553672316384
"SST","strong",7.5,3,"DC-SBM",5,3,0,1,0,0,0.989912540277504,0.0225562456597927,0.0384268104097532,-6475.49457575687,739.576963764057,0.0015819209039548
"SST","strong",7.5,5,"SST",5,4.8,0.447213595499958,0.8,0.2,0,0.98368731934146,0.0364762628477406,0.133612293199776,-6736.42673205501,334.650898012471,0
"SST","strong",7.5,5,"WST",5,7.6,4.33589667773576,0.6,0,0.4,0.908162509731504,0.172837901101343,0.306125299343006,-6266.0077603724,750.568853668586,0.0457627118644069
"SST","strong",7.5,5,"DC-SBM",5,5,0,1,0,0,1,0,0,-5882.43190669948,470.390826509768,0
"WST","weak",1,3,"SST",5,2.4,0.894427190999916,0.6,0.4,0,0.861075023768986,0.176761154081559,0.86158557374968,-2985.60986734289,605.945087047335,0.0129943502824859
"WST","weak",1,3,"WST",5,2.6,0.547722557505166,0.6,0.4,0,0.8040297932787,0.156564013013305,0.895570425213314,-2980.70799763829,597.235261179849,0.00994350282485875
"WST","weak",1,3,"DC-SBM",5,2.6,0.547722557505166,0.6,0.4,0,0.865145416383963,0.180037116267936,0.680490903557466,-2982.28555367569,586.111762501879,0.00655367231638419
"WST","weak",1,5,"SST",5,4.4,1.34164078649987,0.4,0.4,0.2,0.867180738967832,0.172780628351482,0.483013739380394,-3066.00516004816,458.978912423583,0.0106214689265537
"WST","weak",1,5,"WST",5,4.6,0.894427190999916,0.2,0.6,0.2,0.885292722773422,0.106654424608456,0.469986702590142,-3039.86802840131,443.912298230235,0.0064406779661017
"WST","weak",1,5,"DC-SBM",5,4.6,0.547722557505166,0.6,0.4,0,0.891124163910236,0.130954361106073,0.327569925849497,-3033.58345115902,432.100715033176,0.00937853107344634
"WST","weak",3.5,3,"SST",5,2.6,0.547722557505166,0.6,0.4,0,0.799624222743787,0.274613109192099,0.362522498741886,-5793.82366207463,608.254181753418,0.0100564971751412
"WST","weak",3.5,3,"WST",5,2.8,0.447213595499958,0.8,0.2,0,0.896583959802127,0.231245295846295,0.229189165408552,-5742.99375275499,590.210748286516,0.00847457627118644
"WST","weak",3.5,3,"DC-SBM",5,3,0,1,0,0,1,0,4.44089209850063e-16,-5671.7908670191,520.630560350138,0.00203389830508475
"WST","weak",3.5,5,"SST",5,4.4,0.547722557505166,0.4,0.6,0,0.841785450743749,0.144450470663044,0.303174000379194,-5606.45998776094,523.828869133424,0.00305084745762712
"WST","weak",3.5,5,"WST",5,5,0,1,0,0,1,0,0,-5492.65380427381,494.260558456163,0.00101694915254237
"WST","weak",3.5,5,"DC-SBM",5,5,0,1,0,0,1,0,0,-5469.40800180104,495.662044746411,0.00169491525423729
"WST","weak",7.5,3,"SST",5,3,0,1,0,0,1,0,4.44089209850063e-16,-6880.60837835801,679.79104734348,0.00180790960451977
"WST","weak",7.5,3,"WST",5,3,0,1,0,0,0.989912540277504,0.0225562456597927,0.0384268104097532,-6781.79082688185,713.874097724469,0.00214689265536724
"WST","weak",7.5,3,"DC-SBM",5,3,0,1,0,0,1,0,4.44089209850063e-16,-6791.16376234622,708.050036267774,0.0135593220338983
"WST","weak",7.5,5,"SST",5,4.2,0.836660026534076,0.4,0.6,0,0.98977662259389,0.0228601668396974,0.356743689769013,-7375.35491724547,1224.54685816176,0
"WST","weak",7.5,5,"WST",5,4.6,0.547722557505166,0.6,0.4,0,1,0,0.206507842041419,-6994.76160224375,464.455136262736,0.00135593220338983
"WST","weak",7.5,5,"DC-SBM",5,5,0,1,0,0,1,0,0,-6787.16532586471,555.63601570958,0.0032768361581921
"WST","strong",1,3,"SST",5,3,0,1,0,0,0.959918555504457,0.054899709300819,0.15345522855396,-2599.43086071073,267.462433438257,0.0205649717514125
"WST","strong",1,3,"WST",5,3.2,0.447213595499958,0.8,0,0.2,0.984952473022355,0.0225102056298906,0.0575199408841503,-2592.74861304399,275.49532822531,0.0206779661016949
"WST","strong",1,3,"DC-SBM",5,3,0,1,0,0,0.935751286272134,0.117516457250412,0.199777026479002,-2592.18356994581,275.263933178759,0.00576271186440678
"WST","strong",1,5,"SST",5,4,1,0.4,0.6,0,0.76768363243599,0.177932746747484,0.82261204346881,-3066.03557752503,534.973009905363,0.0218079096045198
"WST","strong",1,5,"WST",5,4.6,0.547722557505166,0.6,0.4,0,0.857573862320619,0.14854670325788,0.359257953410865,-2993.27892418427,473.234659539543,0.0246327683615819
"WST","strong",1,5,"DC-SBM",5,4.8,0.447213595499958,0.8,0.2,0,0.89403654192904,0.115971414676363,0.290191227429588,-2971.11892352299,465.587523126574,0.0103954802259887
"WST","strong",3.5,3,"SST",5,3,0,1,0,0,1,0,4.44089209850063e-16,-4776.93007737566,584.144124257749,0.00180790960451977
"WST","strong",3.5,3,"WST",5,3,0,1,0,0,1,0,4.44089209850063e-16,-4758.01717151707,611.723676587062,0.0015819209039548
"WST","strong",3.5,3,"DC-SBM",5,3,0,1,0,0,1,0,4.44089209850063e-16,-4774.39530258026,606.986381151262,0.000112994350282486
"WST","strong",3.5,5,"SST",5,4.8,0.447213595499958,0.8,0.2,0,0.947664104080426,0.117026620939522,0.08,-4849.74432837054,248.765886885619,0
"WST","strong",3.5,5,"WST",5,4.4,0.547722557505166,0.4,0.6,0,0.883668515479773,0.160621420269694,0.276743689769013,-4932.72854821778,219.410799561302,0.00101694915254237
"WST","strong",3.5,5,"DC-SBM",5,5,0,1,0,0,1,0,0,-4742.35630668072,215.39657279213,0
"WST","strong",7.5,3,"SST",5,2.8,0.447213595499958,0.8,0.2,0,0.90304026294166,0.216808563142954,0.133333333333334,-7060.27532565561,1445.48035408769,0.00056497175141243
"WST","strong",7.5,3,"WST",5,3,0,1,0,0,1,0,4.44089209850063e-16,-6572.24046401719,745.254200348235,0
"WST","strong",7.5,3,"DC-SBM",5,3,0,1,0,0,1,0,4.44089209850063e-16,-6597.24126474043,752.084925490007,0.00418079096045198
"WST","strong",7.5,5,"SST",5,4,0.707106781186548,0.2,0.8,0,0.833190240809614,0.153584663901575,0.4,-7707.51830815262,1026.9001660324,0.00587570621468926
"WST","strong",7.5,5,"WST",5,4.6,0.547722557505166,0.6,0.4,0,0.939107178772231,0.113761808096432,0.193506561769413,-6724.46649086467,905.758156173121,0.000112994350282486
"WST","strong",7.5,5,"DC-SBM",5,5,0,1,0,0,1,0,0,-6279.56144968975,706.072719590931,0
