Gen.,kappa,psi,vi_fmt_WST,vi_fmt_SST,vi_fmt_DC,pr_fmt_WST,pr_fmt_SST,pr_fmt_DC,part_fmt_WST,part_fmt_SST,part_fmt_DC
SST,0.75,0.2,\textbf{0.300},0.301,1.033,\textbf{0.67},0.42,0.33,"\textbf{0.359$_{[0.347,0.373]}$}","0.360$_{[0.339,0.398]}$","0.386$_{[0.381,0.393]}$"
SST,0.75,1.3,0.171,0.093,\textbf{0.088},0.58,\textbf{0.75},0.67,"\textbf{0.129$_{[0.125,0.135]}$}","0.129$_{[0.123,0.140]}$","0.129$_{[0.122,0.138]}$"
SST,1.50,0.2,0.099,0.091,\textbf{0.089},0.75,0.75,\textbf{0.83},"0.352$_{[0.349,0.359]}$","\textbf{0.344$_{[0.335,0.353]}$}","0.346$_{[0.343,0.350]}$"
SST,1.50,1.3,0.128,\textbf{0.042},0.045,0.58,\textbf{1.00},0.83,"\textbf{0.118$_{[0.114,0.121]}$}","0.121$_{[0.119,0.125]}$","0.127$_{[0.125,0.128]}$"
SST,3.00,0.2,0.016,\textbf{0.006},0.024,\textbf{1.00},\textbf{1.00},0.92,"0.366$_{[0.366,0.368]}$","0.354$_{[0.353,0.357]}$","\textbf{0.353$_{[0.352,0.354]}$}"
SST,3.00,1.3,0.069,\textbf{0.023},\textbf{0.023},0.67,\textbf{1.00},\textbf{1.00},"0.120$_{[0.120,0.120]}$","\textbf{0.108$_{[0.107,0.108]}$}","0.112$_{[0.112,0.113]}$"
WST,0.75,0.2,0.538,\textbf{0.526},1.530,\textbf{0.33},0.25,0.08,"\textbf{0.425$_{[0.405,0.449]}$}","0.427$_{[0.402,0.459]}$","0.429$_{[0.422,0.434]}$"
WST,0.75,1.3,0.220,\textbf{0.184},0.584,0.50,\textbf{0.58},0.42,"0.220$_{[0.214,0.229]}$","\textbf{0.215$_{[0.209,0.230]}$}","0.257$_{[0.244,0.264]}$"
WST,1.50,0.2,\textbf{0.136},0.156,0.146,\textbf{0.83},\textbf{0.83},0.50,"\textbf{0.419$_{[0.413,0.428]}$}","0.424$_{[0.410,0.444]}$","0.432$_{[0.426,0.436]}$"
WST,1.50,1.3,\textbf{0.059},0.063,0.275,\textbf{0.83},\textbf{0.83},\textbf{0.83},"0.235$_{[0.233,0.240]}$","\textbf{0.221$_{[0.220,0.227]}$}","0.242$_{[0.236,0.246]}$"
WST,3.00,0.2,\textbf{0.140},0.141,0.158,\textbf{0.75},\textbf{0.75},0.67,"0.438$_{[0.437,0.440]}$","\textbf{0.434$_{[0.425,0.444]}$}","0.440$_{[0.439,0.442]}$"
WST,3.00,1.3,0.014,0.014,\textbf{0.011},\textbf{1.00},\textbf{1.00},0.92,"0.242$_{[0.242,0.242]}$","\textbf{0.227$_{[0.227,0.227]}$}","0.231$_{[0.231,0.231]}$"
